Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Венгеровская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159					
1	"Число избирателей, внесенных в списки"	16759	191	1297	1148	896	221	265	91	651	128	329	519	275	176	523	403	234	317	463	100	200	482	341	551	746	172	257	359	137	121	361	243	97	144	481	188	420	143	1169	1761	159					
2	"Число бюллетеней, полученных участковыми комиссиями"	16550	193	1273	1140	902	223	266	94	651	122	323	518	278	176	519	401	231	316	457	98	192	470	337	554	739	174	250	356	134	114	358	247	98	138	485	187	420	139	1149	1666	162					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11523	153	734	676	514	159	207	75	414	111	256	389	234	145	360	258	194	249	369	87	173	318	264	348	580	145	194	255	103	91	238	175	85	126	305	164	330	111	778	1012	144					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	703	6	63	33	40	15	22	2	17	0	0	0	0	0	50	25	2	14	0	0	0	101	6	53	15	0	7	21	0	0	25	9	3	0	44	0	0	0	48	82	0					
6	Число погашенных бюллетеней	4324	34	476	431	348	49	37	17	220	11	67	129	44	31	109	118	35	53	88	11	19	51	67	153	144	29	49	80	31	23	95	63	10	12	136	23	90	28	323	572	18					
7	Число бюллетеней в переносных ящиках для голосования	703	6	63	33	40	15	22	2	17	0	0	0	0	0	50	25	2	14	0	0	0	101	6	53	15	0	7	21	0	0	25	9	3	0	44	0	0	0	48	82	0					
8	Число бюллетеней в стационарных ящиках для голосования	11523	153	734	676	514	159	207	75	414	111	256	389	234	145	360	258	194	249	369	87	173	318	264	348	580	145	194	255	103	91	238	175	85	126	305	164	330	111	778	1012	144					
9	Число недействительных бюллетеней	180	0	9	10	11	4	2	3	8	4	1	3	7	0	4	13	0	5	3	0	2	8	1	2	11	2	3	3	2	1	6	7	2	4	9	1	7	1	5	14	2					
10	Число действительных бюллетеней	12046	159	788	699	543	170	227	74	423	107	255	386	227	145	406	270	196	258	366	87	171	411	269	399	584	143	198	273	101	90	257	177	86	122	340	163	323	110	821	1080	142					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	290	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	17	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	50	0	5	0	6	2	4	0	3	0	0	3	2	0	0	0	0	0	2	1	0	2	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	13	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	0	1	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	1	1	0	1	1	2	0	0	3	1	0					
14	Число погашенных открепительных удостоверений	240	7	2	7	1	5	3	7	4	7	7	4	5	7	7	7	7	7	5	6	7	5	7	6	7	7	7	7	7	7	7	5	7	7	6	7	7	7	4	4	7					
15	Число открепительных удостоверений выданных ТИК	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	172	0	11	9	10	1	3	3	7	4	8	2	2	3	4	7	2	8	3	1	4	4	4	7	2	2	7	4	1	1	3	3	2	3	1	6	6	0	10	12	2					
		1.40%	0.0%	1.38%	1.26%	1.80%	0.57%	1.31%	3.89%	1.62%	3.60%	3.12%	0.51%	0.85%	2.06%	0.97%	2.47%	1.02%	3.04%	0.81%	1.14%	2.31%	0.95%	1.48%	1.74%	0.33%	1.37%	3.48%	1.44%	0.97%	1.09%	1.14%	1.63%	2.27%	2.38%	0.28%	3.65%	1.81%	0.0%	1.21%	1.09%	1.38%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	77	2	8	2	5	1	2	0	0	1	4	2	0	2	2	1	0	2	2	1	2	3	1	2	3	1	1	3	0	0	0	0	0	0	2	1	6	0	9	5	1					
		0.62%	1.25%	1.00%	0.28%	0.90%	0.57%	0.87%	0.0%	0.0%	0.90%	1.56%	0.51%	0.0%	1.37%	0.48%	0.35%	0.0%	0.76%	0.54%	1.14%	1.15%	0.71%	0.37%	0.49%	0.50%	0.68%	0.49%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.60%	1.81%	0.0%	1.08%	0.45%	0.69%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	272	1	23	16	12	5	8	2	24	1	11	4	3	0	4	6	17	8	13	1	6	4	3	12	8	4	2	8	0	2	4	5	3	4	3	9	2	2	14	16	2					
		2.22%	0.62%	2.88%	2.25%	2.16%	2.87%	3.49%	2.59%	5.56%	0.90%	4.29%	1.02%	1.28%	0.0%	0.97%	2.12%	8.67%	3.04%	3.52%	1.14%	3.46%	0.95%	1.11%	2.99%	1.34%	2.75%	0.99%	2.89%	0.0%	2.19%	1.52%	2.71%	3.40%	3.17%	0.85%	5.48%	0.60%	1.80%	1.69%	1.46%	1.38%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	67	1	8	9	2	4	0	1	3	0	3	3	0	0	1	0	0	0	1	2	0	1	0	0	3	0	0	1	0	0	3	1	0	1	4	0	0	0	7	8	0					
		0.54%	0.62%	1.00%	1.26%	0.36%	2.29%	0.0%	1.29%	0.69%	0.0%	1.17%	0.77%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.27%	2.29%	0.0%	0.23%	0.0%	0.0%	0.50%	0.0%	0.0%	0.36%	0.0%	0.0%	1.14%	0.54%	0.0%	0.79%	1.14%	0.0%	0.0%	0.0%	0.84%	0.73%	0.0%					
22	"5. ""За Русь Святую"""	78	0	5	13	1	0	3	2	3	0	3	0	1	3	1	1	1	1	0	0	1	0	1	0	14	0	0	0	1	0	1	0	0	1	0	0	0	0	2	18	1					
		0.63%	0.0%	0.62%	1.83%	0.18%	0.0%	1.31%	2.59%	0.69%	0.0%	1.17%	0.0%	0.42%	2.06%	0.24%	0.35%	0.51%	0.38%	0.0%	0.0%	0.57%	0.0%	0.37%	0.0%	2.35%	0.0%	0.0%	0.0%	0.97%	0.0%	0.38%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.24%	1.64%	0.69%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	0	2	3	0	1	0	0	1	0	1	0	0	0	1	2	1	1	0	2	1	0	1	1	2	0	0	1	0	1	0	0	0	0	0	0	1	0	2	1	1					
		0.22%	0.0%	0.25%	0.42%	0.0%	0.57%	0.0%	0.0%	0.23%	0.0%	0.39%	0.0%	0.0%	0.0%	0.24%	0.70%	0.51%	0.38%	0.0%	2.29%	0.57%	0.0%	0.37%	0.24%	0.33%	0.0%	0.0%	0.36%	0.0%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.24%	0.09%	0.69%					
