Выборы Президента Российской Федерации																																																									
Дата голосования: 02.03.2008																																																									
																																																									
Наименование Избирательной комиссии:    Чеховская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
	Число участковых избирательных комиссий	50																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																							
																																																									
		Сумма	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104					
1	"Число избирателей, включенных в списки избирателей"	95473	1922	1095	2663	1759	2622	2188	2781	2671	862	1651	1633	1256	1845	2094	2637	1991	1964	2021	2802	2473	2068	1991	2049	1830	2138	2132	2372	1402	2429	2042	2075	1946	1916	791	1789	1710	988	2770	2872	2789	1205	1676	981	1016	608	1203	1782	2144	1070	2759					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	89850	1900	1050	2600	1500	2500	2100	2700	2450	800	1400	1400	1200	1750	2000	2500	1800	1800	1950	2650	2400	2000	1800	2000	1750	2000	2050	2250	1350	2300	2000	2000	1800	1700	750	1700	1600	900	2650	2650	2700	1150	1550	900	900	550	1100	1750	2000	1000	2550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	69653	1466	790	2041	1241	1690	1586	1862	2048	644	1181	1241	1061	1399	1622	1930	1469	1544	1618	2132	2041	1571	1782	1578	1415	1519	1473	1703	909	1775	1588	1241	1365	862	594	1385	1230	604	1958	2044	2016	933	1102	699	575	351	846	1470	1719	809	1931					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4287	16	20	98	48	246	55	167	102	100	15	10	36	48	26	45	151	10	23	30	52	52	16	24	33	88	122	85	173	101	38	306	65	682	0	69	115	89	23	36	27	130	146	22	179	150	83	44	55	11	25					
6	Число погашенных избирательных бюллетеней	15910	418	240	461	211	564	459	671	300	56	204	149	103	303	352	525	180	246	309	488	307	377	2	398	302	393	455	462	268	424	374	453	370	156	156	246	255	207	669	570	657	87	302	179	146	49	171	236	226	180	594					
