Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Баевская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593					
1	"Число избирателей, внесенных в списки"	10339	845	1742	1554	519	94	326	292	702	881	212	109	373	798	953	706	233					
2	"Число бюллетеней, полученных участковыми комиссиями"	9915	800	1650	1500	500	90	310	270	680	850	200	105	350	780	920	680	230					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6337	525	983	797	326	62	219	210	500	592	167	79	226	489	564	436	162					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	571	46	84	91	23	4	16	23	49	63	3	7	24	23	45	55	15					
6	Число погашенных бюллетеней	3007	229	583	612	151	24	75	37	131	195	30	19	100	268	311	189	53					
7	Число бюллетеней в переносных ящиках для голосования	571	46	84	91	23	4	16	23	49	63	3	7	24	23	45	55	15					
8	Число бюллетеней в стационарных ящиках для голосования	6337	525	983	797	326	62	219	210	500	592	167	79	226	489	564	436	162					
9	Число недействительных бюллетеней	64	5	5	9	3	0	2	0	6	7	1	3	9	3	4	6	1					
10	Число действительных бюллетеней	6844	566	1062	879	346	66	233	233	543	648	169	83	241	509	605	485	176					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	8	17	14	5	1	3	3	7	8	2	1	3	8	9	7	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	25	5	7	4	0	0	0	0	4	2	0	0	1	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	0	1	0	2	2	1	1	0	1	3	3	0	1	2	0	0					
14	Число погашенных открепительных удостоверений	73	3	10	10	5	1	3	3	3	6	2	1	2	8	9	5	2					
15	Число открепительных удостоверений выданных ТИК	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
