Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Богородская																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9477	426	1668	297	550	2305	1124	2136	971									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7700	400	1400	200	450	1800	900	1800	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3513	155	468	45	128	835	263	1136	483									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1164	103	244	121	188	189	70	142	107									
6	Число погашенных избирательных бюллетеней	3023	142	688	34	134	776	567	522	160									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1164	103	244	121	188	189	70	142	107									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3513	155	468	45	128	835	263	1136	483									
9	Число недействительных избирательных бюллетеней	31	4	12	0	1	5	2	5	2									
10	Число действительных избирательных бюллетеней	4646	254	700	166	315	1019	331	1273	588									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	3	10	2	5	20	10	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	35	3	5	0	2	13	3	4	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	192	4	21	1	5	84	1	1	75									
14	Число погашенных неиспользованных открепительных удостоверений	45	0	5	2	3	7	7	16	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	5	10	1	1	12	5	8	4									
		0.98%	1.94%	1.40%	0.60%	0.32%	1.17%	1.50%	0.63%	0.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	67	6	13	1	10	15	3	16	3									
		1.43%	2.33%	1.83%	0.60%	3.16%	1.46%	0.90%	1.25%	0.51%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	68	4	14	1	2	13	5	24	5									
		1.45%	1.55%	1.97%	0.60%	0.63%	1.27%	1.50%	1.88%	0.85%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3447	182	447	117	204	793	210	1036	458									
		73.70%	70.54%	62.78%	70.48%	64.56%	77.44%	63.06%	81.06%	77.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	25	1	6	0	4	3	3	2	6									
		0.53%	0.39%	0.84%	0.00%	1.27%	0.29%	0.90%	0.16%	1.02%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	1	0	0	2	1	0	2									
		0.13%	0.00%	0.14%	0.00%	0.00%	0.20%	0.30%	0.00%	0.34%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	436	28	95	34	45	73	47	72	42									
		9.32%	10.85%	13.34%	20.48%	14.24%	7.13%	14.11%	5.63%	7.12%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	19	1	0	0	2	6	3	1	6									
		0.41%	0.39%	0.00%	0.00%	0.63%	0.59%	0.90%	0.08%	1.02%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	37	1	9	0	1	13	1	4	8									
		0.79%	0.39%	1.26%	0.00%	0.32%	1.27%	0.30%	0.31%	1.36%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	1	1	0	0	0	0	0									
		0.04%	0.00%	0.14%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	53	2	5	0	3	23	12	3	5									
		1.13%	0.78%	0.70%	0.00%	0.95%	2.25%	3.60%	0.23%	0.85%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	250	11	53	8	23	39	28	57	31									
		5.35%	4.26%	7.44%	4.82%	7.28%	3.81%	8.41%	4.46%	5.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	1	3	0	1	1	1	1	0									
		0.17%	0.39%	0.42%	0.00%	0.32%	0.10%	0.30%	0.08%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	182	12	43	3	19	26	12	49	18									
		3.89%	4.65%	6.04%	1.81%	6.01%	2.54%	3.60%	3.83%	3.05%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
