Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Ивановская - 92																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9868	520	757	1138	1171	227	551	349	155	411	136	316	345	311	841	891	842	286	299	322									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8500	520	650	900	900	200	450	330	150	370	130	310	340	300	700	720	700	260	280	290									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4601	151	249	555	291	66	235	169	60	136	51	274	274	186	560	600	510	57	93	84									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1968	280	140	124	487	90	80	32	54	167	50	20	36	85	46	20	7	93	59	98									
6	Число погашенных избирательных бюллетеней	1931	89	261	221	122	44	135	129	36	67	29	16	30	29	94	100	183	110	128	108									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1968	280	140	124	487	90	80	32	54	167	50	20	36	85	46	20	7	93	59	98									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4600	151	249	555	291	66	235	169	60	136	51	274	274	186	560	600	510	57	93	83									
9	Число недействительных избирательных бюллетеней	140	28	0	9	25	1	4	1	0	0	0	3	23	11	7	0	14	4	8	2									
10	Число действительных избирательных бюллетеней	6428	403	389	670	753	155	311	200	114	303	101	291	287	260	599	620	503	146	144	179									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	150	2	15	18	15	4	8	7	5	7	5	2	2	2	18	19	6	2	6	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	114	0	15	18	9	4	8	7	5	7	5	1	1	0	15	4	2	1	5	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	210	0	20	42	30	5	8	1	7	12	8	5	10	8	0	7	0	13	16	18									
14	Число погашенных неиспользованных открепительных удостоверений	36	2	0	0	6	0	0	0	0	0	0	1	1	2	3	15	4	1	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	3	3	8	8	0	0	3	2	2	1	0	3	2	2	4	0	0	3	2									
		0.70%	0.70%	0.77%	1.18%	1.03%	0.00%	0.00%	1.49%	1.75%	0.66%	0.99%	0.00%	0.97%	0.74%	0.33%	0.65%	0.00%	0.00%	1.97%	1.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	98	2	7	16	8	2	5	3	0	2	0	2	1	5	5	25	5	1	4	5									
		1.49%	0.46%	1.80%	2.36%	1.03%	1.28%	1.59%	1.49%	0.00%	0.66%	0.00%	0.68%	0.32%	1.85%	0.83%	4.03%	0.97%	0.67%	2.63%	2.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	96	3	8	18	11	2	4	6	2	4	1	1	3	3	10	3	11	2	2	2									
		1.46%	0.70%	2.06%	2.65%	1.41%	1.28%	1.27%	2.99%	1.75%	1.32%	0.99%	0.34%	0.97%	1.11%	1.65%	0.48%	2.13%	1.33%	1.32%	1.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4029	325	245	394	518	102	203	62	59	218	69	243	218	156	355	335	245	91	79	112									
		61.34%	75.41%	62.98%	58.03%	66.58%	65.38%	64.44%	30.85%	51.75%	71.95%	68.32%	82.65%	70.32%	57.56%	58.58%	54.03%	47.39%	60.67%	51.97%	61.88%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	1	0	4	2	0	6	1	1	8	0	0	1	1	2	2	3	0	0	1									
		0.50%	0.23%	0.00%	0.59%	0.26%	0.00%	1.90%	0.50%	0.88%	2.64%	0.00%	0.00%	0.32%	0.37%	0.33%	0.32%	0.58%	0.00%	0.00%	0.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	2	0	2	3	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0									
		0.18%	0.46%	0.00%	0.29%	0.39%	0.00%	0.00%	0.50%	0.00%	0.00%	0.99%	0.00%	0.00%	0.37%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	739	40	51	74	72	15	41	72	22	21	7	18	20	30	58	83	37	29	24	25									
		11.25%	9.28%	13.11%	10.90%	9.25%	9.62%	13.02%	35.82%	19.30%	6.93%	6.93%	6.12%	6.45%	11.07%	9.57%	13.39%	7.16%	19.33%	15.79%	13.81%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	0	4	4	7	1	2	4	0	1	0	0	1	0	0	2	0	0	0	0									
		0.40%	0.00%	1.03%	0.59%	0.90%	0.64%	0.63%	1.99%	0.00%	0.33%	0.00%	0.00%	0.32%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	33	1	4	3	5	0	2	1	1	1	0	0	0	1	0	4	3	2	3	2									
		0.50%	0.23%	1.03%	0.44%	0.64%	0.00%	0.63%	0.50%	0.88%	0.33%	0.00%	0.00%	0.00%	0.37%	0.00%	0.65%	0.58%	1.33%	1.97%	1.10%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	1	1	1	0	0	0	1	1	3	0	0	1	0	0	1	0	0	0	0									
		0.15%	0.23%	0.26%	0.15%	0.00%	0.00%	0.00%	0.50%	0.88%	0.99%	0.00%	0.00%	0.32%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	57	3	6	5	15	0	5	1	0	7	1	0	2	1	3	3	4	1	0	0									
