Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Чердаклинская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30389	859	1997	2056	2710	2689	611	599	549	389	304	417	287	329	373	330	588	523	704	506	1187	600	1373	1137	2515	381	1258	228	2620	906	859	505									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30745	850	1950	2000	2600	2600	620	615	570	410	330	440	330	365	400	355	590	555	750	550	1250	600	1400	1150	2600	400	1350	235	2600	900	850	530									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15972	544	968	1004	977	1333	352	321	260	299	198	168	185	231	201	177	330	339	379	352	749	271	902	562	1181	241	752	145	1352	538	441	220									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1534	39	50	52	38	41	75	100	130	17	19	51	57	19	41	24	55	36	77	42	49	42	110	50	48	50	108	19	46	6	27	16									
6	Число погашенных избирательных бюллетеней	13239	267	932	944	1585	1226	193	194	180	94	113	221	88	115	158	154	205	180	294	156	452	287	388	538	1371	109	490	71	1202	356	382	294									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1534	39	50	52	38	41	75	100	130	17	19	51	57	19	41	24	55	36	77	42	49	42	110	50	48	50	108	19	46	6	27	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15965	544	968	1004	977	1333	352	321	260	299	198	168	185	231	201	177	330	339	379	352	749	271	902	562	1181	241	752	145	1346	538	441	219									
9	Число недействительных избирательных бюллетеней	393	18	14	26	38	10	8	3	6	3	2	3	4	1	9	5	8	6	5	7	29	18	6	2	56	0	33	3	41	19	9	1									
10	Число действительных избирательных бюллетеней	17106	565	1004	1030	977	1364	419	418	384	313	215	216	238	249	233	196	377	369	451	387	769	295	1006	610	1173	291	827	161	1351	525	459	234									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1340	30	40	40	30	30	30	30	30	30	30	30	45	40	40	30	30	40	50	50	70	25	50	30	100	35	140	15	50	90	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1146	17	18	40	12	30	30	30	30	30	30	30	45	40	34	30	24	40	50	50	70	15	50	30	100	35	140	15	28	13	10	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	221	3	22	17	6	4	12	11	4	2	3	3	4	2	6	7	8	5	2	2	7	7	11	6	9	5	19	7	9	9	5	4									
14	Число погашенных неиспользованных открепительных удостоверений	194	13	22	0	18	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	10	0	0	0	0	0	0	22	77	20	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	0	3	9	8	14	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	2	0	0	3	0	2	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	172	6	9	13	12	7	3	2	4	0	1	4	0	2	1	0	4	5	1	1	9	12	17	10	8	1	6	1	19	7	4	3									
		0.98%	1.03%	0.88%	1.23%	1.18%	0.51%	0.70%	0.48%	1.03%	0.00%	0.46%	1.83%	0.00%	0.80%	0.41%	0.00%	1.04%	1.33%	0.22%	0.25%	1.13%	3.83%	1.68%	1.63%	0.65%	0.34%	0.70%	0.61%	1.36%	1.29%	0.85%	1.28%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	673	26	30	40	37	36	16	9	5	9	5	17	3	7	17	6	10	19	18	15	21	15	24	20	77	8	25	13	75	27	26	17									
		3.85%	4.46%	2.95%	3.79%	3.65%	2.62%	3.75%	2.14%	1.28%	2.85%	2.30%	7.76%	1.24%	2.80%	7.02%	2.99%	2.60%	5.07%	3.95%	3.81%	2.63%	4.79%	2.37%	3.27%	6.27%	2.75%	2.91%	7.93%	5.39%	4.96%	5.56%	7.23%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	305	0	26	16	11	22	7	5	3	5	4	7	5	7	7	1	5	7	3	6	14	6	17	12	22	4	20	8	23	14	12	6									
		1.74%	0.00%	2.55%	1.52%	1.08%	1.60%	1.64%	1.19%	0.77%	1.58%	1.84%	3.20%	2.07%	2.80%	2.89%	0.50%	1.30%	1.87%	0.66%	1.52%	1.75%	1.92%	1.68%	1.96%	1.79%	1.37%	2.33%	4.88%	1.65%	2.57%	2.56%	2.55%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9293	349	495	444	451	736	261	287	282	195	128	128	162	150	122	125	194	240	319	269	462	119	726	331	565	172	461	78	547	209	171	115									
		53.11%	59.86%	48.62%	42.05%	44.43%	53.57%	61.12%	68.17%	72.31%	61.71%	58.99%	58.45%	66.94%	60.00%	50.41%	62.19%	50.39%	64.00%	69.96%	68.27%	57.89%	38.02%	71.74%	54.08%	45.97%	59.11%	53.60%	47.56%	39.30%	38.42%	36.54%	48.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	97	1	3	6	6	7	1	0	2	1	1	0	2	1	1	2	4	4	0	3	4	2	11	2	10	0	3	0	11	6	2	1									
		0.55%	0.17%	0.29%	0.57%	0.59%	0.51%	0.23%	0.00%	0.51%	0.32%	0.46%	0.00%	0.83%	0.40%	0.41%	0.99%	1.04%	1.07%	0.00%	0.76%	0.50%	0.64%	1.09%	0.33%	0.81%	0.00%	0.35%	0.00%	0.79%	1.10%	0.43%	0.43%									
24	"6. Политическая партия ""Гражданская Платформа"""	47	3	1	4	2	1	0	1	1	0	1	0	3	0	0	0	0	4	4	1	2	2	2	0	3	2	1	3	3	3	0	0									
		0.27%	0.51%	0.10%	0.38%	0.20%	0.07%	0.00%	0.24%	0.26%	0.00%	0.46%	0.00%	1.24%	0.00%	0.00%	0.00%	0.00%	1.07%	0.88%	0.25%	0.25%	0.64%	0.20%	0.00%	0.24%	0.69%	0.12%	1.83%	0.22%	0.55%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2538	56	213	186	176	211	58	48	43	43	46	21	15	47	46	23	79	30	36	32	122	56	93	89	187	49	112	14	220	92	61	34									
		14.50%	9.61%	20.92%	17.61%	17.34%	15.36%	13.58%	11.40%	11.03%	13.61%	21.20%	9.59%	6.20%	18.80%	19.01%	11.44%	20.52%	8.00%	7.89%	8.12%	15.29%	17.89%	9.19%	14.54%	15.22%	16.84%	13.02%	8.54%	15.80%	16.91%	13.03%	14.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	50	1	2	1	2	3	0	1	0	4	0	0	1	1	0	1	0	1	1	1	1	1	2	8	5	0	2	0	7	3	0	1									
		0.29%	0.17%	0.20%	0.09%	0.20%	0.22%	0.00%	0.24%	0.00%	1.27%	0.00%	0.00%	0.41%	0.40%	0.00%	0.50%	0.00%	0.27%	0.22%	0.25%	0.13%	0.32%	0.20%	1.31%	0.41%	0.00%	0.23%	0.00%	0.50%	0.55%	0.00%	0.43%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	254	2	9	15	7	12	2	0	2	7	0	3	1	1	0	3	1	1	11	0	10	7	5	16	17	0	9	0	41	13	52	7									
		1.45%	0.34%	0.88%	1.42%	0.69%	0.87%	0.47%	0.00%	0.51%	2.22%	0.00%	1.37%	0.41%	0.40%	0.00%	1.49%	0.26%	0.27%	2.41%	0.00%	1.25%	2.24%	0.49%	2.61%	1.38%	0.00%	1.05%	0.00%	2.95%	2.39%	11.11%	2.98%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	3	1	5	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	3	0	0	0	1	0	1	0									
		0.14%	0.51%	0.10%	0.47%	0.20%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.25%	0.00%	0.32%	0.30%	0.00%	0.24%	0.00%	0.00%	0.00%	0.07%	0.00%	0.21%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	225	2	26	27	12	21	1	3	3	2	4	6	6	3	0	4	5	3	4	0	5	8	2	4	21	5	8	3	17	18	1	1									
		1.29%	0.34%	2.55%	2.56%	1.18%	1.53%	0.23%	0.71%	0.77%	0.63%	1.84%	2.74%	2.48%	1.20%	0.00%	1.99%	1.30%	0.80%	0.88%	0.00%	0.63%	2.56%	0.20%	0.65%	1.71%	1.72%	0.93%	1.83%	1.22%	3.31%	0.21%	0.43%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3017	102	172	244	215	281	59	54	34	42	21	28	38	23	32	23	70	52	48	52	95	56	86	96	219	46	159	37	354	112	123	44									
		17.24%	17.50%	16.90%	23.11%	21.18%	20.45%	13.82%	12.83%	8.72%	13.29%	9.68%	12.79%	15.70%	9.20%	13.22%	11.44%	18.18%	13.87%	10.53%	13.20%	11.90%	17.89%	8.50%	15.69%	17.82%	15.81%	18.49%	22.56%	25.43%	20.59%	26.28%	18.72%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	60	2	3	10	10	3	1	2	0	0	0	0	1	2	0	5	0	0	0	0	0	6	4	0	5	0	2	1	3	0	0	0									
		0.34%	0.34%	0.29%	0.95%	0.99%	0.22%	0.23%	0.48%	0.00%	0.00%	0.00%	0.00%	0.41%	0.80%	0.00%	2.49%	0.00%	0.00%	0.00%	0.00%	0.00%	1.92%	0.40%	0.00%	0.41%	0.00%	0.23%	0.61%	0.22%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	351	12	14	19	34	24	8	6	5	5	4	2	1	5	7	3	5	3	5	6	24	4	14	22	31	4	19	3	30	21	6	5									
		2.01%	2.06%	1.38%	1.80%	3.35%	1.75%	1.87%	1.43%	1.28%	1.58%	1.84%	0.91%	0.41%	2.00%	2.89%	1.49%	1.30%	0.80%	1.10%	1.52%	3.01%	1.28%	1.38%	3.59%	2.52%	1.37%	2.21%	1.83%	2.16%	3.86%	1.28%	2.13%									
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
