Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Бийская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626					
1	"Число избирателей, внесенных в список"	27427	693	804	383	2399	434	1226	771	444	91	771	1673	222	1848	379	1514	376	374	1210	101	437	436	2017	2154	2483	107	1047	179	176	290	193	985	1136	74					
2	Число полученных избирательных бюллетеней	26000	680	780	365	2265	430	1195	740	420	90	710	1570	210	1740	350	1470	360	360	1150	100	420	410	1920	2000	2330	100	1000	170	160	280	185	900	1070	70					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16944	420	519	263	1282	233	754	552	324	66	589	1065	159	1109	238	979	231	243	732	56	265	203	1202	1373	1437	79	683	107	117	195	140	615	660	54					
5	"Число избирательных бюллетеней, выданных вне помещения"	772	16	36	8	66	14	68	13	32	6	20	33	4	31	8	24	10	0	43	4	6	1	15	41	68	3	10	0	5	12	14	53	102	6					
6	Число погашенных избирательных бюллетеней	8284	244	225	94	917	183	373	175	64	18	101	472	47	600	104	467	119	117	375	40	149	206	703	586	825	18	307	63	38	73	31	232	308	10					
7	Число избирательных бюллетеней в переносных ящиках	772	16	36	8	66	14	68	13	32	6	20	33	4	31	8	24	10	0	43	4	6	1	15	41	68	3	10	0	5	12	14	53	102	6					
8	Число бюллетеней в стационарных ящиках для голосования	16943	420	519	263	1281	233	754	552	324	66	589	1065	159	1109	238	979	231	243	732	56	265	203	1202	1373	1437	79	683	107	117	195	140	615	660	54					
9	Число недействительных избирательных бюллетеней	206	5	7	5	11	3	8	10	1	0	6	18	4	22	8	19	3	4	9	1	0	8	5	15	16	0	9	0	2	1	1	1	4	0					
10	Число действительных избирательных бюллетеней	17509	431	548	266	1336	244	814	555	355	72	603	1080	159	1118	238	984	238	239	766	59	271	196	1212	1399	1489	82	684	107	120	206	153	667	758	60					
