Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    район Внуково																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №4007									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15500	1175	2942	2185	530	2498	2884	3103	183									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14000	1000	2500	2000	500	2000	2500	2500	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4815	272	995	662	185	776	815	927	183									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	217	68	12	10	7	39	32	49	0									
6	Число погашенных избирательных бюллетеней	8968	660	1493	1328	308	1185	1653	1524	817									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	217	68	12	10	7	39	32	49	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4768	240	994	652	184	776	815	924	183									
9	Число недействительных избирательных бюллетеней	99	6	20	24	3	6	15	23	2									
10	Число действительных избирательных бюллетеней	4886	302	986	638	188	809	832	950	181									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	150	10	30	22	5	24	30	29	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	87	5	18	18	3	12	15	16	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	302	19	4	12	22	22	18	22	183									
14	Число погашенных неиспользованных открепительных удостоверений	63	5	12	4	2	12	15	13	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	1	3	0	2	3	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	147	11	29	15	1	20	31	37	3									
		2.95%	3.57%	2.88%	2.27%	0.52%	2.45%	3.66%	3.80%	1.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	96	4	20	3	4	19	21	24	1									
		1.93%	1.30%	1.99%	0.45%	2.09%	2.33%	2.48%	2.47%	0.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	148	13	17	19	3	21	39	34	2									
		2.97%	4.22%	1.69%	2.87%	1.57%	2.58%	4.60%	3.49%	1.09%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2333	129	489	310	95	416	419	396	79									
		46.80%	41.88%	48.61%	46.83%	49.74%	51.04%	49.47%	40.70%	43.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	95	3	10	14	1	23	21	22	1									
		1.91%	0.97%	0.99%	2.11%	0.52%	2.82%	2.48%	2.26%	0.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	0	2	3	0	3	2	5	1									
		0.32%	0.00%	0.20%	0.45%	0.00%	0.37%	0.24%	0.51%	0.55%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	676	52	171	110	32	95	83	112	21									
		13.56%	16.88%	16.99%	16.62%	16.75%	11.66%	9.80%	11.51%	11.48%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	114	5	20	16	4	17	17	22	13									
		2.29%	1.62%	1.99%	2.42%	2.09%	2.09%	2.01%	2.26%	7.10%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	139	8	23	20	5	18	32	26	7									
		2.79%	2.60%	2.29%	3.02%	2.62%	2.21%	3.78%	2.67%	3.83%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	1	7	0	0	4	2	2	0									
		0.32%	0.32%	0.70%	0.00%	0.00%	0.49%	0.24%	0.21%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	223	15	30	23	7	27	44	65	12									
		4.47%	4.87%	2.98%	3.47%	3.66%	3.31%	5.19%	6.68%	6.56%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	649	52	130	62	28	107	85	155	30									
		13.02%	16.88%	12.92%	9.37%	14.66%	13.13%	10.04%	15.93%	16.39%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	2	2	14	1	6	3	11	0									
		0.78%	0.65%	0.20%	2.11%	0.52%	0.74%	0.35%	1.13%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	195	7	36	29	7	33	33	39	11									
		3.91%	2.27%	3.58%	4.38%	3.66%	4.05%	3.90%	4.01%	6.01%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
