Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    Яшкинская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1722					
1	"Число избирателей, внесенных в списки избирателей"	22638	141	219	1548	1155	1651	1728	1024	1325	811	846	1182	1009	186	675	150	194	449	452	82	313	768	91	659	530	154	337	100	132	461	489	942	460	68	259	147	173	930	612	80	106					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22500	153	250	1520	1170	1630	1600	950	1280	780	850	1200	1000	170	710	140	220	455	450	80	310	700	90	830	540	160	350	100	140	450	480	950	440	70	250	150	170	910	600	72	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16709	141	190	1065	689	1032	1164	536	915	508	545	887	730	108	557	129	154	372	408	73	253	573	84	604	474	146	224	90	113	428	367	788	344	67	216	126	166	780	491	66	106					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1428	0	28	57	79	124	95	88	67	107	92	63	46	11	30	11	17	56	14	0	17	15	4	55	29	8	80	10	15	7	40	64	32	0	18	4	0	11	28	6	0					
6	Число погашенных избирательных бюллетеней	4363	12	32	398	402	474	341	326	298	165	213	250	224	51	123	0	49	27	28	7	40	112	2	171	37	6	46	0	12	15	73	98	64	3	16	20	4	119	81	0	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1428	0	28	57	79	124	95	88	67	107	92	63	46	11	30	11	17	56	14	0	17	15	4	55	29	8	80	10	15	7	40	64	32	0	18	4	0	11	28	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16709	141	190	1065	689	1032	1164	536	915	508	545	887	730	108	557	129	154	372	408	73	253	573	84	604	474	146	224	90	113	428	367	788	344	67	216	126	166	780	491	66	106					
9	Число недействительных избирательных бюллетеней	164	1	0	8	4	6	8	6	17	5	1	9	3	3	5	0	3	2	2	0	1	1	0	0	2	6	8	0	1	0	24	8	9	0	2	0	3	3	12	0	1					
10	Число действительных избирательных бюллетеней	17973	140	218	1114	764	1150	1251	618	965	610	636	941	773	116	582	140	168	426	420	73	269	587	88	659	501	148	296	100	127	435	383	844	367	67	232	130	163	788	507	72	105					
