Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
Наименование Избирательной комиссии:    Белогорская городская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97					
1	"Число избирателей, внесенных в списки избирателей"	51089	2527	1867	1731	1530	2207	2353	2886	2230	2081	1782	2121	2483	2123	1799	2587	2234	754	2375	1405	1833	2367	2541	2125	357	1241	517	385	648					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	48640	2400	1780	1750	1460	2080	2310	2640	2110	1880	1700	2050	2400	1950	1710	2460	2090	700	2460	1340	1700	2460	2330	2080	360	1040	470	350	580					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31781	1635	1234	1259	926	1204	1409	1534	1099	1113	911	1610	1303	1214	1025	1431	1620	406	1571	969	867	2093	1739	1625	208	602	391	276	507					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1632	80	45	66	42	134	91	217	34	89	87	57	57	56	33	54	59	18	96	34	32	44	29	45	25	34	40	15	19					
6	Число погашенных избирательных бюллетеней	15227	685	501	425	492	742	810	889	977	678	702	383	1040	680	652	975	411	276	793	337	801	323	562	410	127	404	39	59	54					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1632	80	45	66	42	134	91	217	34	89	87	57	57	56	33	54	59	18	96	34	32	44	29	45	25	34	40	15	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31780	1635	1234	1259	926	1204	1409	1534	1099	1113	911	1610	1303	1214	1025	1431	1619	406	1571	969	867	2093	1739	1625	208	602	391	276	507					
9	Число недействительных избирательных бюллетеней	281	19	14	10	10	11	11	9	6	12	14	15	18	10	10	7	11	7	12	5	4	13	0	15	0	6	28	2	2					
10	Число действительных избирательных бюллетеней	33131	1696	1265	1315	958	1327	1489	1742	1127	1190	984	1652	1342	1260	1048	1478	1667	417	1655	998	895	2124	1768	1655	233	630	403	289	524					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	331	15	13	17	8	21	18	23	16	8	8	19	10	8	13	13	10	4	13	13	8	13	25	11	3	5	0	3	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	322	15	12	17	8	20	17	21	16	8	8	18	10	8	13	13	10	4	12	13	8	13	25	11	1	5	0	3	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	193	26	14	11	3	4	8	16	4	8	5	6	2	4	3	6	4	5	10	5	4	10	20	6	0	3	2	0	4					
14	Число погашенных неиспользованных открепительных удостоверений	9	0	1	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	2	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	1.Политическая партия «Аграрная партия России»	476	28	32	14	20	15	37	27	16	26	17	20	17	10	11	18	22	1	22	12	7	17	28	26	2	7	9	6	9					
		1.42%	1.63%	2.50%	1.06%	2.07%	1.12%	2.47%	1.54%	1.41%	2.16%	1.70%	1.20%	1.25%	0.79%	1.04%	1.21%	1.31%	0.24%	1.32%	1.20%	0.78%	0.80%	1.58%	1.56%	0.86%	1.10%	2.09%	2.06%	1.71%					
19	2.Всероссийская политическая партия «Гражданская Сила»	186	10	9	7	9	12	13	12	7	5	1	6	2	6	13	4	6	2	7	5	1	10	17	7	3	2	4	0	6					
		0.56%	0.58%	0.70%	0.53%	0.93%	0.90%	0.87%	0.69%	0.62%	0.42%	0.10%	0.36%	0.15%	0.47%	1.23%	0.27%	0.36%	0.47%	0.42%	0.50%	0.11%	0.47%	0.96%	0.42%	1.29%	0.31%	0.93%	0.00%	1.14%					
20	3.Политическая партия «Демократическая партия России»	31	1	1	1	0	3	0	3	1	1	1	0	0	0	2	1	1	0	2	0	1	0	3	4	0	0	4	1	0					
		0.09%	0.06%	0.08%	0.08%	0.00%	0.22%	0.00%	0.17%	0.09%	0.08%	0.10%	0.00%	0.00%	0.00%	0.19%	0.07%	0.06%	0.00%	0.12%	0.00%	0.11%	0.00%	0.17%	0.24%	0.00%	0.00%	0.93%	0.34%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3375	257	208	176	164	255	235	164	99	117	79	150	128	110	98	116	112	31	131	78	52	155	124	147	11	64	82	20	12					
		10.10%	14.99%	16.26%	13.28%	16.94%	19.06%	15.67%	9.37%	8.74%	9.73%	7.92%	8.99%	9.41%	8.66%	9.26%	7.81%	6.67%	7.31%	7.86%	7.78%	5.78%	7.25%	7.01%	8.80%	4.72%	10.06%	19.03%	6.87%	2.28%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	580	40	29	31	26	46	62	39	11	17	20	20	18	20	19	19	19	1	21	9	22	29	32	17	0	7	3	2	1					
