Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Балтайская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628					
1	"Число избирателей, внесенных в списки избирателей"	9956	1494	1599	621	593	132	924	270	68	135	171	424	1222	400	104	633	1166					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10164	1530	1640	630	600	136	940	278	70	140	180	430	1240	410	110	650	1180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6527	916	989	428	440	99	588	170	68	98	114	242	813	265	60	461	776					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1007	76	100	42	95	13	127	63	0	19	25	120	105	61	16	74	71					
6	Число погашенных избирательных бюллетеней	2630	538	551	160	65	24	225	45	2	23	41	68	322	84	34	115	333					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1007	76	100	42	95	13	127	63	0	19	25	120	105	61	16	74	71					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6525	916	988	428	440	99	588	170	68	98	114	241	813	265	60	461	776					
9	Число недействительных избирательных бюллетеней	123	16	15	18	8	6	12	0	0	1	2	6	7	10	3	2	17					
10	Число действительных избирательных бюллетеней	7409	976	1073	452	527	106	703	233	68	116	137	355	911	316	73	533	830					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	163	32	36	10	7	1	16	0	0	0	0	5	23	7	1	13	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	158	32	34	10	7	1	14	0	0	0	0	5	22	7	1	13	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	22	9	1	0	0	0	4	3	0	0	0	0	0	1	1	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	5	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	2	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	180	22	26	18	9	0	15	5	0	2	2	18	19	10	0	18	16					
		2.39%	2.22%	2.39%	3.83%	1.68%	0.00%	2.10%	2.15%	0.00%	1.71%	1.44%	4.99%	2.07%	3.07%	0.00%	3.36%	1.89%					
19	2.Всероссийская политическая партия «Гражданская Сила»	10	1	0	0	0	0	1	0	0	0	1	0	3	0	0	1	3					
		0.13%	0.10%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.72%	0.00%	0.33%	0.00%	0.00%	0.19%	0.35%					
20	3.Политическая партия «Демократическая партия России»	9	1	1	0	1	0	1	0	0	1	0	2	0	0	0	0	2					
		0.12%	0.10%	0.09%	0.00%	0.19%	0.00%	0.14%	0.00%	0.00%	0.85%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.24%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	819	158	146	40	22	9	84	17	3	10	5	31	118	25	5	63	83					
		10.87%	15.93%	13.42%	8.51%	4.11%	8.04%	11.75%	7.30%	4.41%	8.55%	3.60%	8.59%	12.85%	7.67%	6.58%	11.78%	9.80%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1					
		0.05%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.12%					
23	6.Политическая партия «Партия социальной справедливости»	13	2	1	0	0	0	3	0	0	0	0	2	1	3	0	0	1					
		0.17%	0.20%	0.09%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.55%	0.11%	0.92%	0.00%	0.00%	0.12%					
24	7.Политическая партия «Либерально-демократическая партия России»	414	53	82	38	13	8	20	23	3	1	13	22	41	14	7	32	44					
		5.50%	5.34%	7.54%	8.09%	2.43%	7.14%	2.80%	9.87%	4.41%	0.85%	9.35%	6.09%	4.47%	4.29%	9.21%	5.98%	5.19%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	538	83	109	31	33	9	24	10	5	5	12	34	66	19	0	44	54					
		7.14%	8.37%	10.02%	6.60%	6.17%	8.04%	3.36%	4.29%	7.35%	4.27%	8.63%	9.42%	7.19%	5.83%	0.00%	8.22%	6.38%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	32	7	4	2	5	2	0	1	0	0	0	1	6	0	0	2	2					
		0.42%	0.71%	0.37%	0.43%	0.93%	1.79%	0.00%	0.43%	0.00%	0.00%	0.00%	0.28%	0.65%	0.00%	0.00%	0.37%	0.24%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5365	642	700	322	444	78	553	177	57	96	104	245	648	245	60	371	623					
		71.23%	64.72%	64.34%	68.51%	82.99%	69.64%	77.34%	75.97%	83.82%	82.05%	74.82%	67.87%	70.59%	75.15%	78.95%	69.35%	73.55%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	25	7	3	1	0	0	2	0	0	1	0	0	7	0	1	2	1					
		0.33%	0.71%	0.28%	0.21%	0.00%	0.00%	0.28%	0.00%	0.00%	0.85%	0.00%	0.00%	0.76%	0.00%	1.32%	0.37%	0.12%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
