Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Район Текстильщики																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК  3128	УИК  3129	УИК  3130					
1	"Число избирателей, внесенных в списки"	60954	2038	2577	2322	2531	2518	2626	2888	2340	2527	2091	2567	2191	1871	1762	2764	1846	2029	1605	2509	1822	1945	2367	1893	2730	2464	1628	1760	97	129	517					
2	"Число бюллетеней, полученных участковыми комиссиями"	54213	1800	2370	2040	2250	2220	2300	2470	2060	2220	1850	2270	1920	1660	1570	2420	1660	1820	1430	2290	1600	1760	2130	1670	2450	2180	1450	1610	97	129	517					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	33544	1065	1389	1275	1388	1321	1404	1591	1234	1327	1183	1521	1282	982	974	1557	1039	1118	895	1537	942	1046	1495	972	1565	1354	944	918	97	129	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1247	19	42	32	14	17	32	25	21	42	35	27	21	28	27	35	27	33	33	27	35	13	38	28	28	24	13	14	0	0	517					
6	Число погашенных бюллетеней	19398	716	939	733	848	882	864	854	797	851	632	722	602	650	568	828	594	669	502	726	623	701	597	670	857	802	493	678	0	0	0					
7	Число бюллетеней в переносных ящиках для голосования	1247	19	42	32	14	17	32	25	21	42	35	27	21	28	27	35	27	33	33	27	35	13	38	28	28	24	13	14	0	0	517					
8	Число бюллетеней в стационарных ящиках для голосования	33413	1065	1389	1275	1369	1321	1404	1591	1225	1322	1181	1518	1267	982	973	1557	1036	1118	895	1510	938	1045	1495	930	1565	1354	944	918	97	129	0					
9	Число недействительных бюллетеней	357	3	19	7	13	15	7	27	17	17	10	8	7	9	17	7	13	4	22	7	5	20	0	11	9	60	9	10	2	0	2					
10	Число действительных бюллетеней	34303	1081	1412	1300	1370	1323	1429	1589	1229	1347	1206	1537	1281	1001	983	1585	1050	1147	906	1530	968	1038	1533	947	1584	1318	948	922	95	129	515					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	850	35	35	35	35	25	0	45	35	0	25	55	35	35	25	35	35	35	25	45	0	45	35	25	45	45	25	35	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	673	26	35	25	28	22	0	45	31	0	16	45	23	24	17	33	29	30	14	42	0	29	28	19	37	28	24	23	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	768	17	19	30	11	14	0	39	15	105	13	28	8	71	17	0	92	64	13	26	24	19	15	12	20	16	14	6	13	39	8					
14	Число погашенных открепительных удостоверений	177	9	0	10	7	3	0	0	4	0	9	10	12	11	8	2	6	5	11	3	0	16	7	6	8	17	1	12	0	0	0					
15	Число открепительных удостоверений выданных ТИК	45	0	0	0	3	0	0	2	1	0	0	2	2	1	4	1	0	4	3	4	1	0	8	1	1	2	2	3	0	0	0					
16	Число утраченных бюллетеней	24	0	0	0	0	0	0	0	8	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	239	11	7	6	0	10	12	19	12	16	8	8	5	14	5	12	4	9	6	5	4	3	4	8	12	15	3	9	1	3	8					
		0.68%	1.01%	0.48%	0.45%	0.0%	0.74%	0.83%	1.17%	0.96%	1.17%	0.65%	0.51%	0.38%	1.38%	0.5%	0.75%	0.37%	0.78%	0.64%	0.32%	0.41%	0.28%	0.26%	0.83%	0.75%	1.08%	0.31%	0.96%	1.03%	2.32%	1.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2155	35	94	102	78	84	100	104	74	89	65	106	97	61	57	93	64	77	62	81	44	63	79	55	129	99	77	63	2	4	17					
		6.21%	3.22%	6.56%	7.80%	5.63%	6.27%	6.96%	6.43%	5.93%	6.52%	5.34%	6.86%	7.53%	6.03%	5.7%	5.84%	6.02%	6.68%	6.68%	5.27%	4.52%	5.95%	5.15%	5.74%	8.09%	7.18%	8.04%	6.75%	2.06%	3.10%	3.28%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	779	35	29	37	33	41	29	38	28	31	28	37	29	30	26	31	19	35	16	22	19	22	36	11	30	24	16	21	5	7	14					
		2.24%	3.22%	2.02%	2.83%	2.38%	3.06%	2.01%	2.35%	2.24%	2.27%	2.30%	2.39%	2.25%	2.97%	2.6%	1.94%	1.78%	3.04%	1.72%	1.43%	1.95%	2.07%	2.34%	1.14%	1.88%	1.74%	1.67%	2.25%	5.15%	5.42%	2.70%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2907	69	148	148	119	118	121	148	90	126	87	138	103	89	78	138	81	76	69	118	84	108	120	60	194	86	95	71	5	7	13					
		8.38%	6.36%	10.34%	11.32%	8.60%	8.81%	8.42%	9.15%	7.22%	9.23%	7.15%	8.93%	7.99%	8.81%	7.8%	8.66%	7.61%	6.60%	7.43%	7.67%	8.63%	10.20%	7.82%	6.26%	12.17%	6.24%	9.92%	7.61%	5.15%	5.42%	2.51%					
22	"5. ""За Русь Святую"""	167	8	7	4	2	10	8	5	7	6	3	7	8	1	7	11	10	10	2	4	6	5	3	6	8	6	3	5	0	2	3					
		0.48%	0.73%	0.48%	0.30%	0.14%	0.74%	0.55%	0.30%	0.56%	0.43%	0.24%	0.45%	0.62%	0.09%	0.7%	0.69%	0.94%	0.86%	0.21%	0.26%	0.61%	0.47%	0.19%	0.62%	0.50%	0.43%	0.31%	0.53%	0.0%	1.55%	0.58%					
23	"6. ""Объединенная Российская партия ""Русь"""	70	5	2	1	2	4	2	1	3	0	4	3	2	3	2	6	0	0	3	4	4	2	2	4	4	1	2	1	0	0	3					
		0.20%	0.46%	0.13%	0.07%	0.14%	0.29%	0.13%	0.06%	0.24%	0.0%	0.32%	0.19%	0.15%	0.29%	0.2%	0.37%	0.0%	0.0%	0.32%	0.26%	0.41%	0.18%	0.13%	0.41%	0.25%	0.07%	0.20%	0.10%	0.0%	0.0%	0.58%					
24	"7. ""Новый курс - Автомобильная Россия"""	532	19	34	7	15	28	18	24	23	25	26	24	10	15	20	22	16	24	11	18	16	19	30	12	17	19	12	19	2	1	6					
		1.53%	1.75%	2.37%	0.53%	1.08%	2.09%	1.25%	1.48%	1.84%	1.83%	2.13%	1.55%	0.77%	1.48%	2.0%	1.38%	1.50%	2.08%	1.18%	1.17%	1.64%	1.79%	1.95%	1.25%	1.06%	1.37%	1.25%	2.03%	2.06%	0.77%	1.16%					
25	"8. ""Народно-республиканская партия России"""	23	0	2	1	0	0	0	0	0	3	2	1	0	1	0	1	2	0	0	0	0	1	2	1	3	1	1	0	1	0	0					
		0.06%	0.0%	0.13%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.16%	0.06%	0.0%	0.09%	0.0%	0.06%	0.18%	0.0%	0.0%	0.0%	0.0%	0.09%	0.13%	0.10%	0.18%	0.07%	0.10%	0.0%	1.03%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	244	4	11	10	4	7	10	14	10	7	8	7	15	4	7	16	13	16	3	9	11	9	5	13	6	8	10	5	0	2	0					
		0.70%	0.36%	0.76%	0.76%	0.28%	0.52%	0.69%	0.86%	0.80%	0.51%	0.65%	0.45%	1.16%	0.39%	0.7%	1.00%	1.22%	1.39%	0.32%	0.58%	1.13%	0.85%	0.32%	1.35%	0.37%	0.58%	1.04%	0.53%	0.0%	1.55%	0.0%					
27	"10. ""Аграрная партия России"""	536	17	27	15	19	24	18	26	18	17	31	34	29	12	11	26	17	20	22	26	11	0	22	0	28	18	21	14	3	0	10					
		1.54%	1.56%	1.88%	1.14%	1.37%	1.79%	1.25%	1.60%	1.44%	1.24%	2.54%	2.20%	2.25%	1.18%	1.1%	1.63%	1.59%	1.73%	2.37%	1.69%	1.13%	0.0%	1.43%	0.0%	1.75%	1.30%	2.19%	1.50%	3.09%	0.0%	1.93%					
28	"11. ""Истинные патриоты России"""	46	2	1	3	0	0	1	2	1	1	0	2	1	1	0	1	2	0	0	0	0	11	0	9	2	0	1	3	1	1	0					
		0.13%	0.18%	0.06%	0.22%	0.0%	0.0%	0.06%	0.12%	0.08%	0.07%	0.0%	0.12%	0.07%	0.09%	0.0%	0.06%	0.18%	0.0%	0.0%	0.0%	0.0%	1.03%	0.0%	0.93%	0.12%	0.0%	0.10%	0.32%	1.03%	0.77%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	376	11	23	16	19	5	12	22	7	15	10	17	13	7	16	11	10	16	11	14	18	14	25	4	12	27	9	7	1	2	2					
		1.08%	1.01%	1.60%	1.22%	1.37%	0.37%	0.83%	1.36%	0.56%	1.09%	0.82%	1.10%	1.00%	0.69%	1.6%	0.69%	0.94%	1.39%	1.18%	0.91%	1.84%	1.32%	1.63%	0.41%	0.75%	1.95%	0.94%	0.75%	1.03%	1.55%	0.38%					
30	"13. ""Демократическая партия России"""	44	3	1	2	3	0	2	4	3	3	1	2	2	0	1	0	2	1	3	0	0	1	1	5	0	1	0	0	0	1	2					
		0.12%	0.27%	0.06%	0.15%	0.21%	0.0%	0.13%	0.24%	0.24%	0.21%	0.08%	0.12%	0.15%	0.0%	0.1%	0.0%	0.18%	0.08%	0.32%	0.0%	0.0%	0.09%	0.06%	0.52%	0.0%	0.07%	0.0%	0.0%	0.0%	0.77%	0.38%					
31	"14. ""Великая Россия - Евразийский Союз"""	84	1	5	1	1	0	3	2	9	2	1	4	3	0	1	4	3	2	0	7	2	1	4	16	1	0	4	4	1	2	0					
		0.24%	0.09%	0.34%	0.07%	0.07%	0.0%	0.20%	0.12%	0.72%	0.14%	0.08%	0.25%	0.23%	0.0%	0.1%	0.25%	0.28%	0.17%	0.0%	0.45%	0.20%	0.09%	0.26%	1.67%	0.06%	0.0%	0.41%	0.42%	1.03%	1.55%	0.0%					
32	"15. ""Партия СЛОН"""	122	4	7	1	0	8	5	7	3	1	5	4	5	7	5	7	3	9	5	2	1	2	5	6	4	7	3	5	1	0	0					
		0.35%	0.36%	0.48%	0.07%	0.0%	0.59%	0.34%	0.43%	0.24%	0.07%	0.41%	0.25%	0.38%	0.69%	0.5%	0.43%	0.28%	0.78%	0.53%	0.13%	0.10%	0.18%	0.32%	0.62%	0.25%	0.50%	0.31%	0.53%	1.03%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5165	157	178	200	210	217	211	209	150	221	194	257	199	168	131	231	125	191	138	273	146	163	222	109	245	204	201	150	6	10	49					
		14.90%	14.48%	12.43%	15.30%	15.18%	16.21%	14.69%	12.93%	12.03%	16.20%	15.95%	16.63%	15.45%	16.63%	13.1%	14.51%	11.75%	16.59%	14.87%	17.76%	15.00%	15.40%	14.48%	11.37%	15.37%	14.80%	21.00%	16.09%	6.18%	7.75%	9.47%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	47	7	2	3	1	1	1	0	3	4	1	4	0	0	1	0	1	1	3	1	1	0	3	3	1	3	0	0	0	0	2					
		0.13%	0.64%	0.13%	0.22%	0.07%	0.07%	0.06%	0.0%	0.24%	0.29%	0.08%	0.25%	0.0%	0.0%	0.1%	0.0%	0.09%	0.08%	0.32%	0.06%	0.10%	0.0%	0.19%	0.31%	0.06%	0.21%	0.0%	0.0%	0.0%	0.0%	0.38%					
35	"18. ""ЛДПР"""	2413	97	92	89	72	82	92	132	94	110	68	112	83	65	61	117	100	68	57	116	81	52	91	87	98	87	51	76	17	24	42					
		6.96%	8.94%	6.42%	6.80%	5.20%	6.12%	6.40%	8.16%	7.54%	8.06%	5.59%	7.24%	6.44%	6.43%	6.1%	7.34%	9.40%	5.90%	6.14%	7.54%	8.32%	4.91%	5.93%	9.08%	6.15%	6.31%	5.32%	8.15%	17.52%	18.60%	8.12%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	323	17	12	20	30	16	9	18	12	15	17	10	15	6	8	7	9	5	8	11	14	9	10	4	7	13	8	8	0	0	5					
		0.93%	1.56%	0.83%	1.53%	2.16%	1.19%	0.62%	1.11%	0.96%	1.09%	1.39%	0.64%	1.16%	0.59%	0.8%	0.43%	0.84%	0.43%	0.86%	0.71%	1.43%	0.85%	0.65%	0.41%	0.43%	0.94%	0.83%	0.85%	0.0%	0.0%	0.96%					
37	"20. ""Политическая партия ""Единая Россия"""	12987	415	517	454	560	498	564	591	500	461	475	535	496	372	403	641	416	399	341	585	368	386	641	386	562	519	288	321	29	28	236					
		37.46%	38.28%	36.12%	34.73%	40.49%	37.21%	39.27%	36.57%	40.12%	33.79%	39.06%	34.62%	38.50%	36.83%	40.3%	40.26%	39.13%	34.66%	36.74%	38.06%	37.82%	36.48%	41.81%	40.29%	35.27%	37.66%	30.09%	34.44%	29.89%	21.70%	45.64%					
38	"21. ""Российская Конституционно-демократическая партия"""	49	1	3	4	1	0	3	4	0	3	0	0	1	0	1	1	5	1	1	1	0	3	5	4	1	0	2	0	0	0	4					
		0.14%	0.09%	0.20%	0.30%	0.07%	0.0%	0.20%	0.24%	0.0%	0.21%	0.0%	0.0%	0.07%	0.0%	0.1%	0.06%	0.47%	0.08%	0.10%	0.06%	0.0%	0.28%	0.32%	0.41%	0.06%	0.0%	0.20%	0.0%	0.0%	0.0%	0.77%					
39	"22. ""Развитие предпринимательства"""	76	1	4	3	3	1	0	0	1	1	2	3	11	6	3	6	3	2	0	0	4	5	2	1	6	3	1	2	0	0	2					
		0.21%	0.09%	0.27%	0.22%	0.21%	0.07%	0.0%	0.0%	0.08%	0.07%	0.16%	0.19%	0.85%	0.59%	0.3%	0.37%	0.28%	0.17%	0.0%	0.0%	0.41%	0.47%	0.13%	0.10%	0.37%	0.21%	0.10%	0.21%	0.0%	0.0%	0.38%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2582	88	113	89	118	92	97	99	88	97	103	124	80	74	85	103	71	120	83	123	68	89	122	56	122	92	79	63	4	4	36					
		7.44%	8.11%	7.89%	6.80%	8.53%	6.87%	6.75%	6.12%	7.06%	7.11%	8.47%	8.02%	6.21%	7.32%	8.5%	6.46%	6.67%	10.42%	8.94%	8.00%	6.98%	8.41%	7.95%	5.84%	7.65%	6.67%	8.25%	6.75%	4.12%	3.10%	6.96%					
																																					
41	Против всех	2337	74	93	84	80	77	111	120	93	93	67	98	74	65	54	100	74	65	62	110	66	70	99	87	92	85	61	75	16	31	61					
		6.74%	6.82%	6.49%	6.42%	5.78%	5.75%	7.72%	7.42%	7.46%	6.81%	5.50%	6.34%	5.74%	6.43%	5.4%	6.28%	6.96%	5.64%	6.68%	7.15%	6.78%	6.61%	6.45%	9.08%	5.77%	6.16%	6.37%	8.04%	16.49%	24.03%	11.79%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
