Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Великолукская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18123	635	455	371	260	812	621	482	200	564	740	992	466	1158	413	390	1239	584	865	647	422	779	271	211	397	459	455	300	296	914	963	528	234									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17100	600	450	350	250	800	600	450	200	500	700	1000	450	1000	400	350	1000	550	800	600	400	750	250	200	400	450	450	300	300	900	950	500	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5247	241	97	117	62	181	145	123	38	186	248	250	102	317	110	170	450	150	218	176	89	256	70	47	112	92	141	109	100	333	321	151	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2518	76	66	91	36	89	54	99	61	70	87	47	127	105	61	45	80	86	117	103	87	103	53	48	121	203	93	38	23	69	76	17	87									
6	Число погашенных избирательных бюллетеней	9335	283	287	142	152	530	401	228	101	244	365	703	221	578	229	135	470	314	465	321	224	391	127	105	167	155	216	153	177	498	553	332	68									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2518	76	66	91	36	89	54	99	61	70	87	47	127	105	61	45	80	86	117	103	87	103	53	48	121	203	93	38	23	69	76	17	87									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5247	241	97	117	62	181	145	123	38	186	248	250	102	317	110	170	450	150	218	176	89	256	70	47	112	92	141	109	100	333	321	151	45									
9	Число недействительных избирательных бюллетеней	116	5	2	2	1	6	2	6	3	8	9	7	0	0	5	9	13	7	2	0	1	5	1	1	1	1	2	0	3	5	7	1	1									
10	Число действительных избирательных бюллетеней	7649	312	161	206	97	264	197	216	96	248	326	290	229	422	166	206	517	229	333	279	175	354	122	94	232	294	232	147	120	397	390	167	131									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	383	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	113	4	12	4	1	3	0	4	0	1	9	0	0	2	12	6	12	0	5	1	0	0	1	2	12	3	3	0	1	12	1	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	4	2	3	2	1	0	2	0	1	4	0	2	4	1	2	4	4	5	2	5	5	4	2	1	0	1	0	0	0	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	270	8	0	8	11	9	12	8	12	11	3	12	12	10	0	6	0	12	7	11	12	12	11	10	0	9	9	12	11	0	11	10	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	107	6	2	0	1	1	1	1	0	9	2	4	5	5	4	2	10	1	1	2	4	8	0	4	2	0	1	1	2	5	14	8	1									
		1.38%	1.89%	1.23%	0.00%	1.02%	0.37%	0.50%	0.45%	0.00%	3.52%	0.60%	1.35%	2.18%	1.18%	2.34%	0.93%	1.89%	0.42%	0.30%	0.72%	2.27%	2.23%	0.00%	4.21%	0.86%	0.00%	0.43%	0.68%	1.63%	1.24%	3.53%	4.76%	0.76%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	229	10	2	1	2	4	5	5	4	4	9	11	11	8	6	4	29	11	16	6	3	16	4	4	3	4	8	3	5	6	15	5	5									
		2.95%	3.15%	1.23%	0.48%	2.04%	1.48%	2.51%	2.25%	4.04%	1.56%	2.69%	3.70%	4.80%	1.90%	3.51%	1.86%	5.47%	4.66%	4.78%	2.15%	1.70%	4.46%	3.25%	4.21%	1.29%	1.36%	3.42%	2.04%	4.07%	1.49%	3.78%	2.98%	3.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	161	3	5	4	1	3	4	6	0	8	8	6	3	14	2	2	16	6	7	12	2	9	7	0	6	2	4	1	0	13	2	1	4									
		2.07%	0.95%	3.07%	1.92%	1.02%	1.11%	2.01%	2.70%	0.00%	3.13%	2.39%	2.02%	1.31%	3.32%	1.17%	0.93%	3.02%	2.54%	2.09%	4.30%	1.14%	2.51%	5.69%	0.00%	2.58%	0.68%	1.71%	0.68%	0.00%	3.23%	0.50%	0.60%	3.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3747	137	80	132	66	137	117	93	54	106	147	134	126	183	102	116	238	119	121	129	68	113	49	41	131	195	117	90	63	204	180	83	76									
		48.25%	43.22%	49.08%	63.46%	67.35%	50.74%	58.79%	41.89%	54.55%	41.41%	43.88%	45.12%	55.02%	43.36%	59.65%	53.95%	44.91%	50.42%	36.12%	46.24%	38.64%	31.48%	39.84%	43.16%	56.22%	66.10%	50.00%	61.22%	51.22%	50.75%	45.34%	49.40%	57.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	41	1	0	2	0	4	0	2	0	2	2	0	2	0	2	3	3	1	1	3	1	2	0	1	2	0	0	1	0	3	3	0	0									
		0.53%	0.32%	0.00%	0.96%	0.00%	1.48%	0.00%	0.90%	0.00%	0.78%	0.60%	0.00%	0.87%	0.00%	1.17%	1.40%	0.57%	0.42%	0.30%	1.08%	0.57%	0.56%	0.00%	1.05%	0.86%	0.00%	0.00%	0.68%	0.00%	0.75%	0.76%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0									
		0.17%	0.63%	0.61%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1301	52	28	28	11	32	35	58	17	39	55	49	35	93	25	28	85	41	55	49	28	50	14	25	32	25	30	22	25	81	97	32	25									
		16.75%	16.40%	17.18%	13.46%	11.22%	11.85%	17.59%	26.13%	17.17%	15.23%	16.42%	16.50%	15.28%	22.04%	14.62%	13.02%	16.04%	17.37%	16.42%	17.56%	15.91%	13.93%	11.38%	26.32%	13.73%	8.47%	12.82%	14.97%	20.33%	20.15%	24.43%	19.05%	18.94%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	23	1	0	0	1	1	2	1	0	0	0	4	0	1	0	1	0	1	0	2	1	0	1	0	0	0	0	0	0	1	1	4	0									
		0.30%	0.32%	0.00%	0.00%	1.02%	0.37%	1.01%	0.45%	0.00%	0.00%	0.00%	1.35%	0.00%	0.24%	0.00%	0.47%	0.00%	0.42%	0.00%	0.72%	0.57%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.25%	2.38%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	54	3	3	0	1	5	5	4	0	0	3	1	1	3	0	1	1	2	4	1	0	0	4	0	0	0	0	0	3	4	3	1	1									
		0.70%	0.95%	1.84%	0.00%	1.02%	1.85%	2.51%	1.80%	0.00%	0.00%	0.90%	0.34%	0.44%	0.71%	0.00%	0.47%	0.19%	0.85%	1.19%	0.36%	0.00%	0.00%	3.25%	0.00%	0.00%	0.00%	0.00%	0.00%	2.44%	0.99%	0.76%	0.60%	0.76%									
