Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Район Якиманка																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №3041					
1	"Число избирателей, внесенных в списки"	16033	1213	1725	2436	1316	2097	2313	2228	1975	730					
2	"Число бюллетеней, полученных участковыми комиссиями"	14030	1060	1440	2140	1110	1900	2050	1980	1780	570					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9151	774	941	1448	807	1255	1446	1251	1194	35					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	790	24	39	60	31	49	38	74	48	427					
6	Число погашенных бюллетеней	4089	262	460	632	272	596	566	655	538	108					
7	Число бюллетеней в переносных ящиках для голосования	790	24	39	60	31	49	38	74	48	427					
8	Число бюллетеней в стационарных ящиках для голосования	9133	772	941	1448	805	1253	1436	1249	1194	35					
9	Число недействительных бюллетеней	63	5	6	8	4	7	5	20	5	3					
10	Число действительных бюллетеней	9860	791	974	1500	832	1295	1469	1303	1237	459					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	35	35	40	35	40	40	40	35	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	192	23	23	29	16	27	22	25	27	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	791	86	177	96	123	56	92	39	49	73					
14	Число погашенных открепительных удостоверений	108	12	12	11	19	13	18	15	8	0					
15	Число открепительных удостоверений выданных ТИК	3	0	2	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	65	2	6	10	4	7	18	10	4	4					
		0.65%	0.25%	0.61%	0.66%	0.47%	0.53%	1.22%	0.75%	0.32%	0.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1180	112	132	193	127	111	141	129	202	33					
		11.89%	14.07%	13.46%	12.79%	15.19%	8.52%	9.56%	9.75%	16.26%	7.14%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	160	7	13	20	15	19	29	28	14	15					
		1.61%	0.87%	1.32%	1.32%	1.79%	1.45%	1.96%	2.11%	1.12%	3.24%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1540	101	175	209	134	206	261	189	240	25					
		15.51%	12.68%	17.85%	13.85%	16.02%	15.82%	17.70%	14.28%	19.32%	5.41%					
22	"5. ""За Русь Святую"""	58	5	10	8	4	7	6	7	5	6					
		0.58%	0.62%	1.02%	0.53%	0.47%	0.53%	0.40%	0.52%	0.40%	1.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	0	1	1	4	2	1	4	2	1					
		0.16%	0.0%	0.10%	0.06%	0.47%	0.15%	0.06%	0.30%	0.16%	0.21%					
24	"7. ""Новый курс - Автомобильная Россия"""	103	5	11	10	10	16	23	8	16	4					
		1.03%	0.62%	1.12%	0.66%	1.19%	1.22%	1.56%	0.60%	1.28%	0.86%					
25	"8. ""Народно-республиканская партия России"""	11	5	0	1	0	0	3	1	1	0					
		0.11%	0.62%	0.0%	0.06%	0.0%	0.0%	0.20%	0.07%	0.08%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	92	7	14	11	13	8	11	14	12	2					
		0.92%	0.87%	1.42%	0.72%	1.55%	0.61%	0.74%	1.05%	0.96%	0.43%					
27	"10. ""Аграрная партия России"""	160	7	13	21	10	20	32	32	13	12					
		1.61%	0.87%	1.32%	1.39%	1.19%	1.53%	2.17%	2.41%	1.04%	2.59%					
28	"11. ""Истинные патриоты России"""	10	1	1	0	0	2	2	1	0	3					
		0.10%	0.12%	0.10%	0.0%	0.0%	0.15%	0.13%	0.07%	0.0%	0.64%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	107	10	13	19	10	16	9	13	15	2					
		1.07%	1.25%	1.32%	1.25%	1.19%	1.22%	0.61%	0.98%	1.20%	0.43%					
30	"13. ""Демократическая партия России"""	14	1	1	5	0	1	3	3	0	0					
		0.14%	0.12%	0.10%	0.33%	0.0%	0.07%	0.20%	0.22%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	32	3	5	4	3	3	6	5	3	0					
		0.32%	0.37%	0.51%	0.26%	0.35%	0.23%	0.40%	0.37%	0.24%	0.0%					
32	"15. ""Партия СЛОН"""	14	0	1	3	1	3	1	2	2	1					
		0.14%	0.0%	0.10%	0.19%	0.11%	0.23%	0.06%	0.15%	0.16%	0.21%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1601	155	127	288	110	257	220	199	167	78					
		16.13%	19.47%	12.95%	19.09%	13.15%	19.73%	14.92%	15.04%	13.44%	16.88%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	6	0	3	0	0	0	0	3	0	0					
		0.06%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%					
35	"18. ""ЛДПР"""	434	28	43	58	27	54	74	75	43	32					
		4.37%	3.51%	4.38%	3.84%	3.22%	4.14%	5.02%	5.66%	3.46%	6.92%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	69	4	7	5	6	14	13	5	11	4					
		0.69%	0.50%	0.71%	0.33%	0.71%	1.07%	0.88%	0.37%	0.88%	0.86%					
37	"20. ""Политическая партия ""Единая Россия"""	2556	174	260	404	236	282	351	377	302	170					
		25.75%	21.85%	26.53%	26.79%	28.22%	21.65%	23.81%	28.49%	24.31%	36.79%					
38	"21. ""Российская Конституционно-демократическая партия"""	7	0	0	0	1	1	2	1	2	0					
		0.07%	0.0%	0.0%	0.0%	0.11%	0.07%	0.13%	0.07%	0.16%	0.0%					
39	"22. ""Развитие предпринимательства"""	25	2	4	2	2	1	10	1	3	0					
		0.25%	0.25%	0.40%	0.13%	0.23%	0.07%	0.67%	0.07%	0.24%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1029	108	71	149	66	194	166	126	111	38					
		10.36%	13.56%	7.24%	9.88%	7.89%	14.90%	11.26%	9.52%	8.93%	8.22%					
																
41	Против всех	571	54	63	79	49	71	87	70	69	29					
		5.75%	6.78%	6.42%	5.23%	5.86%	5.45%	5.90%	5.29%	5.55%	6.27%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
