Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
"Наименование Избирательной комиссии:    Пенза, Первомайская"																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №404	УИК №718	УИК №737	УИК №817	УИК №818	УИК №1010									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	104734	1862	1369	1464	1870	1787	1285	1370	1381	2076	1913	1653	1264	2099	1584	2505	2549	629	1911	1395	1638	850	1469	1829	1624	2052	1862	2212	2562	2112	1764	2689	1550	1497	1781	1830	2625	2688	1186	1285	2905	1902	2381	2576	1930	1961	2236	2072	1571	1749	1986	2347	2124	2237	2285	742	1067	783	327	240	151	91									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86700	1500	1100	1300	1500	1500	1000	1100	1100	1700	1500	1300	1000	1600	1300	2000	2000	500	1600	1100	1300	700	1200	1500	1100	1600	1500	2000	2000	1700	1500	2200	1200	1200	1500	1500	2200	2200	1000	1000	2500	1500	2000	2000	1600	1600	2000	1600	1300	1500	1500	2000	1700	2000	2000	500	1500	1000	400	300	200	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45035	926	890	983	833	724	628	629	641	1350	1169	700	508	970	635	1018	1018	263	616	495	534	287	629	775	800	649	627	832	1065	959	982	1144	528	651	645	598	991	1216	376	458	1098	664	973	899	714	748	873	785	633	630	697	999	1364	989	920	353	876	364	266	228	151	69									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4334	69	51	27	75	103	49	35	28	49	193	91	68	43	83	27	60	17	124	145	172	75	22	38	28	222	120	104	63	41	25	49	29	22	47	34	47	46	97	90	80	107	140	121	25	42	6	18	22	21	133	72	35	54	35	10	191	419	61	12	0	22									
6	Число погашенных избирательных бюллетеней	37331	505	159	290	592	673	323	436	431	301	138	509	424	587	582	955	922	220	860	460	594	338	549	687	272	729	753	1064	872	700	493	1007	643	527	808	868	1162	938	527	452	1322	729	887	980	861	810	1121	797	645	849	670	929	301	957	1045	137	433	217	73	60	49	109									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4333	69	51	27	75	103	49	35	28	49	193	91	68	43	83	27	60	17	124	145	172	75	22	38	28	222	119	104	63	41	25	49	29	22	47	34	47	46	97	90	80	107	140	121	25	42	6	18	22	21	133	72	35	54	35	10	191	419	61	12	0	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	44912	924	888	980	832	723	628	627	640	1346	1168	700	508	970	632	1018	1018	263	616	495	534	287	629	775	800	649	627	831	1065	918	981	1143	528	651	643	597	944	1214	376	458	1097	664	973	899	710	748	873	785	633	629	697	999	1364	988	920	353	876	364	266	228	151	69									
9	Число недействительных избирательных бюллетеней	789	16	11	16	18	13	13	12	13	23	24	13	11	27	15	21	15	3	21	12	13	3	13	22	7	18	19	12	15	8	13	17	5	16	13	16	20	19	6	19	21	12	4	27	12	14	6	11	7	13	9	8	5	26	20	8	3	6	0	0	6	0									
10	Число действительных избирательных бюллетеней	48456	977	928	991	889	813	664	650	655	1372	1337	778	565	986	700	1024	1063	277	719	628	693	359	638	791	821	853	727	923	1113	951	993	1175	552	657	677	615	971	1241	467	529	1156	759	1109	993	723	776	873	792	648	637	821	1063	1394	1016	935	355	1064	777	327	240	145	91									
