Выборы Президента Российской Федерации																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Белорецкая городская																																																																																																					
																																																																																																					
Итоги голосования 																																																																																																					
																																																																																																					
		Сумма	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659					
1	"Число избирателей, внесенных в список"	82334	1964	1783	2058	1661	1748	1969	1849	1819	1646	1637	1691	1473	1696	1780	1752	1622	1768	1548	1719	1647	2069	1901	1713	1785	1676	1578	1840	1965	906	933	771	1148	1798	1819	900	993	506	656	667	504	618	375	191	237	723	784	101	896	628	840	317	780	1111	851	160	351	245	327	180	72	556	455	180	138	114	135	677	92	554	308	140	153	204	511	403	955	221	89	96	141	259	1265	211	486	85	100	104	224	1047	332	397	495	275	187					
2	Число полученных избирательных бюллетеней	81552	1929	1786	1990	1634	1737	1937	1830	1776	1698	1604	1669	1514	1696	1770	1729	1709	1734	1531	1860	1612	2030	1860	1655	1619	1627	1569	1765	1924	943	918	797	1009	1804	1772	901	972	508	694	690	489	631	370	190	237	713	787	105	895	637	838	310	797	1155	828	160	293	239	324	177	71	550	406	172	138	114	132	675	89	536	299	140	154	208	505	394	947	220	89	96	155	247	1266	204	492	86	96	102	226	1048	356	404	513	265	180					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	63688	1659	1398	1726	1030	1374	1676	974	1517	812	1305	952	1204	988	1379	1480	1019	1138	783	1510	1055	1728	1718	1456	1294	1450	1323	1234	1508	697	752	642	894	1392	1531	686	899	443	532	552	400	414	295	129	218	590	649	57	765	575	693	265	631	1050	744	160	237	213	297	152	67	403	340	166	124	112	123	505	81	512	281	135	142	184	300	377	659	168	66	86	126	185	1150	178	444	75	89	93	201	602	288	348	411	246	177					
5	"Число избирательных бюллетеней, выданных вне помещения"	4669	32	117	43	62	24	18	51	51	64	51	43	63	76	130	27	51	50	106	89	161	82	17	32	241	107	66	256	174	85	60	53	65	91	37	136	26	20	64	49	60	118	17	46	0	63	32	35	35	0	59	21	81	41	26	0	56	12	7	5	3	0	28	0	0	2	0	107	6	10	0	5	5	9	142	0	163	22	9	10	8	50	47	1	15	10	3	2	5	244	30	15	25	9	0					
6	Число погашенных избирательных бюллетеней	13168	238	271	221	542	339	243	778	208	822	248	674	247	632	261	222	639	546	642	261	396	220	125	167	84	70	180	275	242	161	106	102	50	321	204	79	47	45	98	89	29	99	58	15	19	60	106	13	95	62	86	24	85	64	58	0	0	14	20	20	1	147	38	6	14	0	9	63	2	14	18	0	7	15	63	17	125	30	14	0	21	12	69	25	33	1	4	7	20	202	38	41	77	10	3					
7	Число избирательных бюллетеней в переносных ящиках	4667	32	117	43	62	24	18	51	51	64	51	43	63	76	130	27	49	50	106	89	161	82	17	32	241	107	66	256	174	85	60	53	65	91	37	136	26	20	64	49	60	118	17	46	0	63	32	35	35	0	59	21	81	41	26	0	56	12	7	5	3	0	28	0	0	2	0	107	6	10	0	5	5	9	142	0	163	22	9	10	8	50	47	1	15	10	3	2	5	244	30	15	25	9	0					
8	Число бюллетеней в стационарных ящиках для голосования	63638	1659	1398	1726	1030	1374	1676	974	1517	812	1305	952	1204	988	1379	1480	970	1138	783	1510	1055	1728	1718	1456	1294	1450	1323	1234	1508	697	752	642	894	1392	1531	686	899	443	532	552	400	414	295	129	218	590	649	57	765	575	693	265	631	1050	744	160	237	213	297	152	67	403	340	166	124	112	123	505	81	512	281	135	142	184	300	376	659	168	66	86	126	185	1150	178	444	75	89	93	201	602	288	348	411	246	177					
9	Число недействительных избирательных бюллетеней	558	13	22	7	7	13	5	6	0	10	12	8	8	1	3	6	11	7	12	5	10	5	2	10	1	11	10	8	10	0	5	9	7	26	4	25	45	2	4	2	5	8	8	0	2	8	8	0	3	7	4	8	6	8	12	10	0	6	0	0	0	0	0	3	2	0	0	8	3	17	0	0	1	1	2	4	7	6	0	0	0	0	8	1	7	1	4	2	1	6	3	10	2	2	2					
10	Число действительных избирательных бюллетеней	67747	1678	1493	1762	1085	1385	1689	1019	1568	866	1344	987	1259	1063	1506	1501	1008	1181	877	1594	1206	1805	1733	1478	1534	1546	1379	1482	1672	782	807	686	952	1457	1564	797	880	461	592	599	455	524	304	175	216	645	673	92	797	568	748	278	706	1083	758	150	293	219	304	157	70	403	368	163	122	114	123	604	84	505	281	140	146	192	440	372	815	184	75	96	134	235	1189	178	452	84	88	93	205	840	315	353	434	253	175					
