Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Долгопрудненская городская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №651									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	69151	349	193	977	1183	1480	1717	1740	944	1985	169	1944	1671	2203	2131	1478	1442	1993	2456	807	2478	2397	2121	1555	2658	1774	1331	2248	2006	2158	2086	1863	1067	2521	2270	573	2154	2720	1235	930	761	906	1771	706									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55025	300	185	700	900	1200	1300	1300	800	1500	140	1500	1300	1800	1700	1200	1100	1600	1900	650	2000	2000	1700	1300	2200	1300	1000	1800	1600	1800	1700	1500	900	2100	1800	450	1800	2000	1000	700	700	800	1300	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25799	133	167	450	417	576	653	510	323	783	79	904	610	730	840	535	634	805	907	357	817	655	665	492	1184	692	546	816	847	778	643	618	315	932	866	176	833	1218	448	323	267	300	710	245									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	738	4	0	23	3	13	5	20	3	10	20	50	62	110	16	20	28	7	6	0	40	6	2	8	4	4	25	1	2	53	6	5	4	43	3	10	14	2	60	17	16	10	3	0									
6	Число погашенных избирательных бюллетеней	28488	163	18	227	480	611	642	770	474	707	41	546	628	960	844	645	438	788	987	293	1143	1339	1033	800	1012	604	429	983	751	969	1051	877	581	1125	931	264	953	780	492	360	417	490	587	255									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	737	4	0	23	3	13	5	20	3	10	20	50	61	110	16	20	28	7	6	0	40	6	2	8	4	4	25	1	2	53	6	5	4	43	3	10	14	2	60	17	16	10	3	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25739	133	167	450	417	575	653	493	323	782	79	904	610	730	834	535	634	805	907	357	816	652	663	492	1184	691	537	816	843	778	642	618	314	932	866	176	833	1218	448	323	256	299	710	244									
9	Число недействительных избирательных бюллетеней	529	1	0	8	16	15	15	9	10	11	2	0	13	45	67	17	8	8	20	3	10	39	13	4	14	10	8	10	12	8	22	6	8	5	15	6	12	30	1	9	5	4	8	2									
10	Число действительных избирательных бюллетеней	25947	136	167	465	404	573	643	504	316	781	97	954	658	795	783	538	654	804	893	354	846	619	652	496	1174	685	554	807	833	823	626	617	310	970	854	180	835	1190	507	331	267	305	705	242									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1700	8	1	21	28	37	40	43	23	49	2	49	41	56	54	37	36	51	61	20	63	63	53	40	68	39	33	57	50	55	52	47	26	65	56	13	54	64	29	21	21	22	38	14									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	684	0	0	8	12	12	10	22	4	13	1	24	25	27	21	9	21	15	21	5	30	27	24	20	39	28	16	16	11	22	25	17	6	22	33	5	17	44	2	3	5	7	12	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	731	14	47	32	23	23	38	21	35	24	8	13	5	24	24	22	11	7	34	8	19	10	10	8	11	32	2	8	14	3	10	15	12	9	25	5	26	8	29	11	24	6	14	7									
14	Число погашенных неиспользованных открепительных удостоверений	1016	8	1	13	16	25	30	21	19	36	1	25	16	29	33	28	15	36	40	15	33	36	29	20	29	11	17	41	39	33	27	30	20	43	23	8	37	20	27	18	16	15	26	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	383	0	0	6	5	9	16	6	3	10	2	3	8	11	4	8	9	11	8	6	13	14	14	5	21	22	7	6	10	15	13	11	4	15	12	7	10	25	5	3	3	5	11	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	690	3	5	8	13	14	22	23	8	28	3	24	20	15	24	12	9	29	24	13	11	23	18	11	24	28	17	24	14	24	26	10	8	22	21	8	7	34	24	5	2	10	14	8									
		2.61%	2.19%	2.99%	1.69%	3.10%	2.38%	3.34%	4.48%	2.45%	3.54%	3.03%	2.52%	2.98%	1.79%	2.82%	2.16%	1.36%	3.57%	2.63%	3.64%	1.29%	3.50%	2.71%	2.20%	2.02%	4.03%	3.02%	2.94%	1.66%	2.89%	4.01%	1.61%	2.52%	2.26%	2.42%	4.30%	0.83%	2.79%	4.72%	1.47%	0.74%	3.24%	1.96%	3.28%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	412	1	1	5	5	12	14	6	12	9	1	18	5	13	6	5	4	19	14	8	21	8	12	5	12	10	18	11	8	16	24	3	7	14	15	4	7	17	11	7	6	4	9	5									
		1.56%	0.73%	0.60%	1.06%	1.19%	2.04%	2.13%	1.17%	3.68%	1.14%	1.01%	1.89%	0.75%	1.55%	0.71%	0.90%	0.60%	2.34%	1.53%	2.24%	2.45%	1.22%	1.80%	1.00%	1.01%	1.44%	3.20%	1.35%	0.95%	1.93%	3.70%	0.48%	2.20%	1.44%	1.73%	2.15%	0.83%	1.39%	2.17%	2.06%	2.21%	1.29%	1.26%	2.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	585	8	1	3	10	16	27	18	11	14	2	26	17	24	22	9	7	19	7	7	28	16	21	10	21	10	13	13	8	11	17	4	17	10	24	2	5	38	13	13	5	22	12	4									
		2.21%	5.84%	0.60%	0.63%	2.38%	2.72%	4.10%	3.51%	3.37%	1.77%	2.02%	2.73%	2.53%	2.86%	2.59%	1.62%	1.06%	2.34%	0.77%	1.96%	3.27%	2.43%	3.16%	2.00%	1.77%	1.44%	2.31%	1.59%	0.95%	1.32%	2.62%	0.64%	5.35%	1.03%	2.76%	1.08%	0.59%	3.11%	2.56%	3.82%	1.84%	7.12%	1.68%	1.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13606	56	20	264	154	268	219	236	152	428	34	568	360	347	444	305	465	388	467	181	435	301	252	251	519	292	286	432	613	472	299	350	121	672	426	69	624	562	278	158	196	127	410	105									
		51.39%	40.88%	11.98%	55.81%	36.67%	45.58%	33.28%	46.00%	46.63%	54.04%	34.34%	59.54%	53.65%	41.31%	52.24%	54.95%	70.24%	47.78%	51.15%	50.70%	50.82%	45.74%	37.89%	50.20%	43.69%	42.01%	50.89%	52.88%	72.54%	56.80%	46.14%	56.18%	38.05%	68.92%	49.02%	37.10%	73.67%	46.07%	54.72%	46.47%	72.06%	41.10%	57.50%	43.03%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	296	3	1	4	7	9	12	3	3	0	0	18	10	10	11	6	4	8	1	4	7	5	11	2	22	16	6	8	4	2	10	3	4	8	19	3	6	17	9	4	0	1	11	4									
