Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Суражская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19076	1130	829	904	926	1110	869	875	1416	1560	546	350	117	207	221	333	140	285	354	407	383	261	512	135	344	130	299	143	437	251	472	753	259	301	455	627	217	343	175									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18750	1110	830	890	920	1120	840	860	1390	1530	550	340	110	200	220	320	140	280	350	400	370	260	500	120	350	130	290	140	430	250	470	700	250	300	450	620	210	340	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6993	465	267	285	280	477	337	327	473	492	268	147	66	113	124	118	50	104	132	170	156	83	193	45	134	45	88	55	177	89	152	202	86	102	150	268	60	135	78									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1415	33	10	43	18	25	8	11	59	31	44	42	11	22	24	56	38	36	38	69	51	19	62	13	30	16	34	17	73	25	70	116	48	52	43	33	32	43	20									
6	Число погашенных избирательных бюллетеней	10342	612	553	562	622	618	495	522	858	1007	238	151	33	65	72	146	52	140	180	161	163	158	245	62	186	69	168	68	180	136	248	382	116	146	257	319	118	162	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1415	33	10	43	18	25	8	11	59	31	44	42	11	22	24	56	38	36	38	69	51	19	62	13	30	16	34	17	73	25	70	116	48	52	43	33	32	43	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6993	465	267	285	280	477	337	327	473	492	268	147	66	113	124	118	50	104	132	170	156	83	193	45	134	45	88	55	177	89	152	202	86	102	150	268	60	135	78									
9	Число недействительных избирательных бюллетеней	174	17	3	6	5	1	20	3	4	12	5	3	0	2	2	1	0	3	10	2	11	3	0	3	6	0	2	5	5	12	4	6	0	3	3	6	0	4	2									
10	Число действительных избирательных бюллетеней	8234	481	274	322	293	501	325	335	528	511	307	186	77	133	146	173	88	137	160	237	196	99	255	55	158	61	120	67	245	102	218	312	134	151	190	295	92	174	96									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	207	12	9	9	11	14	9	10	15	17	6	4	1	2	2	3	2	3	4	4	4	3	5	1	4	1	3	1	7	3	5	7	3	3	5	7	2	4	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	178	12	6	9	11	14	9	10	15	17	6	0	1	2	2	3	2	3	0	4	2	3	5	1	4	1	3	1	6	2	5	0	3	1	0	7	2	4	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	4	1	2	3	6	8	1	4	4	1	1	1	0	1	1	3	0	2	1	0	2	2	4	1	2	2	4	0	0	0	2	2	1	1	3	0	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	29	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	1	1	0	7	0	2	5	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	93	7	4	4	4	3	2	4	10	12	3	6	1	2	1	5	4	0	1	0	4	2	1	1	3	0	0	0	0	0	1	3	0	0	1	2	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	364	20	20	6	10	0	14	9	30	20	7	4	2	2	3	7	1	4	10	13	14	3	26	0	14	5	7	9	24	5	6	8	1	12	12	17	9	6	4									
		4.33%	4.02%	7.22%	1.83%	3.36%	0.00%	4.06%	2.66%	5.64%	3.82%	2.24%	2.12%	2.60%	1.48%	2.03%	4.02%	1.14%	2.86%	5.88%	5.44%	6.76%	2.94%	10.20%	0.00%	8.54%	8.20%	5.74%	12.50%	9.60%	4.39%	2.70%	2.52%	0.75%	7.79%	6.22%	5.65%	9.78%	3.37%	4.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	222	7	6	0	9	0	14	5	3	21	13	4	1	2	7	4	2	7	8	6	8	10	4	0	4	1	3	3	12	5	11	1	4	3	12	10	1	6	5									
		2.64%	1.41%	2.17%	0.00%	3.02%	0.00%	4.06%	1.48%	0.56%	4.02%	4.17%	2.12%	1.30%	1.48%	4.73%	2.30%	2.27%	5.00%	4.71%	2.51%	3.86%	9.80%	1.57%	0.00%	2.44%	1.64%	2.46%	4.17%	4.80%	4.39%	4.95%	0.31%	2.99%	1.95%	6.22%	3.32%	1.09%	3.37%	5.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	97	1	8	0	5	0	5	1	4	5	2	2	1	5	1	4	1	2	4	14	2	1	0	0	1	0	2	0	6	0	5	0	0	2	2	1	2	6	2									
		1.15%	0.20%	2.89%	0.00%	1.68%	0.00%	1.45%	0.30%	0.75%	0.96%	0.64%	1.06%	1.30%	3.70%	0.68%	2.30%	1.14%	1.43%	2.35%	5.86%	0.97%	0.98%	0.00%	0.00%	0.61%	0.00%	1.64%	0.00%	2.40%	0.00%	2.25%	0.00%	0.00%	1.30%	1.04%	0.33%	2.17%	3.37%	2.04%									
