Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																								
Дата голосования: 04.12.2011																																								
																																								
Наименование Избирательной комиссии:    Кизнерская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233					
1	"Число избирателей, внесенных в список избирателей"	18410	625	250	287	189	535	209	121	257	177	521	226	200	365	454	299	1227	500	312	196	494	1049	470	462	223	692	790	858	1705	651	1092	1618	1071	285					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17800	650	250	250	150	550	200	100	250	150	550	200	200	350	450	300	1150	500	300	200	500	1000	450	450	200	700	750	800	1650	650	950	1600	1100	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9815	280	178	161	113	332	116	61	122	99	217	104	114	212	237	171	920	303	211	136	279	463	277	243	130	360	363	439	792	297	636	777	528	144					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1163	85	7	13	3	52	16	10	44	6	56	23	5	22	101	38	93	29	14	14	72	50	45	28	12	57	39	25	51	18	26	63	37	9					
6	Число погашенных избирательных бюллетеней	6822	285	65	76	34	166	68	29	84	45	277	73	81	116	112	91	137	168	75	50	149	487	128	179	58	283	348	336	807	335	288	760	535	97					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1163	85	7	13	3	52	16	10	44	6	56	23	5	22	101	38	93	29	14	14	72	50	45	28	12	57	39	25	51	18	26	63	37	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9812	280	178	161	113	332	116	61	122	99	217	104	114	212	237	171	920	303	211	136	277	463	277	243	130	360	363	439	792	297	635	777	528	144					
9	Число недействительных избирательных бюллетеней	141	1	0	0	0	2	4	0	2	0	3	1	2	5	6	3	9	6	2	1	3	12	3	1	2	2	11	9	15	4	6	15	9	2					
10	Число действительных избирательных бюллетеней	10834	364	185	174	116	382	128	71	164	105	270	126	117	229	332	206	1004	326	223	149	346	501	319	270	140	415	391	455	828	311	655	825	556	151					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	243	5	5	5	5	2	2	5	10	0	7	5	5	2	17	20	35	9	5	3	7	7	5	7	5	7	7	5	16	4	7	7	10	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	192	4	3	1	0	1	0	5	10	0	7	0	3	2	15	20	35	9	5	0	4	4	5	5	4	3	5	2	12	3	7	7	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	140	3	0	0	0	2	0	0	2	0	2	0	0	4	3	5	24	2	0	0	2	0	0	8	1	2	3	3	6	0	60	4	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	51	1	2	4	5	1	2	0	0	0	0	5	2	0	2	0	0	0	0	3	3	3	0	2	1	4	2	3	4	1	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	937	28	8	8	14	23	7	2	9	6	29	12	4	15	27	10	63	22	20	5	14	58	22	22	3	19	38	48	118	22	76	102	63	20					
		8.54%	7.67%	4.32%	4.60%	12.07%	5.99%	5.30%	2.82%	5.42%	5.71%	10.62%	9.45%	3.36%	6.41%	7.99%	4.78%	6.22%	6.63%	8.89%	3.33%	4.01%	11.31%	6.83%	8.12%	2.11%	4.56%	9.45%	10.34%	13.99%	6.98%	11.50%	12.14%	11.15%	13.07%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1458	52	22	14	14	38	13	0	13	18	44	25	13	16	39	45	173	37	21	2	55	82	40	34	17	29	56	73	118	47	89	108	89	22					
		13.28%	14.25%	11.89%	8.05%	12.07%	9.90%	9.85%	0.00%	7.83%	17.14%	16.12%	19.69%	10.92%	6.84%	11.54%	21.53%	17.08%	11.14%	9.33%	1.33%	15.76%	15.98%	12.42%	12.55%	11.97%	6.95%	13.93%	15.73%	13.99%	14.92%	13.46%	12.86%	15.75%	14.38%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	70	1	0	0	0	9	0	0	0	1	5	1	0	0	1	2	11	1	2	0	0	8	2	4	0	1	1	5	2	1	2	5	5	0					
		0.64%	0.27%	0.00%	0.00%	0.00%	2.34%	0.00%	0.00%	0.00%	0.95%	1.83%	0.79%	0.00%	0.00%	0.30%	0.96%	1.09%	0.30%	0.89%	0.00%	0.00%	1.56%	0.62%	1.48%	0.00%	0.24%	0.25%	1.08%	0.24%	0.32%	0.30%	0.60%	0.88%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1586	39	6	21	10	58	22	34	44	4	27	16	27	32	24	33	82	82	12	7	21	74	63	33	9	29	76	73	135	55	161	172	79	26					
		14.45%	10.68%	3.24%	12.07%	8.62%	15.10%	16.67%	47.89%	26.51%	3.81%	9.89%	12.60%	22.69%	13.68%	7.10%	15.79%	8.09%	24.70%	5.33%	4.67%	6.02%	14.42%	19.57%	12.18%	6.34%	6.95%	18.91%	15.73%	16.01%	17.46%	24.36%	20.48%	13.98%	16.99%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	114	1	1	0	0	1	3	0	3	0	2	1	3	1	2	0	10	1	1	2	3	7	1	5	1	3	8	4	9	5	17	13	2	4					
		1.04%	0.27%	0.54%	0.00%	0.00%	0.26%	2.27%	0.00%	1.81%	0.00%	0.73%	0.79%	2.52%	0.43%	0.59%	0.00%	0.99%	0.30%	0.44%	1.33%	0.86%	1.36%	0.31%	1.85%	0.70%	0.72%	1.99%	0.86%	1.07%	1.59%	2.57%	1.55%	0.35%	2.61%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6607	238	148	131	78	247	81	34	93	76	162	71	69	164	233	116	654	182	167	133	251	268	189	169	109	332	208	251	445	180	308	424	317	79					
		60.20%	65.21%	80.00%	75.29%	67.24%	64.32%	61.36%	47.89%	56.02%	72.38%	59.34%	55.91%	57.98%	70.09%	68.93%	55.50%	64.56%	54.82%	74.22%	88.67%	71.92%	52.24%	58.70%	62.36%	76.76%	79.62%	51.74%	54.09%	52.79%	57.14%	46.60%	50.48%	56.11%	51.63%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	62	5	0	0	0	6	2	1	2	0	1	0	1	1	6	0	11	1	0	0	2	4	2	3	1	2	4	1	1	1	2	1	1	0					
		0.56%	1.37%	0.00%	0.00%	0.00%	1.56%	1.52%	1.41%	1.20%	0.00%	0.37%	0.00%	0.84%	0.43%	1.78%	0.00%	1.09%	0.30%	0.00%	0.00%	0.57%	0.78%	0.62%	1.11%	0.70%	0.48%	0.99%	0.22%	0.12%	0.32%	0.30%	0.12%	0.18%	0.00%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
