Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																	
Дата голосования: 18.09.2016																																																																																																																																	
																																																																																																																																	
Наименование Избирательной комиссии:    Якутская городская																																																																																																																																	
																																																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																	
																																																																																																																																	
		Сумма	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	190626	1902	2162	1315	1210	1535	2098	2643	2011	2247	1947	2175	2274	2178	1519	1876	1684	1806	956	1532	1969	2167	2581	823	2410	1781	1974	1699	829	2537	1894	1628	1150	2147	1895	1992	1673	1533	1236	1297	1708	1231	1934	2647	926	2007	2024	2492	1559	2295	1356	1604	1436	2015	1820	2106	2368	2319	1664	1586	2609	1120	1623	2338	805	1582	1756	2486	1516	2160	540	382	1256	1910	835	1622	1733	950	1588	1949	1197	1546	1759	1865	1789	477	207	1122	2154	1680	1925	2168	1369	1895	1203	530	1101	1108	1888	1982	1051	2411	1683	1339	1868	214	1118	1045	1023	1368	1593	852	2288	1319	1008	1273	524	1076	466									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	167400	1900	2200	1300	1000	1200	2000	2600	2000	2300	1500	2100	2100	2100	1100	1800	1700	1900	1100	1200	2100	2200	2500	800	2300	1700	1900	1600	600	2400	1600	1300	1100	2100	1400	2000	1300	1200	1000	1100	1050	1000	1900	1900	800	1700	1500	2400	1200	2000	1100	1600	1400	2000	1500	2100	1800	1800	1600	1300	2300	900	1200	1700	600	1100	1300	1900	1100	1600	500	300	1000	1700	1200	1200	1300	900	1400	1400	1000	1400	1500	1300	1400	400	200	900	1600	1700	1400	2100	1300	1500	1100	550	1350	1000	1900	2000	1000	2300	1400	1100	1600	150	900	900	900	1100	1500	800	1900	1100	900	1000	400	900	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	69469	688	532	880	369	444	727	770	657	664	668	621	538	712	487	724	733	889	955	686	883	1083	1175	271	954	727	894	717	371	1039	517	305	576	956	944	818	691	660	549	583	977	438	451	906	215	470	457	948	379	1000	480	691	502	889	738	779	899	988	629	471	867	299	340	593	244	431	392	809	559	518	141	131	503	881	485	408	449	341	447	512	514	427	653	662	813	96	85	355	804	422	635	1036	676	824	416	530	839	443	542	595	259	1142	558	615	558	81	260	299	220	325	575	260	687	275	263	529	278	510	294									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3162	18	10	1	4	3	8	11	14	15	3	7	19	10	8	28	10	17	1	8	52	19	12	2	9	8	12	10	5	10	321	219	18	12	6	12	17	7	8	16	73	11	6	6	3	13	8	8	3	3	7	20	7	21	14	4	19	18	6	5	14	11	20	11	2	8	8	13	11	5	4	18	17	59	108	27	13	328	23	13	42	41	19	20	53	194	11	38	7	84	16	11	9	12	2	0	262	6	2	30	4	2	6	66	8	0	5	9	126	6	7	6	6	3	6	10	2	14	79									
6	Число погашенных избирательных бюллетеней	94769	1194	1658	419	627	753	1265	1819	1329	1621	829	1472	1543	1378	605	1048	957	994	144	506	1165	1098	1313	527	1337	965	994	873	224	1351	762	776	506	1132	450	1170	592	533	443	501	0	551	1443	988	582	1217	1035	1444	818	997	613	889	891	1090	748	1317	882	794	965	824	1419	590	840	1096	354	661	900	1078	530	1077	355	151	480	760	607	765	838	231	930	875	444	932	828	618	534	110	104	507	789	1194	749	1053	615	664	682	20	249	551	1356	1375	737	1156	836	419	1034	69	635	592	554	769	918	534	1207	822	631	461	120	376	27									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3161	18	10	1	4	3	8	11	14	15	3	7	19	10	8	28	10	17	1	8	52	19	12	2	9	8	12	10	5	10	321	219	18	12	6	12	17	7	8	16	72	11	6	6	3	13	8	8	3	3	7	20	7	21	14	4	19	18	6	5	14	11	20	11	2	8	8	13	11	5	4	18	17	59	108	27	13	328	23	13	42	41	19	20	53	194	11	38	7	84	16	11	9	12	2	0	262	6	2	30	4	2	6	66	8	0	5	9	126	6	7	6	6	3	6	10	2	14	79									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	69445	688	532	880	369	444	727	770	657	664	668	621	537	712	487	722	731	889	955	686	880	1082	1175	271	954	727	894	717	371	1038	517	305	576	955	943	818	691	659	549	582	977	438	451	904	215	470	457	948	379	999	480	691	502	889	738	779	897	988	629	471	867	299	340	592	243	431	392	809	559	518	141	131	503	881	485	408	449	341	447	512	514	427	653	662	813	96	85	355	804	422	634	1035	676	824	416	530	838	443	542	595	259	1142	558	615	558	81	260	299	220	325	575	260	687	275	263	529	278	510	294									
9	Число недействительных избирательных бюллетеней	1277	11	7	5	6	8	10	11	7	8	13	12	6	10	3	12	18	15	10	7	13	13	9	4	13	13	17	16	7	20	15	27	7	14	14	10	10	8	7	18	20	5	11	15	1	17	14	15	4	14	9	9	11	15	9	12	25	54	3	11	7	6	10	7	6	6	16	20	13	12	2	2	21	15	9	16	12	24	7	8	14	9	14	10	23	14	4	14	12	10	10	11	13	13	4	8	20	2	11	15	4	16	4	6	10	2	7	3	6	4	7	4	6	5	8	11	4	5	7									
10	Число действительных избирательных бюллетеней	71329	695	535	876	367	439	725	770	664	671	658	616	550	712	492	738	723	891	946	687	919	1088	1178	269	950	722	889	711	369	1028	823	497	587	953	935	820	698	658	550	580	1029	444	446	895	217	466	451	941	378	988	478	702	498	895	743	771	891	952	632	465	874	304	350	596	239	433	384	802	557	511	143	147	499	925	584	419	450	645	463	517	542	459	658	672	843	276	92	379	799	496	640	1035	672	823	414	522	1080	447	533	610	259	1128	560	675	556	79	258	305	340	327	575	262	687	273	261	528	276	519	366									
