Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Надымская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48127	2156	2048	1884	2053	2133	2052	2034	2025	2108	2043	2116	1042	2016	2018	249	842	889	1080	573	240	551	1225	500	2223	2324	1104	1284	2551	2305	2459									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46300	2100	2000	1800	1900	2000	2000	1900	1800	2000	1700	2000	1050	2000	2100	300	850	900	1100	600	250	550	1200	500	2050	2150	1000	1150	2560	2320	2470									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	4591	0	0	0	0	0	0	0	0	0	0	0	802	0	0	0	0	0	310	0	38	123	348	0	424	132	186	82	316	857	973									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32329	1426	1402	1333	1177	1578	1499	1451	1394	1471	1465	1550	108	1564	1693	197	783	864	751	551	194	375	783	494	1099	1150	587	854	1952	1266	1318									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	396	8	6	6	162	3	48	5	5	5	4	1	49	4	8	2	48	1	0	0	4	5	8	0	1	12	1	0	0	0	0									
6	Число погашенных избирательных бюллетеней	8984	666	592	461	561	419	453	444	401	524	231	449	91	432	399	101	19	35	39	49	14	47	61	6	526	856	226	214	292	197	179									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4987	8	6	6	162	3	48	5	5	5	4	1	851	4	8	2	48	1	310	0	42	128	356	0	425	144	187	82	316	857	973									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32322	1426	1402	1333	1177	1578	1499	1451	1394	1471	1465	1550	108	1564	1693	197	783	864	751	551	194	375	783	494	1092	1150	587	854	1952	1266	1318									
9	Число недействительных избирательных бюллетеней	596	25	29	27	45	16	17	38	41	19	26	5	48	49	25	1	5	7	2	10	4	11	0	3	71	35	5	32	0	0	0									
10	Число действительных избирательных бюллетеней	36713	1409	1379	1312	1294	1565	1530	1418	1358	1457	1443	1546	911	1519	1676	198	826	858	1059	541	232	492	1139	491	1446	1259	769	904	2268	2123	2291									
