Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Ленская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №807									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28889	1470	1689	550	1055	1224	980	730	1018	1268	1636	950	1455	1404	1214	825	846	1123	859	435	375	1299	1501	455	149	99	146	743	112	228	233	126	96	280	76	216	2024									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25212	1050	1674	400	700	850	975	550	750	900	1150	700	1258	1069	850	741	600	900	700	400	400	1100	1200	500	170	100	250	800	130	250	270	130	95	290	80	230	3000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	607	0	108	0	0	0	218	0	0	0	0	0	36	104	0	76	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	60	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10461	459	531	154	305	520	287	303	409	513	584	280	435	418	394	237	275	293	220	139	120	391	425	332	83	51	140	355	66	134	138	68	75	83	57	76	1111									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	403	41	10	7	57	10	1	10	8	8	11	7	14	10	14	3	7	9	11	8	0	46	37	14	7	0	6	31	0	9	4	3	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	13741	550	1025	239	338	320	469	237	333	379	555	413	773	537	442	425	318	598	469	253	280	663	733	154	80	49	104	414	64	107	128	59	20	147	23	154	1889									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1010	41	118	7	57	10	219	10	8	8	11	7	50	114	14	79	7	9	11	8	0	46	42	14	7	0	6	31	0	9	4	3	0	60	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10461	459	531	154	305	520	287	303	409	513	584	280	435	418	394	237	275	293	220	139	120	391	425	332	83	51	140	355	66	134	138	68	75	83	57	76	1111									
9	Число недействительных избирательных бюллетеней	187	5	12	3	4	8	7	10	7	14	8	3	8	12	3	2	12	4	1	3	1	8	5	0	3	1	0	12	0	2	3	0	2	2	0	0	22									
10	Число действительных избирательных бюллетеней	11284	495	637	158	358	522	499	303	410	507	587	284	477	520	405	314	270	298	230	144	119	429	462	346	87	50	146	374	66	141	139	71	73	141	57	76	1089									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	233	10	5	8	9	6	12	9	6	10	6	5	5	6	6	5	5	10	10	5	5	5	10	14	5	3	5	9	2	10	7	5	3	5	2	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	147	8	1	4	5	1	10	5	5	9	5	3	2	1	3	1	2	2	5	2	3	3	7	14	4	1	5	9	0	10	6	2	0	5	0	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	132	4	4	0	5	2	12	2	1	9	6	2	1	1	1	3	2	0	3	0	2	3	1	1	4	1	2	1	0	7	7	3	2	0	6	0	34									
14	Число погашенных неиспользованных открепительных удостоверений	86	2	4	4	4	5	2	4	1	1	1	2	3	5	3	4	3	8	5	3	2	2	3	0	1	2	0	0	2	0	1	3	3	0	2	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	3	7	3	2	4	3	2	2	5	6	2	2	1	7	1	1	0	0	0	0	0	0	1	0	0	3	1	0	1	2	1	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	268	11	10	2	8	14	7	9	7	12	24	8	12	15	9	5	2	8	6	5	3	13	17	5	0	1	2	4	1	6	2	2	1	2	17	1	17									
		2.34%	2.20%	1.54%	1.24%	2.21%	2.64%	1.38%	2.88%	1.68%	2.30%	4.03%	2.79%	2.47%	2.82%	2.21%	1.58%	0.71%	2.65%	2.60%	3.40%	2.50%	2.97%	3.64%	1.45%	0.00%	1.96%	1.37%	1.04%	1.52%	4.20%	1.41%	2.82%	1.33%	1.40%	29.82%	1.32%	1.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	316	12	20	4	10	16	24	15	15	12	12	7	7	18	4	7	4	5	8	4	2	11	9	12	5	2	7	6	0	2	11	5	3	3	0	1	33									
		2.75%	2.40%	3.08%	2.48%	2.76%	3.02%	4.74%	4.79%	3.60%	2.30%	2.02%	2.44%	1.44%	3.38%	0.98%	2.22%	1.42%	1.66%	3.46%	2.72%	1.67%	2.52%	1.93%	3.47%	5.56%	3.92%	4.79%	1.55%	0.00%	1.40%	7.75%	7.04%	4.00%	2.10%	0.00%	1.32%	2.97%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	290	11	10	5	7	14	9	6	13	14	16	6	19	8	14	7	7	10	4	7	6	11	18	6	1	0	3	8	1	1	0	1	1	7	0	0	39									
		2.53%	2.20%	1.54%	3.11%	1.93%	2.64%	1.78%	1.92%	3.12%	2.69%	2.69%	2.09%	3.92%	1.50%	3.43%	2.22%	2.48%	3.31%	1.73%	4.76%	5.00%	2.52%	3.85%	1.73%	1.11%	0.00%	2.05%	2.07%	1.52%	0.70%	0.00%	1.41%	1.33%	4.90%	0.00%	0.00%	3.51%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5280	222	281	69	168	236	223	124	191	232	257	125	209	208	177	150	113	180	134	76	49	174	222	216	41	37	97	196	39	61	47	35	50	81	26	51	483									
