Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Адыгейская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6					
1	"Число избирателей, внесенных в список избирателей"	11921	2609	2594	2824	2056	775	1063					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10744	2356	2344	2545	1845	694	960					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8340	1614	1520	2100	1771	452	883					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	423	182	54	34	29	50	74					
6	Число погашенных избирательных бюллетеней	1981	560	770	411	45	192	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	423	182	54	34	29	50	74					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8340	1614	1520	2100	1771	452	883					
9	Число недействительных избирательных бюллетеней	118	4	59	32	12	7	4					
10	Число действительных избирательных бюллетеней	8645	1792	1515	2102	1788	495	953					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	70	10	20	21	11	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	70	10	20	21	11	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	14	2	2	4	2	4	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	11	4	10	2	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	342	36	141	84	50	27	4					
		3.90%	2.00%	8.96%	3.94%	2.78%	5.38%	0.42%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	143	13	65	31	15	19	0					
		1.63%	0.72%	4.13%	1.45%	0.83%	3.78%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	7	11	0	3	3	0					
		0.27%	0.39%	0.70%	0.00%	0.17%	0.60%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1952	472	433	333	471	160	83					
		22.28%	26.28%	27.51%	15.60%	26.17%	31.87%	8.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	87	16	35	21	12	2	1					
		0.99%	0.89%	2.22%	0.98%	0.67%	0.40%	0.10%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6073	1242	822	1631	1231	282	865					
		69.30%	69.15%	52.22%	76.43%	68.39%	56.18%	90.39%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	24	6	8	2	6	2	0					
		0.27%	0.33%	0.51%	0.09%	0.33%	0.40%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
