Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Шенталинская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426	УИК №4427									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11550	216	309	220	180	148	830	389	407	789	196	464	274	165	371	302	182	254	152	292	175	548	144	926	783	874	905	1055									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11670	210	310	235	190	150	825	390	420	790	200	470	280	165	375	305	190	255	155	305	175	545	140	930	800	890	900	1070									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9003	129	203	143	134	129	699	288	251	629	138	353	235	130	312	255	128	214	122	184	123	393	105	716	685	707	718	880									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1668	75	90	71	40	16	85	38	124	121	35	98	34	15	48	36	48	34	24	100	45	118	32	77	57	86	75	46									
6	Число погашенных избирательных бюллетеней	999	6	17	21	16	5	41	64	45	40	27	19	11	20	15	14	14	7	9	21	7	34	3	137	58	97	107	144									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1668	75	90	71	40	16	85	38	124	121	35	98	34	15	48	36	48	34	24	100	45	118	32	77	57	86	75	46									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9003	129	203	143	134	129	699	288	251	629	138	353	235	130	312	255	128	214	122	184	123	393	105	716	685	707	718	880									
9	Число недействительных избирательных бюллетеней	139	1	8	4	13	7	0	14	20	10	0	3	5	8	2	0	1	1	0	0	0	9	1	9	2	5	0	16									
10	Число действительных избирательных бюллетеней	10532	203	285	210	161	138	784	312	355	740	173	448	264	137	358	291	175	247	146	284	168	502	136	784	740	788	793	910									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	83	2	4	5	3	2	3	4	4	3	1	5	3	0	3	3	3	3	3	4	3	6	0	4	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	83	2	4	5	3	2	3	4	4	3	1	5	3	0	3	3	3	3	3	4	3	6	0	4	3	3	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	3	3	0	0	1	4	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	0	1	0	4	10	9									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	197	3	4	7	3	0	17	1	5	2	0	2	8	0	0	1	0	5	2	6	1	5	0	18	38	21	5	43									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	54	2	0	1	1	0	1	2	3	0	1	2	0	0	1	0	0	1	1	0	6	5	0	5	3	7	3	9									
