Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Николаевская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №806	УИК №809	УИК №810	УИК №811	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820					
1	"Число избирателей, внесенных в список избирателей"	28585	808	725	1045	843	572	928	1184	1146	550	1169	1306	144	675	916	803	630	416	529	1514	986	447	512	742	556	249	179	215	264	293	920	498	665	498	379	39	590	1814	552	362	1295	451	18	14	17	16	15	15	14	20	14	15	18					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25988	710	580	890	700	490	800	1030	990	470	990	1120	160	570	790	670	550	340	480	1230	840	720	430	630	470	250	200	210	240	290	900	530	680	500	380	37	570	1680	560	360	1310	460	19	14	17	17	15	16	14	20	15	15	19					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	160	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	69	0	0	0	18	0	0	2	0	24	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	13726	238	341	460	343	240	340	587	633	247	334	683	144	367	525	448	283	198	303	698	429	424	190	275	172	230	119	127	145	150	444	282	231	167	209	26	311	981	306	213	498	213	18	14	17	16	15	15	14	20	11	15	17					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1118	27	24	35	17	61	52	25	23	18	31	54	0	27	27	17	25	12	9	22	33	23	19	19	26	0	10	7	21	12	40	53	47	59	34	0	16	33	21	9	66	64	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	10984	445	215	395	340	189	408	418	334	205	604	383	16	176	238	205	242	130	168	510	378	273	221	336	272	20	71	76	74	128	390	195	333	274	137	11	225	666	233	136	746	159	1	0	0	1	0	1	0	0	4	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1277	27	24	35	17	61	51	25	23	18	52	54	0	27	27	17	25	12	9	22	33	23	19	19	26	0	10	7	21	12	66	53	116	59	34	0	34	33	21	11	66	88	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13718	238	341	460	343	240	339	587	633	247	334	683	144	365	525	448	283	198	303	698	429	424	190	275	172	230	119	127	145	150	443	282	231	167	209	26	311	977	306	213	498	213	18	14	17	16	15	15	14	20	11	15	17					
9	Число недействительных избирательных бюллетеней	254	1	1	11	4	1	8	10	15	5	1	11	1	3	7	4	5	0	4	9	7	8	6	3	8	7	0	3	4	5	4	8	5	3	3	0	4	23	8	1	15	24	0	0	0	0	1	0	1	0	0	2	0					
10	Число действительных избирательных бюллетеней	14741	264	364	484	356	300	382	602	641	260	385	726	143	389	545	461	303	210	308	711	455	439	203	291	190	223	129	131	162	157	505	327	342	223	240	26	341	987	319	223	549	277	18	14	17	16	14	15	13	20	11	13	17					
