Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Кожевниковская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478					
1	"Число избирателей, внесенных в списки"	16353	102	1676	1663	1435	1477	320	1080	115	919	297	195	656	345	408	414	306	316	311	213	399	217	167	771	308	316	454	170	179	319	133	299	373					
2	"Число бюллетеней, полученных участковыми комиссиями"	15300	110	1500	1500	1400	1400	300	1000	120	800	300	200	600	300	400	400	300	300	300	200	400	200	150	700	300	300	420	150	170	300	130	300	350					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10351	94	1056	876	620	690	260	550	87	600	170	133	351	226	282	340	230	210	275	152	291	200	135	481	286	219	364	128	158	267	124	186	310					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	836	0	30	65	37	72	7	55	5	31	31	14	48	37	35	18	28	49	10	4	15	0	12	73	11	34	27	10	12	17	4	26	19					
6	Число погашенных бюллетеней	4113	16	414	559	743	638	33	395	28	169	99	53	201	37	83	42	42	41	15	44	94	0	3	146	3	47	29	12	0	16	2	88	21					
7	Число бюллетеней в переносных ящиках для голосования	836	0	30	65	37	72	7	55	5	31	31	14	48	37	35	18	28	49	10	4	15	0	12	73	11	34	27	10	12	17	4	26	19					
8	Число бюллетеней в стационарных ящиках для голосования	10346	94	1056	873	620	690	260	550	87	598	170	133	351	226	282	340	230	210	275	152	291	200	135	481	286	219	364	128	158	267	124	186	310					
9	Число недействительных бюллетеней	103	0	9	9	8	11	1	7	1	17	1	3	10	1	1	4	0	4	0	3	6	1	1	0	0	0	1	0	0	0	0	4	0					
10	Число действительных бюллетеней	11079	94	1077	929	649	751	266	598	91	612	200	144	389	262	316	354	258	255	285	153	300	199	146	554	297	253	390	138	170	284	128	208	329					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	283	5	25	25	25	25	5	10	5	10	5	5	10	5	5	8	5	5	5	5	10	5	5	10	5	5	10	5	5	10	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	53	1	9	11	6	5	1	2	0	0	1	1	1	0	0	8	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3					
