Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Мамадышская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33863	301	507	264	220	338	584	367	179	123	477	886	228	554	341	965	638	638	1152	449	474	435	941	1744	1662	1593	1424	1487	1442	1456	817	561	928	240	423	336	898	376	365	253	530	355	93	175	1606	564	415	331	309	303	233	521	974	388									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34230	304	514	269	224	342	588	376	178	129	492	897	235	560	344	976	651	655	1150	457	486	440	912	1760	1679	1604	1439	1509	1452	1480	825	577	940	246	431	337	905	378	366	250	563	362	92	177	1595	565	421	340	312	308	235	525	987	391									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32228	289	490	253	209	327	568	347	171	116	459	849	222	535	332	923	619	617	1090	439	458	424	847	1672	1551	1499	1358	1387	1391	1374	785	551	911	235	409	324	861	373	341	235	445	344	88	163	1543	483	394	312	282	287	213	505	949	379									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	683	7	2	0	3	5	7	15	4	3	2	10	0	9	3	13	8	8	22	3	7	3	57	38	50	23	23	24	9	18	18	4	0	3	4	5	22	0	14	12	76	4	3	8	5	50	12	8	22	8	15	6	8	0									
6	Число погашенных избирательных бюллетеней	1319	8	22	16	12	10	13	14	3	10	31	38	13	16	9	40	24	30	38	15	21	13	8	50	78	82	58	98	52	88	22	22	29	8	18	8	22	5	11	3	42	14	1	6	47	32	15	20	8	13	7	14	30	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	683	7	2	0	3	5	7	15	4	3	2	10	0	9	3	13	8	8	22	3	7	3	57	38	50	23	23	24	9	18	18	4	0	3	4	5	22	0	14	12	76	4	3	8	5	50	12	8	22	8	15	6	8	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32228	289	490	253	209	327	568	347	171	116	459	849	222	535	332	923	619	617	1090	439	458	424	847	1672	1551	1499	1358	1387	1391	1374	785	551	911	235	409	324	861	373	341	235	445	344	88	163	1543	483	394	312	282	287	213	505	949	379									
9	Число недействительных избирательных бюллетеней	132	0	0	1	0	0	0	1	0	0	0	3	4	0	0	0	0	0	0	10	0	4	10	0	9	11	0	6	5	0	0	0	0	0	0	0	5	3	0	0	2	0	0	2	0	0	0	0	1	0	0	55	0	0									
10	Число действительных избирательных бюллетеней	32779	296	492	252	212	332	575	361	175	119	461	856	218	544	335	936	627	625	1112	432	465	423	894	1710	1592	1511	1381	1405	1395	1392	803	555	911	238	413	329	878	370	355	247	519	348	91	169	1548	533	406	320	303	295	228	456	957	379									
