Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва												
Дата голосования: 04.12.2011												
												
Наименование Избирательной комиссии:    Нижнеколымская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405					
1	"Число избирателей, внесенных в список избирателей"	3336	1559	704	544	365	164					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3280	1300	600	630	550	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	181	0	0	64	79	38					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1882	827	376	296	259	124					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	125	49	20	27	27	2					
6	Число погашенных избирательных бюллетеней	1092	424	204	243	185	36					
7	Число избирательных бюллетеней в переносных ящиках для голосования	306	49	20	91	106	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1882	827	376	296	259	124					
9	Число недействительных избирательных бюллетеней	34	17	10	2	4	1					
10	Число действительных избирательных бюллетеней	2154	859	386	385	361	163					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	170	50	30	40	30	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	6	2	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2	0	0	2	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	164	48	26	40	30	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	3	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	399	161	82	67	75	14					
		18.24%	18.38%	20.71%	17.31%	20.55%	8.54%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	209	94	58	2	30	25					
		9.55%	10.73%	14.65%	0.52%	8.22%	15.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	13	3	0	4	1					
		0.96%	1.48%	0.76%	0.00%	1.10%	0.61%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	258	120	63	33	24	18					
		11.79%	13.70%	15.91%	8.53%	6.58%	10.98%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	17	10	2	2	1					
		1.46%	1.94%	2.53%	0.52%	0.55%	0.61%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1229	450	168	281	226	104					
		56.17%	51.37%	42.42%	72.61%	61.92%	63.41%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	6	4	2	0	0	0					
		0.27%	0.46%	0.51%	0.00%	0.00%	0.00%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
