Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    Нижнеколымская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420					
1	"Число избирателей, внесенных в списки избирателей"	3102	1338	649	428	491	196					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3200	1360	670	510	460	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	155	0	0	51	65	39					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2255	1004	463	348	307	133					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	124	32	36	29	27	0					
6	Число погашенных избирательных бюллетеней	666	324	171	82	61	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	279	32	36	80	92	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2255	1004	463	348	307	133					
9	Число недействительных избирательных бюллетеней	26	12	4	2	6	2					
10	Число действительных избирательных бюллетеней	2508	1024	495	426	393	170					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	160	80	30	20	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	37	14	5	13	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	12	2	3	7	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	123	66	25	7	15	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	3	3	1	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	29	14	6	1	7	1					
		1.14%	1.35%	1.20%	0.23%	1.75%	0.58%					
19	2.Всероссийская политическая партия «Гражданская Сила»	16	10	6	0	0	0					
		0.63%	0.97%	1.20%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	1	0	0	0					
		0.04%	0.00%	0.20%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	136	66	25	25	13	7					
		5.37%	6.37%	5.01%	5.84%	3.26%	4.07%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	11	4	6	1	0	0					
		0.43%	0.39%	1.20%	0.23%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	3	0	0	1	2	0					
		0.12%	0.00%	0.00%	0.23%	0.50%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	137	65	35	8	13	16					
		5.41%	6.27%	7.01%	1.87%	3.26%	9.30%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	123	68	22	13	19	1					
		4.85%	6.56%	4.41%	3.04%	4.76%	0.58%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	17	10	4	3	0	0					
		0.67%	0.97%	0.80%	0.70%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2020	776	390	373	336	145					
		79.72%	74.90%	78.16%	87.15%	84.21%	84.30%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	15	11	0	1	3	0					
		0.59%	1.06%	0.00%	0.23%	0.75%	0.00%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
