Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Кош-Агачская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14461	388	651	360	531	729	917	1461	1624	619	1882	919	554	897	865	778	270	1016									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14500	400	650	300	550	700	950	1480	1610	610	1900	900	550	900	850	850	250	1050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	730	12	39	25	13	39	204	0	0	0	151	0	35	26	35	82	0	69									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7488	202	279	174	257	225	309	904	924	411	1016	563	348	444	453	386	150	443									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	238	10	21	7	8	6	15	14	14	2	11	10	15	18	35	15	12	25									
6	Число погашенных избирательных бюллетеней	6044	176	311	94	272	430	422	562	672	197	722	327	152	412	327	367	88	513									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	968	22	60	32	21	45	219	14	14	2	162	10	50	44	70	97	12	94									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7488	202	279	174	257	225	309	904	924	411	1016	563	348	444	453	386	150	443									
9	Число недействительных избирательных бюллетеней	142	4	7	5	4	10	6	13	18	9	17	8	0	12	7	13	1	8									
10	Число действительных избирательных бюллетеней	8314	220	332	201	274	260	522	905	920	404	1161	565	398	476	516	470	161	529									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	9	14	5	13	11	22	22	24	9	26	14	9	14	13	13	4	23									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	126	9	14	3	8	8	22	3	8	3	6	1	2	3	5	6	2	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	3	2	0	1	2	0	2	16	1	2	0	0	3	0	1	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	119	0	0	2	5	3	0	19	16	6	20	13	7	11	8	7	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	0	1	0	3	3	4	4	1	2	3	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
