Выборы Президента Российской Федерации																																																																																																																			
Дата голосования: 02.03.2008																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Комсомольская городская																																																																																																																			
																																																																																																																			
Сводная таблица результатов выборов																																																																																																																			
																																																																																																																			
	Число участковых избирательных комиссий	108																																																																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	108																																																																																																																	
																																																																																																																			
		Сумма	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327					
1	"Число избирателей, включенных в списки избирателей"	213834	1852	709	1617	1776	1617	2061	1649	1756	1978	2229	1643	1468	2656	2170	2316	2507	2082	629	1194	2010	2439	2294	2457	1046	2725	2632	2578	2415	2104	2408	2310	2163	460	1705	1450	261	62	691	2160	2412	2572	2591	2107	2031	2128	2730	2710	2723	2720	1741	2533	2308	2303	1441	2283	1572	1392	2003	2614	1376	2165	1631	1384	2156	2019	2244	2627	1533	2481	1937	2698	2164	2045	2379	2549	2796	2768	2726	2542	2237	2634	2095	1827	2566	2698	2748	2764	2521	2451	2705	2719	2674	2740	2610	1339	414	1324	300	814	533	2405	1387	2412	400	527	2656	1805	116					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	213650	1900	700	1700	1800	1650	2100	1600	1750	2000	2300	1650	1500	2350	2200	2300	2550	2100	600	1200	2050	2450	2300	2500	1100	2750	2650	2600	2400	2100	2450	2350	2200	450	1700	1550	270	150	650	2150	2450	2600	2600	2100	2000	2150	2750	2700	2750	2750	1750	2550	2300	2350	1400	2300	1600	1400	2000	2650	1350	2200	1300	1350	2150	2000	2250	2650	1550	2450	1900	2200	2100	1850	2400	2600	2800	2750	2750	2550	2150	2650	2100	1850	2600	2700	2750	2800	2550	2450	2750	2750	2750	2750	2650	1350	400	1350	250	600	500	2400	1450	2400	400	530	2700	1750	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	136178	1138	355	860	1102	1055	1319	1124	1123	1308	1472	996	769	2146	1311	1451	1610	1305	352	750	1312	1661	1534	1618	695	1706	1744	1743	1508	1407	1648	1519	1397	387	911	753	145	19	588	1451	1543	1615	1615	1400	1239	1378	1822	1784	1708	1701	1135	1701	1503	1587	930	1477	1090	967	1297	1697	881	1292	1164	954	1442	1089	1400	1720	1005	1576	1229	1982	1436	1350	1483	1625	1916	1485	1846	1627	1358	1760	1313	1076	1704	1645	1530	1556	1446	1794	1723	1737	1543	1779	1664	880	163	797	167	330	212	1148	858	1423	282	444	1550	1313	0					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	5798	58	44	55	55	67	40	26	39	37	40	73	61	73	44	115	12	35	11	42	78	77	80	91	39	33	41	51	58	39	33	69	55	51	34	65	15	43	3	33	28	20	70	34	68	62	67	70	26	85	66	54	65	62	82	53	59	27	142	48	55	33	16	18	47	26	61	43	41	42	39	22	47	61	50	71	84	93	73	74	90	36	37	46	59	28	42	33	42	46	172	34	50	64	48	34	69	26	8	213	47	106	49	38	17	83	62	4	116					
6	Число погашенных избирательных бюллетеней	71674	704	301	785	643	528	741	450	588	655	788	581	670	131	845	734	928	760	237	408	660	712	686	791	366	1011	865	806	834	654	769	762	748	12	755	732	110	88	59	666	879	965	915	666	693	710	861	846	1016	964	549	795	732	701	388	770	451	406	561	905	414	875	120	378	661	885	789	887	504	832	632	196	617	439	867	904	800	1172	831	849	702	854	750	728	837	1027	1178	1211	1062	610	855	979	1157	907	938	436	168	527	75	57	241	1146	543	939	101	3	1088	433	134					
