Выборы Президента Российской Федерации																																																																																																																							
Дата голосования: 04.03.2012																																																																																																																							
																																																																																																																							
Наименование Избирательной комиссии:    Комсомольская городская																																																																																																																							
																																																																																																																							
Сводная таблица итогов голосования																																																																																																																							
																																																																																																																							
	Число участковых избирательных комиссий	108																																																																																																																					
	Число участковых избирательных комиссий, приступивших к передаче сведений	108																																																																																																																					
																																																																																																																							
		Сумма	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327									
1	Число избирателей, включенных в список избирателей	206590	1891	765	1759	1720	1521	1953	1606	1709	2015	2193	1686	1391	2098	2112	2282	2517	1970	625	1180	1942	2337	2164	2385	1059	2603	2538	2444	2378	1997	2272	2185	2101	460	1692	1581	298	153	571	2041	2286	2445	2594	1664	1963	2433	2687	2589	2685	2644	1628	2365	2194	2199	1342	2136	1568	1301	1919	2595	1287	2057	1760	1272	2017	2103	2069	2443	1479	2386	1791	2334	1973	2099	2281	2432	2626	2718	2560	2440	2140	2531	1998	1766	2455	2566	2794	2786	2458	2326	2583	2691	2578	2732	2528	1331	463	1370	267	840	565	2402	1498	2442	388	298	2619	1434	183									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	205855	1900	700	1750	1750	1500	2000	1600	1750	1950	2100	1700	1400	1900	2100	2200	2550	2000	600	1150	2000	2350	2150	2400	1050	2650	2550	2450	2400	2000	2250	2200	2100	430	1700	1550	290	155	550	2050	2350	2500	2650	1650	1950	2500	2700	2600	2700	2650	1600	2400	2200	2200	1300	2150	1550	1300	1900	2600	1300	2050	1550	1250	2000	2100	2050	2450	1450	2400	1800	2150	1900	1950	2300	2500	2600	2650	2600	2450	2050	2550	2050	1750	2500	2600	2800	2800	2500	2350	2650	2700	2650	2750	2550	1350	445	1350	255	625	550	2300	1500	2450	385	320	2650	1400	200									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	121454	1092	386	792	1008	973	1183	973	1007	1325	1470	941	646	1460	1259	1331	1600	1198	228	718	1189	1525	1361	1492	490	1558	1551	1578	1376	1312	1412	1394	1280	228	872	682	151	78	402	1309	1338	1463	1499	1073	1129	1496	1721	1506	1587	1565	991	1532	1403	1438	831	1292	994	871	1193	1604	740	1169	1220	770	1256	1016	1232	1500	883	1398	995	1530	1264	1405	1287	1430	1708	1322	1583	1412	1154	1557	1197	1012	1486	1415	1459	1486	1325	1310	1494	1580	1417	1587	1481	718	201	685	109	325	210	980	774	1322	246	279	1435	734	0									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	4555	16	14	37	58	43	27	21	23	34	50	47	62	51	34	114	14	29	3	32	57	85	92	83	14	23	23	43	51	27	49	43	40	183	28	37	8	75	8	26	14	35	29	36	26	50	63	62	28	56	44	54	40	40	74	55	33	28	33	21	34	40	14	4	65	23	50	32	16	62	33	22	51	26	32	61	27	65	40	38	126	44	32	58	39	45	26	26	31	33	48	40	25	18	29	50	18	11	2	195	22	73	31	31	11	19	22	7	183									
6	Число погашенных избирательных бюллетеней	79846	792	300	921	684	484	790	606	720	591	580	712	692	389	807	755	936	773	369	400	754	740	697	825	546	1069	976	829	973	661	789	763	780	19	800	831	131	2	140	715	998	1002	1122	541	795	954	916	1032	1085	1029	565	814	757	722	395	803	523	401	674	975	526	841	316	476	679	1061	768	918	551	940	772	598	585	519	981	1009	865	1263	977	1000	770	949	821	680	975	1140	1315	1288	1144	1007	1108	1080	1208	1145	1040	582	226	654	144	105	318	1247	695	1097	128	22	1193	659	17									
