Выборы Президента Российской Федерации																																																																																																																				
Дата голосования: 18.03.2018																																																																																																																				
																																																																																																																				
Наименование Избирательной комиссии:    Комсомольская городская																																																																																																																				
																																																																																																																				
Сводная таблица итогов голосования																																																																																																																				
																																																																																																																				
	Число участковых избирательных комиссий	105																																																																																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	105																																																																																																																		
																																																																																																																				
		Сумма	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332									
1	"Число избирателей, включенных в список избирателей"	190563	1767	746	1732	1641	1402	1763	1590	2189	2307	2446	1161	2248	2018	2184	2360	1689	693	1038	1768	2193	1952	2686	1077	2250	2293	2182	2400	1781	2070	2113	1691	474	1637	1355	194	495	1817	2022	2221	2449	1465	1907	2212	2735	2392	2442	2424	1463	2064	2011	2038	1270	1920	1566	1062	1674	2464	1265	1912	1306	1212	1773	2076	1754	2311	1390	2240	1631	2177	1666	1801	2113	2213	2489	2746	2283	2233	1944	2310	1851	1633	2237	2314	2495	2653	2262	2047	2368	2418	2373	2417	2279	1180	824	1335	891	575	2208	1466	2268	363	225	2384	1364	85									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	189041	1800	750	1650	1600	1350	1750	1550	2200	2150	2450	1150	2300	2000	2150	2350	1700	660	1000	1750	2150	1950	2650	1000	2300	2300	2200	2400	1800	2050	2100	1700	400	1650	1400	196	450	1850	2050	2250	2450	1500	1850	2250	2600	2400	2500	2400	1450	2100	2000	2000	1200	1900	1550	1050	1750	2450	1200	1950	1300	1150	1750	2050	1750	2350	1350	2150	1600	1950	1550	1650	2100	2200	2300	2700	2250	2250	1900	2350	1850	1650	2300	2350	2550	2700	2300	2050	2350	2450	2400	2450	2300	1200	800	1300	650	550	2200	1500	2300	370	230	2450	1350	85									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	122288	1069	451	1063	1094	996	1240	1095	1619	1643	1737	696	1656	1328	1446	1688	1188	424	738	1268	1581	1355	1968	508	1651	1689	1605	1611	1271	1514	1470	1226	342	951	714	93	289	1237	1224	1480	1523	994	1130	1433	1766	1483	1529	1551	852	1372	1353	1391	869	1229	1066	739	1104	1605	815	1168	876	804	1186	1187	1112	1458	857	1391	945	1569	1067	1219	1274	1346	1596	1524	1507	1427	1108	1482	1154	988	1496	1387	1502	1529	1326	1287	1526	1575	1517	1465	1449	683	332	716	354	260	1041	741	1261	228	225	1430	691	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3403	14	8	10	26	30	28	23	22	27	31	37	18	40	121	10	25	11	36	47	74	47	70	30	22	28	44	39	14	35	27	26	58	22	44	99	12	17	37	24	23	12	28	32	34	47	22	33	49	47	57	27	21	29	27	21	15	24	27	27	14	12	27	15	29	29	24	50	18	11	39	25	32	61	32	48	25	42	73	41	30	21	24	48	14	20	24	31	29	25	24	33	22	35	8	14	197	17	38	20	33	7	0	13	9	85									
6	Число погашенных избирательных бюллетеней	63350	717	291	577	480	324	482	432	559	480	682	417	626	632	583	652	487	225	226	435	495	548	612	462	627	583	551	750	515	501	603	448	0	677	642	4	149	596	789	746	904	494	692	785	800	870	949	816	549	681	590	582	310	642	457	290	631	821	358	755	410	334	537	848	609	863	469	709	637	370	444	406	794	793	672	1128	718	781	719	827	666	641	780	915	1034	1151	950	732	795	850	859	952	829	482	460	570	99	273	1121	739	1006	135	5	1007	650	0									
