Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Новомалыклинская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11613	292	501	383	270	139	438	1238	1302	168	523	280	301	1339	718	569	778	390	260	554	427	538	205									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12553	322	522	414	286	151	455	1340	1427	188	550	314	328	1484	832	584	810	412	284	577	457	604	212									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7267	221	338	280	176	119	359	788	776	126	387	174	209	516	304	367	470	272	184	396	289	364	152									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	999	28	44	35	26	10	34	47	46	11	30	54	26	103	84	67	96	33	26	60	33	100	6									
6	Число погашенных избирательных бюллетеней	4287	73	140	99	84	22	62	505	605	51	133	86	93	865	444	150	244	107	74	121	135	140	54									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	999	28	44	35	26	10	34	47	46	11	30	54	26	103	84	67	96	33	26	60	33	100	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7267	221	338	280	176	119	359	788	776	126	387	174	209	516	304	367	470	272	184	396	289	364	152									
9	Число недействительных избирательных бюллетеней	134	2	4	0	2	0	6	36	17	3	8	7	7	12	4	3	4	6	1	2	5	0	5									
10	Число действительных избирательных бюллетеней	8132	247	378	315	200	129	387	799	805	134	409	221	228	607	384	431	562	299	209	454	317	464	153									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1140	30	45	40	30	10	30	140	140	30	45	45	20	130	120	50	30	20	20	50	40	60	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	839	28	20	25	12	10	10	92	97	14	45	30	20	130	101	16	30	20	20	23	27	60	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	0	8	0	1	0	2	19	3	4	19	4	0	9	1	5	2	4	0	7	5	9	5									
14	Число погашенных неиспользованных открепительных удостоверений	301	2	25	15	18	0	20	48	43	16	0	15	0	0	19	34	0	0	0	27	13	0	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	0	0	0	1	0	0	10	7	0	0	0	2	1	1	2	0	1	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	0	3	1	0	0	3	4	9	2	2	3	2	6	4	3	2	6	0	3	5	4	4									
		0.80%	0.00%	0.79%	0.32%	0.00%	0.00%	0.76%	0.48%	1.09%	1.46%	0.48%	1.32%	0.85%	0.97%	1.03%	0.69%	0.35%	1.97%	0.00%	0.66%	1.55%	0.86%	2.53%									
