Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Можайская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436					
1	"Число избирателей, внесенных в список"	56705	1725	1683	323	723	2069	1411	1897	1264	1475	1737	2354	1598	1799	1929	1710	1082	1103	973	292	602	333	478	628	780	1440	576	862	831	876	133	2442	1135	1043	313	233	1186	349	720	1112	1106	295	736	171	1438	242	909	760	156	707	149	115	364	1657	1230	1165	2286					
2	Число полученных избирательных бюллетеней	51602	1550	1528	270	620	1900	1230	1705	1180	1380	1585	2040	1430	1620	1745	1470	1000	985	905	250	565	290	425	620	730	1265	535	805	700	815	115	2330	1044	955	280	215	1075	325	670	1070	1005	265	675	145	1325	225	835	730	135	665	130	115	320	1495	1120	1045	2150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29524	733	699	222	427	906	717	1000	612	767	933	1276	779	855	1271	774	641	671	498	132	431	142	258	337	456	632	283	527	594	429	66	1253	458	567	155	69	507	165	362	713	569	95	366	72	653	92	647	408	36	422	54	56	166	866	677	745	1283					
5	"Число избирательных бюллетеней, выданных вне помещения"	4888	28	261	34	72	150	21	11	20	14	20	30	9	26	15	25	123	100	125	55	66	129	80	141	78	212	150	73	0	94	44	67	295	67	64	92	217	76	144	66	68	98	140	60	243	109	88	118	77	86	65	38	76	36	178	26	88					
6	Число погашенных избирательных бюллетеней	17190	789	568	14	121	844	492	694	548	599	632	734	642	739	459	671	236	214	282	63	68	19	87	142	196	421	102	205	106	292	5	1010	291	321	61	54	351	84	164	291	368	72	169	13	429	24	100	204	22	157	11	21	78	593	265	274	779					
7	Число избирательных бюллетеней в переносных ящиках	4888	28	261	34	72	150	21	11	20	14	20	30	9	26	15	25	123	100	125	55	66	129	80	141	78	212	150	73	0	94	44	67	295	67	64	92	217	76	144	66	68	98	140	60	243	109	88	118	77	86	65	38	76	36	178	26	88					
8	Число бюллетеней в стационарных ящиках для голосования	29517	733	699	222	427	904	717	1000	610	767	932	1276	779	855	1271	774	640	670	498	132	431	142	258	337	456	632	283	527	594	429	66	1253	458	567	155	69	507	165	362	713	569	95	366	72	653	92	647	408	36	422	54	56	166	866	677	745	1283					
9	Число недействительных избирательных бюллетеней	341	4	13	1	5	13	11	5	2	9	6	11	3	4	15	3	4	6	5	6	0	2	0	3	6	5	1	8	3	4	0	8	21	2	8	0	12	2	3	6	4	3	7	0	10	3	3	5	1	8	2	0	4	5	56	10	0					
10	Число действительных избирательных бюллетеней	34064	757	947	255	494	1041	727	1006	628	772	946	1295	785	877	1271	796	759	764	618	181	497	269	338	475	528	839	432	592	591	519	110	1312	732	632	211	161	712	239	503	773	633	190	499	132	886	198	732	521	112	500	117	94	238	897	799	761	1371					
