Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Эхирит-Булагатская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224					
1	"Число избирателей, внесенных в списки избирателей"	19345	1604	640	378	1006	1839	1729	1987	765	197	306	188	383	627	221	115	288	312	391	255	151	325	130	13	178	476	174	108	540	292	401	80	116	169	684	128	379	124	203	361	215	221	183	318	145					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18431	1560	650	366	960	1750	1700	1730	730	190	290	170	560	540	210	100	270	300	320	230	130	330	120	15	180	450	170	90	510	260	390	80	110	160	640	120	370	120	200	340	210	210	180	290	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11043	760	374	235	555	899	794	908	301	134	181	138	360	499	169	88	162	215	238	193	118	218	84	9	120	266	103	81	365	196	307	62	92	118	391	78	230	81	100	187	88	131	102	194	119					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	897	23	13	9	69	28	59	119	29	6	22	9	23	5	12	5	29	25	38	8	4	10	16	0	7	17	0	3	10	7	31	2	13	17	11	9	16	9	18	48	35	34	19	30	0					
6	Число погашенных избирательных бюллетеней	6491	777	263	122	336	823	847	703	400	50	87	23	177	36	29	7	79	60	44	29	8	102	20	6	53	167	67	6	135	57	52	16	5	25	238	33	124	30	82	105	87	45	59	66	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	897	23	13	9	69	28	59	119	29	6	22	9	23	5	12	5	29	25	38	8	4	10	16	0	7	17	0	3	10	7	31	2	13	17	11	9	16	9	18	48	35	34	19	30	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11043	760	374	235	555	899	794	908	301	134	181	138	360	499	169	88	162	215	238	193	118	218	84	9	120	266	103	81	365	196	307	62	92	118	391	78	230	81	100	187	88	131	102	194	119					
9	Число недействительных избирательных бюллетеней	87	4	0	1	5	17	4	6	5	0	2	0	1	3	0	0	2	2	0	2	0	4	0	0	3	2	2	0	2	1	6	0	1	1	1	1	1	0	0	2	2	2	0	2	0					
10	Число действительных избирательных бюллетеней	11853	779	387	243	619	910	849	1021	325	140	201	147	382	501	181	93	189	238	276	199	122	224	100	9	124	281	101	84	373	202	332	64	104	134	401	86	245	90	118	233	121	163	121	222	119					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	732	54	25	14	38	63	62	73	30	8	12	7	25	25	9	5	11	13	14	10	5	8	5	6	7	18	7	4	20	11	16	3	4	7	25	5	15	5	8	16	8	8	7	11	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	262	36	11	4	13	22	21	26	7	2	1	0	25	17	4	1	0	3	0	6	1	8	1	3	7	8	1	4	3	0	7	3	0	1	1	0	1	2	0	9	0	1	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	125	20	4	4	0	11	4	16	4	0	0	2	3	20	1	0	1	0	1	2	1	0	0	1	1	3	1	1	1	1	0	1	0	0	0	2	2	1	0	12	2	1	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	470	18	14	10	25	41	41	47	23	6	11	7	0	8	5	4	11	10	14	4	4	0	4	3	0	10	6	0	17	11	9	0	4	6	24	5	14	3	8	7	8	7	6	10	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	1.Политическая партия «Аграрная партия России»	1819	157	68	27	61	163	152	191	44	26	50	40	68	22	21	6	22	22	28	14	12	27	20	1	17	65	7	16	55	34	86	7	7	32	39	6	65	12	9	28	11	4	4	52	21					
		15.23%	20.05%	17.57%	11.07%	9.78%	17.58%	17.82%	18.60%	13.33%	18.57%	24.63%	27.21%	17.75%	4.37%	11.60%	6.45%	11.52%	9.17%	10.14%	6.97%	9.84%	11.84%	20.00%	11.11%	13.39%	22.97%	6.80%	19.05%	14.67%	16.75%	25.44%	10.94%	6.67%	23.70%	9.70%	6.90%	26.42%	13.33%	7.63%	11.91%	8.94%	2.42%	3.31%	23.21%	17.65%					
19	2.Всероссийская политическая партия «Гражданская Сила»	50	5	3	1	2	8	4	6	0	0	1	0	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	1	0	0	1	0	3	1					
		0.42%	0.64%	0.78%	0.41%	0.32%	0.86%	0.47%	0.58%	0.00%	0.00%	0.49%	0.00%	0.78%	0.00%	0.55%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.61%	0.00%	1.34%	0.84%					
20	3.Политическая партия «Демократическая партия России»	9	0	1	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1					
		0.08%	0.00%	0.26%	0.00%	0.00%	0.11%	0.00%	0.29%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	886	86	28	21	56	80	80	118	27	11	11	17	14	23	12	2	5	5	15	24	22	26	5	3	8	25	2	2	16	11	8	4	2	9	19	2	15	5	3	17	3	11	6	18	9					
		7.42%	10.98%	7.24%	8.61%	8.97%	8.63%	9.38%	11.49%	8.18%	7.86%	5.42%	11.56%	3.66%	4.56%	6.63%	2.15%	2.62%	2.08%	5.43%	11.94%	18.03%	11.40%	5.00%	33.33%	6.30%	8.83%	1.94%	2.38%	4.27%	5.42%	2.37%	6.25%	1.90%	6.67%	4.73%	2.30%	6.10%	5.56%	2.54%	7.23%	2.44%	6.67%	4.96%	8.04%	7.56%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	51	6	2	1	2	8	3	8	0	0	1	0	1	4	1	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	2	0	1	2	0					
