Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    район Люблино																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №3217	УИК №3218	УИК №3219	УИК №3220					
1	"Число избирателей, внесенных в списки избирателей"	108804	2732	1639	1823	1754	1858	1954	2121	1182	1180	1648	1707	1708	2193	2459	2164	1800	2446	2315	2680	2682	2367	2231	2598	2310	2596	2626	2869	1191	1729	1873	2574	2813	2134	2718	1893	2581	2250	1956	2216	1561	2181	1998	1674	1547	1563	1741	2358	2353	2018	2180	2120	340	645	571	384					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	84700	2100	1200	1400	1400	1400	1500	1600	900	900	1300	1300	1300	1700	1900	1700	1400	1900	1800	2100	2000	1900	1700	2100	1800	2100	2000	2200	900	1300	1500	1900	2200	1700	2100	1500	2000	1700	1400	1700	1200	1700	1600	1200	1100	1100	1200	1800	1800	1900	1700	1700	400	700	700	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	64084	1443	922	1154	945	866	889	1067	608	654	1021	971	945	1103	1347	1426	1201	1515	1565	1726	1848	1635	1548	1318	1192	1536	1582	1420	640	994	1009	1266	1718	1280	1869	1197	1596	1247	1061	1494	852	1469	1234	854	793	815	971	1350	1286	1423	1223	1222	224	635	531	384					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1708	19	13	26	29	45	31	18	21	25	25	28	24	30	38	39	28	39	36	38	22	33	18	17	6	24	11	12	15	27	14	28	50	30	14	17	9	22	9	40	12	35	15	15	7	70	11	17	19	366	28	27	116	0	0	0					
6	Число погашенных избирательных бюллетеней	18908	638	265	220	426	489	580	515	271	221	254	301	331	567	515	235	171	346	199	336	130	232	134	765	602	540	407	768	245	279	477	606	432	390	217	286	395	431	330	166	336	196	351	331	300	215	218	433	495	111	449	451	60	65	169	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1707	19	13	26	29	45	31	18	21	25	25	28	24	30	38	39	28	38	36	38	22	33	18	17	6	24	11	12	15	27	14	28	50	30	14	17	9	22	9	40	12	35	15	15	7	70	11	17	19	366	28	27	116	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63719	1436	921	1154	942	866	886	1067	608	654	1020	943	945	1103	1309	1421	1169	1466	1565	1726	1848	1635	1530	1318	1192	1534	1571	1420	640	994	995	1266	1718	1250	1864	1197	1596	1246	1061	1454	852	1455	1234	854	793	815	971	1289	1286	1423	1221	1222	224	635	531	384					
9	Число недействительных избирательных бюллетеней	944	16	13	24	7	9	20	22	11	12	21	10	12	8	22	22	22	27	18	25	43	34	20	14	19	22	18	51	6	13	8	17	9	28	11	5	21	16	12	28	17	21	15	13	12	10	11	13	16	27	25	24	6	8	2	8					
10	Число действительных избирательных бюллетеней	64482	1439	921	1156	964	902	897	1063	618	667	1024	961	957	1125	1325	1438	1175	1477	1583	1739	1827	1634	1528	1321	1179	1536	1564	1381	649	1008	1001	1277	1759	1252	1867	1209	1584	1252	1058	1466	847	1469	1234	856	788	875	971	1293	1289	1762	1224	1225	334	627	529	376					
