Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    район Люблино																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №3310	УИК №3311	УИК №3312	УИК №3313					
1	"Число избирателей, внесенных в список избирателей"	109112	1668	1839	1444	1590	1827	1911	2115	1168	1149	1655	1594	1729	2229	2384	2631	1890	2449	2635	2700	2317	2341	2179	2707	2342	2766	2760	1890	1501	1361	2062	1658	2447	2129	2735	1972	2596	2115	2099	1793	1576	2917	2322	2282	1849	1618	1644	2015	2500	2621	2888	2919	317	407	500	360					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80510	2000	1400	1100	1200	1300	1400	1500	1000	800	1200	1200	1300	1600	1800	1900	1400	1800	1900	1900	1600	1700	1600	1900	1700	2000	1900	1400	1100	1000	1500	1200	1800	1500	2000	1500	1900	1500	1500	1300	1200	2100	1700	1700	1300	1200	1200	1500	1800	1800	2000	2000	350	500	500	360					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	64230	1641	1256	618	790	912	881	983	639	677	756	786	729	1467	1457	1454	987	1293	1147	1771	1561	1297	1546	1858	1650	1907	1361	868	812	746	1161	948	1249	1410	1606	1085	1511	1201	1185	1050	1007	1639	1317	1236	1292	1085	1010	1335	1580	1661	1600	1754	191	407	500	360					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1572	27	21	16	8	36	15	17	16	9	18	24	18	32	43	45	21	27	31	20	16	24	19	14	18	6	12	10	5	20	13	21	19	30	22	16	25	25	24	25	17	16	4	40	8	4	39	61	13	25	329	82	126	0	0	0					
6	Число погашенных избирательных бюллетеней	14708	332	123	466	402	352	504	500	345	114	426	390	553	101	300	401	392	480	722	109	23	379	35	28	32	87	527	522	283	234	326	231	532	60	372	399	364	274	291	225	176	445	379	424	0	111	151	104	207	114	71	164	33	93	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1572	27	21	16	8	36	15	17	16	9	18	24	18	32	43	45	21	27	31	20	16	24	19	14	18	6	12	10	5	20	13	21	19	30	22	16	25	25	24	25	17	16	4	40	8	4	39	61	13	25	329	82	126	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	64143	1641	1256	616	788	910	881	980	639	677	756	784	729	1467	1457	1454	985	1293	1146	1771	1561	1297	1546	1844	1650	1873	1361	866	812	746	1161	948	1249	1410	1603	1085	1511	1199	1185	1050	995	1639	1317	1236	1292	1085	1010	1335	1580	1661	1600	1748	191	407	500	360					
9	Число недействительных избирательных бюллетеней	941	28	5	11	13	18	19	10	11	15	41	2	12	0	0	37	18	18	21	13	29	9	28	93	26	35	10	12	11	0	17	21	32	0	22	12	0	18	64	12	16	27	22	0	10	13	19	25	0	0	37	12	1	7	9	0					
10	Число действительных избирательных бюллетеней	64774	1640	1272	621	783	928	877	987	644	671	733	806	735	1499	1500	1462	988	1302	1156	1778	1548	1312	1537	1765	1642	1844	1363	864	806	766	1157	948	1236	1440	1603	1089	1536	1206	1145	1063	996	1628	1299	1276	1290	1076	1030	1371	1593	1686	1892	1818	316	400	491	360					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2451	60	30	20	50	40	40	40	20	30	30	20	50	40	60	65	30	40	60	50	30	60	40	65	65	60	70	45	35	25	45	30	50	40	40	40	80	40	60	40	40	61	70	50	40	40	40	60	60	55	130	70	0	0	0	0					
