Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Ак-Довуракская городская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37					
1	"Число избирателей, внесенных в списки"	5966	1077	992	935	955	1127	880					
2	"Число бюллетеней, полученных участковыми комиссиями"	5645	991	915	949	995	920	875					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2767	530	465	457	455	457	403					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	113	18	33	13	6	23	20					
6	Число погашенных бюллетеней	2765	443	417	479	534	440	452					
7	Число бюллетеней в переносных ящиках для голосования	113	18	33	13	6	23	20					
8	Число бюллетеней в стационарных ящиках для голосования	2767	530	465	457	455	457	403					
9	Число недействительных бюллетеней	72	8	19	11	22	3	9					
10	Число действительных бюллетеней	2808	540	479	459	439	477	414					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	90	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	7	0	3	1	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	0	0	1	1	0	0					
14	Число погашенных открепительных удостоверений	83	15	12	14	15	13	14					
15	Число открепительных удостоверений выданных ТИК	5	3	1	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	106	12	24	14	19	22	15					
		3.68%	2.18%	4.81%	2.97%	4.12%	4.58%	3.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	9	1	1	1	4	0	2					
		0.31%	0.18%	0.20%	0.21%	0.86%	0.0%	0.47%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	46	4	10	13	3	6	10					
		1.59%	0.72%	2.00%	2.76%	0.65%	1.25%	2.36%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	33	2	4	7	10	8	2					
		1.14%	0.36%	0.80%	1.48%	2.16%	1.66%	0.47%					
22	"5. ""За Русь Святую"""	8	0	2	0	2	3	1					
		0.27%	0.0%	0.40%	0.0%	0.43%	0.62%	0.23%					
23	"6. ""Объединенная Российская партия ""Русь"""	7	1	0	1	2	3	0					
		0.24%	0.18%	0.0%	0.21%	0.43%	0.62%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	8	0	2	1	0	3	2					
		0.27%	0.0%	0.40%	0.21%	0.0%	0.62%	0.47%					
25	"8. ""Народно-республиканская партия России"""	4	0	1	0	0	3	0					
		0.13%	0.0%	0.20%	0.0%	0.0%	0.62%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	1	0	0	0	0	1					
		0.06%	0.18%	0.0%	0.0%	0.0%	0.0%	0.23%					
27	"10. ""Аграрная партия России"""	16	3	3	5	4	0	1					
		0.55%	0.54%	0.60%	1.06%	0.86%	0.0%	0.23%					
28	"11. ""Истинные патриоты России"""	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	8	0	3	3	1	0	1					
		0.27%	0.0%	0.60%	0.63%	0.21%	0.0%	0.23%					
30	"13. ""Демократическая партия России"""	1	0	0	0	0	0	1					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	2	0	2	2	0	1					
		0.24%	0.36%	0.0%	0.42%	0.43%	0.0%	0.23%					
32	"15. ""Партия СЛОН"""	6	1	2	1	1	0	1					
		0.20%	0.18%	0.40%	0.21%	0.21%	0.0%	0.23%					
33	"16. ""Родина"" (народно-патриотический союз)"""	47	3	9	10	16	3	6					
		1.63%	0.54%	1.80%	2.12%	3.47%	0.62%	1.41%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	9	1	3	0	4	0	1					
		0.31%	0.18%	0.60%	0.0%	0.86%	0.0%	0.23%					
35	"18. ""ЛДПР"""	54	14	10	12	11	4	3					
		1.87%	2.55%	2.00%	2.55%	2.38%	0.83%	0.70%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	36	12	3	7	5	6	3					
		1.25%	2.18%	0.60%	1.48%	1.08%	1.25%	0.70%					
37	"20. ""Политическая партия ""Единая Россия"""	2212	457	379	356	314	390	316					
		76.80%	83.39%	76.10%	75.74%	68.11%	81.25%	74.70%					
38	"21. ""Российская Конституционно-демократическая партия"""	7	1	1	3	0	0	2					
		0.24%	0.18%	0.20%	0.63%	0.0%	0.0%	0.47%					
39	"22. ""Развитие предпринимательства"""	7	0	2	0	2	1	2					
		0.24%	0.0%	0.40%	0.0%	0.43%	0.20%	0.47%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	139	20	12	17	34	23	33					
		4.82%	3.64%	2.40%	3.61%	7.37%	4.79%	7.80%					
													
41	Против всех	36	5	8	6	5	2	10					
		1.25%	0.91%	1.60%	1.27%	1.08%	0.41%	2.36%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
