Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
Наименование Избирательной комиссии:    Новосибирская																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798					
1	"Число избирателей, внесенных в списки"	89994	2513	2587	3152	3229	2220	2019	2028	2365	1350	1579	2817	2686	318	1413	1088	269	1524	432	178	2175	2303	378	1605	365	1301	962	178	2187	2386	2950	1444	1609	870	274	371	237	86	3442	810	1379	632	3094	1907	1759	919	585	1498	349	2092	417	2686	1694	575	558	221	298	2906	1010	139	220	2527	408	721	1502	198					
2	"Число бюллетеней, полученных участковыми комиссиями"	88000	2484	2580	3129	3146	2206	2029	2020	2344	1315	1540	2713	2586	300	1300	1000	270	1500	440	182	2100	2100	350	1500	350	1160	850	170	2100	2350	2700	1700	1594	800	272	341	231	83	3370	807	1373	807	3000	1910	1747	880	581	1338	332	2170	380	2645	1761	563	589	219	286	2782	992	142	209	2498	468	771	1347	198					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	44837	1574	1584	1825	1920	1460	1121	1140	1341	748	556	1358	1048	217	648	541	107	784	223	109	1001	911	185	921	156	429	432	98	1216	1260	1368	585	860	489	149	233	181	46	1665	418	786	361	764	873	694	269	298	811	188	886	230	1238	775	264	192	153	157	1464	463	77	135	1097	214	417	991	133					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1710	29	21	26	14	33	12	10	10	25	51	20	57	0	0	16	8	33	6	8	42	53	7	43	11	34	21	1	19	15	14	6	18	12	11	8	0	6	20	11	44	10	442	25	14	33	17	14	16	51	39	18	41	25	2	0	7	38	5	6	0	48	9	44	19	12					
6	Число погашенных бюллетеней	41453	881	975	1278	1212	713	896	870	993	542	933	1335	1481	83	652	443	155	683	211	65	1057	1136	158	536	183	697	397	71	865	1075	1318	1109	716	299	112	100	50	31	1685	378	543	436	1794	1012	1039	578	266	513	128	1233	111	1389	945	274	395	66	122	1280	524	59	74	1353	245	310	337	53					
7	Число бюллетеней в переносных ящиках для голосования	1709	29	21	26	14	33	12	10	9	25	51	20	57	0	0	16	8	33	6	8	42	53	7	43	11	34	21	1	19	15	14	6	18	12	11	8	0	6	20	11	44	10	442	25	14	33	17	14	16	51	39	18	41	25	2	0	7	38	5	6	0	48	9	44	19	12					
8	Число бюллетеней в стационарных ящиках для голосования	44717	1558	1583	1813	1924	1452	1118	1138	1322	742	556	1358	1048	217	648	541	107	784	223	109	1000	911	185	917	156	429	432	98	1216	1260	1326	584	860	489	149	233	181	46	1663	417	786	361	764	873	694	269	298	811	188	886	230	1238	775	264	192	153	157	1464	463	77	135	1097	214	417	985	133					
9	Число недействительных бюллетеней	1136	13	11	11	18	11	5	4	9	6	13	24	34	0	34	23	1	23	9	13	17	30	6	25	9	14	12	9	50	21	40	19	25	26	13	11	20	1	31	10	24	19	27	40	34	11	17	47	0	22	3	44	16	2	8	6	10	42	12	4	6	34	8	23	24	2					
10	Число действительных бюллетеней	45290	1574	1593	1828	1920	1474	1125	1144	1322	761	594	1354	1071	217	614	534	114	794	220	104	1025	934	186	935	158	449	441	90	1185	1254	1300	571	853	475	147	230	161	51	1652	418	806	352	1179	858	674	291	298	778	204	915	266	1212	800	287	186	147	154	1460	456	79	129	1111	215	438	980	143					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	381	10	20	15	15	15	5	5	5	5	10	18	13	2	2	6	2	10	2	2	10	15	2	8	2	12	2	2	3	9	3	3	22	2	2	3	2	2	14	2	3	2	8	10	3	7	2	2	2	10	2	8	3	2	2	2	3	3	2	2	2	3	2	2	10	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	184	4	8	13	9	14	3	2	2	3	3	3	11	0	2	2	0	6	0	0	3	8	0	5	0	5	2	0	1	6	1	1	12	2	0	0	0	0	9	2	1	0	4	4	3	3	2	2	0	3	0	8	2	0	1	0	3	0	2	2	0	0	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	300	4	1	9	5	6	5	4	0	3	4	11	4	0	1	3	1	15	4	0	0	3	0	0	1	4	0	0	4	4	2	1	1	2	3	8	2	1	12	4	9	5	24	4	1	0	1	12	2	7	24	8	8	5	2	1	1	2	2	1	0	2	0	3	44	0					
14	Число погашенных открепительных удостоверений	197	6	12	2	6	1	2	3	3	2	7	15	2	2	0	4	2	4	2	2	7	7	2	3	2	7	0	2	2	3	2	2	10	0	2	3	2	2	5	0	2	2	4	6	0	4	0	0	2	7	2	0	1	2	1	2	0	3	0	0	2	3	2	2	8	2					
15	Число открепительных удостоверений выданных ТИК	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	"1. ""ЕДИНЕНИЕ"""	1001	51	51	84	66	84	9	14	18	13	11	26	23	4	14	13	0	18	3	2	11	12	5	18	2	12	4	2	15	22	14	18	17	8	2	3	3	0	26	18	15	7	24	23	21	8	11	24	1	17	7	20	14	4	3	1	2	6	8	2	1	30	1	4	19	12					
		2.15%	3.21%	3.17%	4.56%	3.40%	5.65%	0.79%	1.21%	1.35%	1.69%	1.81%	1.88%	2.08%	1.84%	2.16%	2.33%	0.0%	2.20%	1.31%	1.70%	1.05%	1.24%	2.60%	1.87%	1.19%	2.59%	0.88%	2.02%	1.21%	1.72%	1.04%	3.05%	1.93%	1.59%	1.25%	1.24%	1.65%	0.0%	1.54%	4.20%	1.80%	1.88%	1.99%	2.56%	2.96%	2.64%	3.49%	2.90%	0.49%	1.81%	2.60%	1.59%	1.71%	1.38%	1.54%	0.65%	1.21%	0.39%	1.70%	2.40%	0.74%	2.62%	0.44%	0.86%	1.89%	8.27%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2052	142	106	130	225	117	82	93	111	30	12	43	34	1	26	11	2	26	8	0	33	35	6	35	5	16	9	1	39	36	62	18	16	7	5	10	1	2	69	10	32	22	62	26	14	16	2	25	2	21	1	33	29	7	5	3	3	43	6	0	2	28	5	6	44	1					
		4.41%	8.94%	6.60%	7.06%	11.60%	7.87%	7.25%	8.10%	8.33%	3.91%	1.97%	3.12%	3.07%	0.46%	4.01%	1.97%	1.73%	3.18%	3.49%	0.0%	3.16%	3.63%	3.12%	3.64%	2.99%	3.45%	1.98%	1.01%	3.15%	2.82%	4.62%	3.05%	1.82%	1.39%	3.12%	4.14%	0.55%	3.84%	4.09%	2.33%	3.85%	5.92%	5.14%	2.89%	1.97%	5.29%	0.63%	3.03%	0.98%	2.24%	0.37%	2.62%	3.55%	2.42%	2.57%	1.96%	1.82%	2.86%	1.28%	0.0%	1.48%	2.44%	2.24%	1.30%	4.38%	0.68%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1329	32	35	35	42	36	30	23	19	18	21	23	46	5	20	18	3	22	11	3	55	37	11	28	10	25	17	4	45	37	42	22	28	20	6	12	19	0	42	17	32	9	14	29	29	18	12	13	10	23	12	22	24	14	6	3	3	43	11	6	2	41	5	9	9	11					
		2.86%	2.01%	2.18%	1.90%	2.16%	2.42%	2.65%	2.00%	1.42%	2.34%	3.45%	1.66%	4.16%	2.30%	3.08%	3.23%	2.60%	2.69%	4.80%	2.56%	5.27%	3.83%	5.72%	2.91%	5.98%	5.39%	3.75%	4.04%	3.64%	2.90%	3.13%	3.72%	3.18%	3.99%	3.75%	4.97%	10.49%	0.0%	2.49%	3.97%	3.85%	2.42%	1.16%	3.22%	4.09%	5.96%	3.80%	1.57%	4.90%	2.45%	4.46%	1.75%	2.94%	4.84%	3.09%	1.96%	1.82%	2.86%	2.35%	7.22%	1.48%	3.58%	2.24%	1.95%	0.89%	7.58%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2099	94	93	129	154	119	98	117	146	40	23	57	38	3	18	9	0	22	13	1	33	34	6	35	3	23	24	0	37	39	62	14	41	15	5	4	5	0	94	13	34	14	46	27	25	14	5	21	1	20	4	43	21	6	4	9	3	59	9	3	1	18	4	6	40	1					
		4.52%	5.92%	5.79%	7.01%	7.94%	8.01%	8.67%	10.19%	10.96%	5.21%	3.78%	4.13%	3.43%	1.38%	2.77%	1.61%	0.0%	2.69%	5.67%	0.85%	3.16%	3.52%	3.12%	3.64%	1.79%	4.96%	5.29%	0.0%	2.99%	3.05%	4.62%	2.37%	4.66%	2.99%	3.12%	1.65%	2.76%	0.0%	5.58%	3.03%	4.09%	3.77%	3.81%	3.00%	3.53%	4.63%	1.58%	2.54%	0.49%	2.13%	1.48%	3.42%	2.57%	2.07%	2.06%	5.88%	1.82%	3.92%	1.92%	3.61%	0.74%	1.57%	1.79%	1.30%	3.98%	0.68%					
22	"5. ""За Русь Святую"""	513	18	28	26	23	30	12	21	20	15	9	6	8	0	12	3	2	10	1	3	8	12	0	1	0	9	3	1	14	7	6	3	10	8	1	2	1	0	14	2	10	5	9	1	17	3	6	2	1	10	0	36	2	3	4	0	1	5	3	1	0	9	0	25	11	0					
		1.10%	1.13%	1.74%	1.41%	1.18%	2.02%	1.06%	1.82%	1.50%	1.95%	1.48%	0.43%	0.72%	0.0%	1.85%	0.53%	1.73%	1.22%	0.43%	2.56%	0.76%	1.24%	0.0%	0.10%	0.0%	1.94%	0.66%	1.01%	1.13%	0.54%	0.44%	0.50%	1.13%	1.59%	0.62%	0.82%	0.55%	0.0%	0.83%	0.46%	1.20%	1.34%	0.74%	0.11%	2.40%	0.99%	1.90%	0.24%	0.49%	1.06%	0.0%	2.86%	0.24%	1.03%	2.06%	0.0%	0.60%	0.33%	0.64%	1.20%	0.0%	0.78%	0.0%	5.42%	1.09%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	105	2	3	3	4	2	1	2	2	3	2	1	1	0	5	6	0	0	1	0	3	3	0	1	0	2	1	0	3	3	0	1	2	2	1	0	2	0	1	3	4	0	2	2	3	1	2	0	0	0	3	0	2	1	2	0	1	6	1	0	0	1	0	1	6	1					
