Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Кошкинская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368					
1	"Число избирателей, внесенных в списки"	17396	1326	1580	1589	1121	1157	925	278	829	361	380	324	288	346	370	359	158	365	263	238	214	374	446	570	309	540	144	119	366	222	392	363	210	172	253	210	235					
2	"Число бюллетеней, полученных участковыми комиссиями"	17291	1278	1536	1504	975	1143	904	255	831	360	377	323	279	582	378	355	154	373	268	233	215	361	438	559	302	556	156	121	382	244	400	371	209	166	280	203	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11707	794	959	964	762	629	676	206	483	223	243	231	185	281	252	258	105	259	179	184	165	277	322	421	248	421	122	96	247	162	276	254	152	128	223	180	140					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1264	41	47	19	34	56	26	19	135	27	36	23	48	65	54	52	26	42	20	14	15	48	50	57	32	31	8	4	32	21	45	60	20	10	13	11	23					
6	Число погашенных бюллетеней	4320	443	530	521	179	458	202	30	213	110	98	69	46	236	72	45	23	72	69	35	35	36	66	81	22	104	26	21	103	61	79	57	37	28	44	12	57					
7	Число бюллетеней в переносных ящиках для голосования	1264	41	47	19	34	56	26	19	135	27	36	23	48	65	54	52	26	42	20	14	15	48	50	57	32	31	8	4	32	21	45	60	20	10	13	11	23					
8	Число бюллетеней в стационарных ящиках для голосования	11672	794	959	964	728	629	676	206	483	223	243	231	185	281	252	258	105	258	179	184	165	277	322	421	248	421	122	96	247	162	276	254	152	128	223	180	140					
9	Число недействительных бюллетеней	349	26	17	18	1	13	22	1	11	10	1	4	6	17	10	8	8	11	13	2	0	9	2	15	13	23	2	0	12	2	41	11	1	9	6	0	4					
10	Число действительных бюллетеней	12587	809	989	965	761	672	680	224	607	240	278	250	227	329	296	302	123	289	186	196	180	316	370	463	267	429	128	100	267	181	280	303	171	129	230	191	159					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	166	10	14	10	10	10	8	3	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	14	3	3	3	3	3	3	3	3	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	6	14	4	6	6	8	0	1	0	0	2	2	0	1	2	0	2	2	0	0	0	0	0	0	14	0	1	1	2	1	1	3	0	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	2	1	3	2	2	1	1	0	0	1	2	2	1	1	0	0	3	1	0	1	2	0	0	3	2	1	0	0	1	0	0	2	2	0	1	0					
14	Число погашенных открепительных удостоверений	85	4	0	6	4	4	0	3	5	3	3	1	1	3	2	1	3	1	1	3	3	3	3	3	3	0	3	2	2	1	2	2	0	3	2	2	3					
15	Число открепительных удостоверений выданных ТИК	4	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	225	19	14	19	4	7	13	5	10	12	8	4	1	5	5	5	4	11	3	4	2	3	8	7	7	7	2	0	8	2	7	3	1	1	3	4	7					
		1.73%	2.27%	1.39%	1.93%	0.52%	1.02%	1.85%	2.22%	1.61%	4.8%	2.86%	1.57%	0.42%	1.44%	1.63%	1.61%	3.05%	3.66%	1.50%	2.02%	1.11%	0.92%	2.15%	1.46%	2.49%	1.54%	1.53%	0.0%	2.86%	1.09%	2.18%	0.95%	0.58%	0.72%	1.27%	2.09%	4.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	111	13	9	11	5	4	2	2	2	5	0	1	1	2	3	1	0	5	1	0	1	4	1	4	3	10	0	0	2	3	6	3	2	0	2	3	0					
		0.85%	1.55%	0.89%	1.11%	0.65%	0.58%	0.28%	0.88%	0.32%	2.0%	0.0%	0.39%	0.42%	0.57%	0.98%	0.32%	0.0%	1.66%	0.50%	0.0%	0.55%	1.23%	0.26%	0.83%	1.07%	2.21%	0.0%	0.0%	0.71%	1.63%	1.86%	0.95%	1.16%	0.0%	0.84%	1.57%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	254	14	11	11	21	16	9	6	13	7	5	4	3	5	1	10	3	5	1	6	0	9	15	2	6	20	6	0	12	1	4	4	5	7	5	5	2					
		1.96%	1.67%	1.09%	1.11%	2.75%	2.33%	1.28%	2.66%	2.10%	2.8%	1.79%	1.57%	1.28%	1.44%	0.32%	3.22%	2.29%	1.66%	0.50%	3.03%	0.0%	2.76%	4.03%	0.41%	2.14%	4.42%	4.61%	0.0%	4.30%	0.54%	1.24%	1.27%	2.90%	5.07%	2.11%	2.61%	1.22%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	112	10	12	11	9	5	8	0	4	2	2	0	2	1	1	0	1	4	4	0	0	1	1	2	7	5	0	0	2	0	0	8	2	3	0	5	0					
		0.86%	1.19%	1.19%	1.11%	1.18%	0.72%	1.13%	0.0%	0.64%	0.8%	0.71%	0.0%	0.85%	0.28%	0.32%	0.0%	0.76%	1.33%	2.01%	0.0%	0.0%	0.30%	0.26%	0.41%	2.49%	1.10%	0.0%	0.0%	0.71%	0.0%	0.0%	2.54%	1.16%	2.17%	0.0%	2.61%	0.0%					
22	"5. ""За Русь Святую"""	71	5	8	5	3	3	4	2	4	3	3	0	0	4	1	1	1	0	3	0	1	1	4	1	0	2	0	0	3	2	4	2	0	1	0	0	0					
		0.54%	0.59%	0.79%	0.50%	0.39%	0.43%	0.56%	0.88%	0.64%	1.2%	1.07%	0.0%	0.0%	1.15%	0.32%	0.32%	0.76%	0.0%	1.50%	0.0%	0.55%	0.30%	1.07%	0.20%	0.0%	0.44%	0.0%	0.0%	1.07%	1.09%	1.24%	0.63%	0.0%	0.72%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	0	2	0	2	0	0	0	1	1	0	1	1	2	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	7	1	0	0	1	0	0	0					
		0.19%	0.0%	0.19%	0.0%	0.26%	0.0%	0.0%	0.0%	0.16%	0.4%	0.0%	0.39%	0.42%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.41%	0.0%	0.22%	0.76%	0.0%	0.35%	3.82%	0.31%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	41	2	5	2	3	8	1	0	0	0	3	0	0	2	1	0	0	2	0	1	1	0	2	0	2	0	1	0	3	0	0	0	1	0	0	1	0					
