Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Черепановская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38763	1506	1684	1617	1642	1620	1778	1571	866	1709	816	988	1607	1910	373	1265	950	966	1239	43	87	736	94	124	84	217	511	843	102	103	442	1774	215	134	295	528	1160	878	136	157	604	474	186	814	164	238	873	329	110	744	86	453	527	246	145									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39220	1530	1700	1630	1650	1630	1800	1580	810	1720	830	990	1600	1920	380	1280	970	960	1240	47	95	760	105	125	90	245	510	865	107	115	430	1800	215	145	300	540	1170	930	155	155	635	475	190	820	165	235	885	330	115	745	91	465	550	255	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16526	498	753	610	547	601	618	655	323	548	268	364	699	820	98	542	304	362	522	26	41	375	53	70	51	147	207	375	66	51	226	819	115	51	112	293	584	488	75	96	361	263	109	386	99	137	449	152	28	331	50	195	289	140	84									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2300	77	40	54	94	62	124	45	90	47	41	36	200	99	80	112	63	43	113	1	5	62	10	7	8	24	60	36	4	22	35	53	2	2	17	30	40	64	11	6	27	16	12	87	6	18	68	15	6	43	7	18	38	12	8									
6	Число погашенных избирательных бюллетеней	20394	955	907	966	1009	967	1058	880	397	1125	521	590	701	1001	202	626	603	555	605	20	49	323	42	48	31	74	243	454	37	42	169	928	98	92	171	217	546	378	69	53	247	196	69	347	60	80	368	163	81	371	34	252	223	103	48									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2300	77	40	54	94	62	124	45	90	47	41	36	200	99	80	112	63	43	113	1	5	62	10	7	8	24	60	36	4	22	35	53	2	2	17	30	40	64	11	6	27	16	12	87	6	18	68	15	6	43	7	18	38	12	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16525	498	753	610	547	601	618	655	323	548	268	364	699	820	98	542	304	362	522	26	41	375	53	70	51	147	207	375	66	51	226	819	115	51	112	293	583	488	75	96	361	263	109	386	99	137	449	152	28	331	50	195	289	140	84									
9	Число недействительных избирательных бюллетеней	528	10	23	13	6	12	17	21	12	3	9	5	17	102	2	14	8	14	13	1	1	17	0	5	1	6	7	7	3	0	6	33	0	2	3	4	17	19	0	0	8	4	6	19	1	2	11	2	0	14	5	4	8	6	5									
10	Число действительных избирательных бюллетеней	18297	565	770	651	635	651	725	679	401	592	300	395	882	817	176	640	359	391	622	26	45	420	63	72	58	165	260	404	67	73	255	839	117	51	126	319	606	533	86	102	380	275	115	454	104	153	506	165	34	360	52	209	319	146	87									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	909	22	35	25	40	30	32	20	20	20	20	20	20	20	10	20	20	20	20	8	8	20	5	5	10	20	10	20	10	15	10	20	5	5	10	10	24	40	25	5	30	10	10	20	5	5	20	10	5	20	5	10	30	17	13									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	779	22	35	25	35	28	32	15	6	20	20	20	8	2	2	4	20	8	8	8	8	20	5	5	10	20	1	20	7	15	10	20	5	5	10	10	24	40	25	5	30	10	8	15	5	5	15	10	5	19	5	9	30	17	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	257	13	19	9	10	12	5	6	8	5	3	10	0	5	4	2	3	9	6	6	3	4	3	2	4	0	3	4	6	4	11	5	2	3	4	3	4	3	5	2	2	1	3	5	3	2	4	4	2	2	8	2	2	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	130	0	0	0	5	2	0	5	14	0	0	0	12	18	8	16	0	12	12	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	5	0	0	1	0	1	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	5	4	7	4	0	1	3	3	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	2	3	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	224	7	11	9	10	6	17	20	9	4	3	9	5	9	2	4	4	1	7	0	0	5	2	0	0	2	4	2	0	0	3	15	0	0	3	1	7	4	2	0	3	5	5	1	4	1	3	0	0	2	1	3	4	1	4									
		1.19%	1.22%	1.39%	1.36%	1.56%	0.90%	2.29%	2.86%	2.18%	0.67%	0.97%	2.25%	0.56%	0.98%	1.12%	0.61%	1.09%	0.25%	1.10%	0.00%	0.00%	1.14%	3.17%	0.00%	0.00%	1.17%	1.50%	0.49%	0.00%	0.00%	1.15%	1.72%	0.00%	0.00%	2.33%	0.31%	1.12%	0.72%	2.33%	0.00%	0.77%	1.79%	4.13%	0.21%	3.81%	0.65%	0.58%	0.00%	0.00%	0.53%	1.75%	1.41%	1.22%	0.66%	4.35%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	512	21	20	12	20	14	13	20	7	15	7	15	13	33	8	17	20	19	13	1	0	14	6	6	0	3	11	15	4	5	7	12	6	1	2	6	26	13	1	1	4	14	0	6	2	1	11	15	1	6	2	6	4	13	0									
		2.72%	3.65%	2.52%	1.81%	3.12%	2.11%	1.75%	2.86%	1.69%	2.52%	2.27%	3.75%	1.45%	3.59%	4.49%	2.60%	5.45%	4.69%	2.05%	3.70%	0.00%	3.20%	9.52%	7.79%	0.00%	1.75%	4.12%	3.65%	5.71%	6.85%	2.68%	1.38%	5.13%	1.89%	1.55%	1.86%	4.17%	2.36%	1.16%	0.98%	1.03%	5.02%	0.00%	1.27%	1.90%	0.65%	2.13%	8.98%	2.94%	1.60%	3.51%	2.82%	1.22%	8.55%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	309	5	13	8	8	7	2	12	7	6	1	6	7	7	0	7	3	5	8	0	2	4	1	0	0	0	0	1	1	0	6	9	2	0	47	4	7	2	0	1	4	4	71	3	1	1	8	4	1	6	0	0	2	2	3									
		1.64%	0.87%	1.64%	1.20%	1.25%	1.06%	0.27%	1.71%	1.69%	1.01%	0.32%	1.50%	0.78%	0.76%	0.00%	1.07%	0.82%	1.23%	1.26%	0.00%	4.35%	0.92%	1.59%	0.00%	0.00%	0.00%	0.00%	0.24%	1.43%	0.00%	2.30%	1.03%	1.71%	0.00%	36.43%	1.24%	1.12%	0.36%	0.00%	0.98%	1.03%	1.43%	58.68%	0.63%	0.95%	0.65%	1.55%	2.40%	2.94%	1.60%	0.00%	0.00%	0.61%	1.32%	3.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7661	207	287	215	218	252	274	209	158	178	124	138	553	372	100	299	154	181	270	9	26	192	27	29	37	108	90	177	22	34	127	400	40	9	0	150	224	200	29	39	195	142	0	189	39	65	239	66	17	174	32	99	141	65	40									
		40.70%	36.00%	36.19%	32.38%	34.01%	38.01%	36.93%	29.86%	38.26%	29.92%	40.13%	34.50%	61.51%	40.48%	56.18%	45.72%	41.96%	44.69%	42.52%	33.33%	56.52%	43.94%	42.86%	37.66%	62.71%	63.16%	33.71%	43.07%	31.43%	46.58%	48.66%	45.87%	34.19%	16.98%	0.00%	46.44%	35.96%	36.23%	33.72%	38.24%	50.26%	50.90%	0.00%	39.96%	37.14%	41.94%	46.23%	39.52%	50.00%	46.52%	56.14%	46.48%	43.12%	42.76%	43.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	96	5	4	8	2	1	2	5	2	6	0	1	1	4	0	4	2	3	4	0	0	0	0	0	0	0	1	3	1	0	2	5	0	1	1	2	5	3	1	1	2	3	0	1	0	2	0	1	0	1	0	1	3	2	0									
		0.51%	0.87%	0.50%	1.20%	0.31%	0.15%	0.27%	0.71%	0.48%	1.01%	0.00%	0.25%	0.11%	0.44%	0.00%	0.61%	0.54%	0.74%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.73%	1.43%	0.00%	0.77%	0.57%	0.00%	1.89%	0.78%	0.62%	0.80%	0.54%	1.16%	0.98%	0.52%	1.08%	0.00%	0.21%	0.00%	1.29%	0.00%	0.60%	0.00%	0.27%	0.00%	0.47%	0.92%	1.32%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	81	1	1	1	1	0	0	0	1	2	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	59	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0									
		0.43%	0.17%	0.13%	0.15%	0.16%	0.00%	0.00%	0.00%	0.24%	0.34%	0.00%	0.00%	0.00%	0.44%	0.00%	0.15%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	45.74%	0.00%	0.16%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6801	253	280	304	271	292	317	308	170	259	111	161	221	264	43	188	107	96	237	11	12	139	27	13	16	38	92	138	35	25	74	308	56	35	0	115	240	271	45	56	120	70	31	224	50	57	184	39	12	128	9	69	109	37	34									
		36.13%	44.00%	35.31%	45.78%	42.28%	44.04%	42.72%	44.00%	41.16%	43.53%	35.92%	40.25%	24.58%	28.73%	24.16%	28.75%	29.16%	23.70%	37.32%	40.74%	26.09%	31.81%	42.86%	16.88%	27.12%	22.22%	34.46%	33.58%	50.00%	34.25%	28.35%	35.32%	47.86%	66.04%	0.00%	35.60%	38.52%	49.09%	52.33%	54.90%	30.93%	25.09%	25.62%	47.36%	47.62%	36.77%	35.59%	23.35%	35.29%	34.22%	15.79%	32.39%	33.33%	24.34%	36.96%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	46	0	3	1	0	1	6	5	0	3	4	2	0	1	0	3	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	3	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	3	0	1	0	0	0									
		0.24%	0.00%	0.38%	0.15%	0.00%	0.15%	0.81%	0.71%	0.00%	0.50%	1.29%	0.50%	0.00%	0.11%	0.00%	0.46%	0.00%	0.00%	0.00%	3.70%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.37%	0.24%	1.43%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.31%	0.16%	0.00%	0.00%	0.00%	0.26%	0.00%	0.83%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.80%	0.00%	0.47%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	57	0	6	3	2	1	0	0	3	0	2	4	2	4	0	1	3	2	3	0	0	1	0	0	0	0	0	1	1	0	0	4	0	0	1	2	4	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0									
		0.30%	0.00%	0.76%	0.45%	0.31%	0.15%	0.00%	0.00%	0.73%	0.00%	0.65%	1.00%	0.22%	0.44%	0.00%	0.15%	0.82%	0.49%	0.47%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	1.43%	0.00%	0.00%	0.46%	0.00%	0.00%	0.78%	0.62%	0.64%	0.36%	0.00%	0.00%	0.26%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	22	0	0	1	0	2	1	0	1	0	1	0	0	1	0	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0									
