Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    Чебаркульская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515					
1	"Число избирателей, внесенных в списки избирателей"	22245	1087	476	301	400	1840	510	123	525	2079	248	211	237	271	227	272	181	542	141	177	675	250	107	616	2522	417	387	138	2083	179	445	271	460	217	202	234	1299	246	194	381	605	341	128					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19770	990	430	250	360	1700	440	110	470	1850	210	200	220	250	200	250	160	410	120	160	620	220	90	530	2230	380	340	120	1900	170	410	250	370	180	180	200	1180	230	160	350	500	260	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13386	638	290	165	285	995	326	65	366	1192	157	131	145	173	154	138	133	369	109	126	392	159	82	398	1557	204	232	98	1160	107	252	177	291	134	151	129	795	167	118	207	364	178	77					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1091	77	6	15	0	150	46	26	32	90	0	5	4	17	11	15	8	29	7	3	18	12	3	49	81	36	15	0	59	7	17	18	18	9	7	12	53	0	11	15	46	50	14					
6	Число погашенных избирательных бюллетеней	5293	275	134	70	75	555	68	19	72	568	53	64	71	60	35	97	19	12	4	31	210	49	5	83	592	140	93	22	681	56	141	55	61	37	22	59	332	63	31	128	90	32	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1091	77	6	15	0	150	46	26	32	90	0	5	4	17	11	15	8	29	7	3	18	12	3	49	81	36	15	0	59	7	17	18	18	9	7	12	53	0	11	15	46	50	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13385	638	290	165	285	995	326	65	366	1192	157	131	145	173	154	138	133	369	109	126	392	159	82	398	1556	204	232	98	1160	107	252	177	291	134	151	129	795	167	118	207	364	178	77					
9	Число недействительных избирательных бюллетеней	162	10	3	1	4	14	1	0	4	17	0	0	5	1	3	2	5	1	0	3	3	1	1	2	29	1	4	1	13	1	2	1	2	2	1	1	8	0	4	3	6	1	1					
10	Число действительных избирательных бюллетеней	14314	705	293	179	281	1131	371	91	394	1265	157	136	144	189	162	151	136	397	116	126	407	170	84	445	1608	239	243	97	1206	113	267	194	307	141	157	140	840	167	125	219	404	227	90					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	231	8	10	5	6	10	6	3	4	18	1	3	3	3	2	3	2	15	7	3	14	3	2	10	10	4	1	3	10	3	3	10	3	1	1	3	16	4	0	4	6	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	214	7	9	5	6	10	6	3	4	18	1	3	2	1	2	2	2	15	7	3	14	3	0	10	10	4	1	2	10	3	3	10	3	1	0	3	16	1	0	0	6	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	266	4	4	9	4	4	3	1	5	10	4	0	0	1	2	1	1	57	7	2	7	15	2	25	19	3	2	2	15	1	2	5	19	5	0	3	6	0	3	0	7	1	5					
14	Число погашенных неиспользованных открепительных удостоверений	17	1	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	4	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	0	1	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
18	1.Политическая партия «Аграрная партия России»	437	17	3	2	3	24	15	2	10	32	2	12	7	12	16	10	4	8	4	2	16	6	0	8	62	3	6	2	53	2	9	4	5	7	5	0	34	8	4	11	5	2	0					
		3.02%	2.38%	1.01%	1.11%	1.05%	2.10%	4.03%	2.20%	2.51%	2.50%	1.27%	8.82%	4.70%	6.32%	9.70%	6.54%	2.84%	2.01%	3.45%	1.55%	3.90%	3.51%	0.00%	1.79%	3.79%	1.25%	2.43%	2.04%	4.35%	1.75%	3.35%	2.05%	1.62%	4.90%	3.16%	0.00%	4.01%	4.79%	3.10%	4.95%	1.22%	0.88%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	54	0	0	0	0	2	0	1	2	8	0	1	0	1	0	2	1	4	0	0	0	0	0	5	9	0	0	0	4	0	1	1	1	1	0	0	4	0	0	1	3	2	0					
		0.37%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	1.10%	0.50%	0.62%	0.00%	0.74%	0.00%	0.53%	0.00%	1.31%	0.71%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.55%	0.00%	0.00%	0.00%	0.33%	0.00%	0.37%	0.51%	0.32%	0.70%	0.00%	0.00%	0.47%	0.00%	0.00%	0.45%	0.73%	0.88%	0.00%					
20	3.Политическая партия «Демократическая партия России»	18	1	1	0	0	3	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	1	0					
		0.12%	0.14%	0.34%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.08%	0.64%	0.74%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.22%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.35%	0.60%	0.00%	0.00%	0.00%	0.44%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1318	36	13	12	15	132	35	5	16	173	11	7	18	26	7	11	3	28	8	5	61	10	6	32	219	16	28	7	131	3	18	4	16	8	10	5	69	26	13	29	26	16	4					
		9.10%	5.03%	4.39%	6.67%	5.26%	11.53%	9.41%	5.49%	4.02%	13.49%	7.01%	5.15%	12.08%	13.68%	4.24%	7.19%	2.13%	7.04%	6.90%	3.88%	14.88%	5.85%	7.06%	7.16%	13.38%	6.67%	11.34%	7.14%	10.75%	2.63%	6.69%	2.05%	5.18%	5.59%	6.33%	3.55%	8.14%	15.57%	10.08%	13.06%	6.34%	7.02%	4.40%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	44	1	0	0	0	0	0	2	2	5	0	3	0	0	0	0	3	0	1	0	1	1	0	0	11	2	0	0	8	0	0	1	0	0	0	1	2	0	0	0	0	0	0					
