Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Кваркенская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549					
1	"Число избирателей, внесенных в списки избирателей"	16750	2020	1165	336	245	573	1641	946	351	838	148	55	703	118	81	515	213	44	495	135	667	271	229	694	681	121	409	193	201	200	210	519	153	144	47	549	82	586	96	76					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16096	1916	1102	310	213	563	1478	916	340	806	145	55	680	107	77	506	215	55	492	129	641	269	224	686	671	111	390	184	177	194	199	513	159	139	52	525	84	594	100	79					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9822	1088	653	180	143	376	683	498	186	503	89	42	398	66	51	320	100	25	333	84	393	167	168	435	428	90	271	135	113	156	133	383	119	106	43	241	57	419	77	70					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	438	42	98	3	5	18	56	23	29	0	0	0	24	0	0	8	0	0	6	0	38	11	0	2	22	0	14	0	4	0	4	10	8	2	0	11	0	0	0	0					
6	Число погашенных избирательных бюллетеней	5836	786	351	127	65	169	739	395	125	303	56	13	258	41	26	178	115	30	153	45	210	91	56	249	221	21	105	49	60	38	62	120	32	31	9	273	27	175	23	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	438	42	98	3	5	18	56	23	29	0	0	0	24	0	0	8	0	0	6	0	38	11	0	2	22	0	14	0	4	0	4	10	8	2	0	11	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9820	1088	653	180	143	376	683	498	186	503	89	42	398	66	51	320	100	25	333	84	393	167	168	435	428	90	270	135	113	156	133	382	119	106	43	241	57	419	77	70					
9	Число недействительных избирательных бюллетеней	110	11	7	1	1	7	6	10	1	5	0	0	3	0	0	7	2	0	2	1	2	1	2	11	4	2	1	0	2	3	0	4	5	2	0	3	0	2	2	0					
10	Число действительных избирательных бюллетеней	10148	1119	744	182	147	387	733	511	214	498	89	42	419	66	51	321	98	25	337	83	429	177	166	426	446	88	283	135	115	153	137	388	122	106	43	249	57	417	75	70					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	150	34	8	2	2	2	7	4	3	5	2	2	5	2	2	5	2	2	6	1	7	2	2	5	5	2	2	2	2	2	2	2	2	2	2	2	2	5	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	64	8	8	2	0	1	4	4	3	5	0	0	0	0	0	3	0	1	6	0	7	0	0	1	5	0	2	0	0	0	2	0	1	0	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	34	3	2	0	1	1	2	2	1	0	0	0	1	1	0	2	1	1	0	0	0	0	0	0	2	0	4	0	1	1	0	2	0	1	1	1	2	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	86	26	0	0	2	1	3	0	0	0	2	2	5	2	2	2	2	1	0	1	0	2	2	4	0	2	0	2	2	2	0	2	1	2	2	1	2	5	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
