Выборы Президента Российской Федерации																																																																								
																																																																								
Наименование Избирательной комиссии:    Россошанская																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465					
1	"Число избирателей, внесенных в список"	70411	2250	2145	2221	2089	2170	2122	2233	1976	1913	1918	2134	1903	1955	1955	1965	2202	2145	2136	1905	2152	2216	2077	2140	370	426	331	983	991	417	1045	611	355	475	126	154	840	685	367	860	178	153	299	1028	452	172	1702	163	313	154	136	1242	275	188	181	279	2027	1648	91	1010	131	357	235	539	268	232					
2	Число полученных избирательных бюллетеней	72500	2150	2250	2200	2150	2250	2200	2250	1950	1950	2000	2050	2000	2000	2100	2000	2300	2150	2150	1950	2200	2150	2100	2200	400	460	340	1000	1000	450	1100	650	410	520	170	170	850	720	390	900	180	180	350	1000	500	200	1750	185	360	175	155	1300	315	210	230	290	2050	1750	110	1050	160	400	280	550	290	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	40176	1058	1179	1156	1069	1135	1167	1347	1073	1083	1038	1178	1216	1110	1172	999	1042	1059	1074	1046	1171	1122	1129	1205	218	309	265	644	702	338	676	435	197	328	97	93	479	443	247	495	105	104	204	592	296	111	1050	95	199	90	100	767	188	125	109	177	1022	994	66	649	102	270	180	376	212	199					
5	"Число избирательных бюллетеней, выданных вне помещения"	6759	287	150	162	187	199	90	30	127	72	112	113	45	80	50	116	74	95	85	89	83	145	85	112	119	82	37	156	132	43	224	130	133	104	29	32	196	174	84	136	41	36	67	137	108	59	304	63	65	58	27	147	44	48	42	51	195	330	24	166	29	56	46	141	49	27					
6	Число погашенных избирательных бюллетеней	25565	805	921	882	894	916	943	873	750	795	850	759	739	810	878	885	1184	996	991	815	946	883	886	883	63	69	38	200	166	69	200	85	80	88	44	45	175	103	59	269	34	40	79	271	96	30	396	27	96	27	28	386	83	37	79	62	833	426	20	235	29	74	54	33	29	24					
7	Число избирательных бюллетеней в переносных ящиках	6759	287	150	162	187	199	90	30	127	72	112	113	45	80	50	116	74	95	85	89	83	145	85	112	119	82	37	156	132	43	224	130	133	104	29	32	196	174	84	136	41	36	67	137	108	59	304	63	65	58	27	147	44	48	42	51	195	330	24	166	29	56	46	141	49	27					
8	Число бюллетеней в стационарных ящиках для голосования	40168	1056	1179	1156	1069	1135	1167	1344	1072	1083	1038	1178	1216	1110	1172	999	1042	1059	1074	1046	1171	1122	1129	1205	218	309	265	644	702	338	676	435	197	328	95	93	479	443	247	495	105	104	204	592	296	111	1050	95	199	90	100	767	188	125	109	177	1022	994	66	649	102	270	180	376	212	199					
9	Число недействительных избирательных бюллетеней	321	12	2	10	4	8	5	6	9	7	7	6	7	4	1	5	11	0	9	10	8	19	17	11	0	2	4	10	8	1	3	4	2	4	0	0	0	2	1	7	2	3	2	11	4	2	7	0	4	0	1	16	0	1	1	3	12	13	1	1	0	2	0	9	0	0					
10	Число действительных избирательных бюллетеней	46606	1331	1327	1308	1252	1326	1252	1368	1190	1148	1143	1285	1254	1186	1221	1110	1105	1154	1150	1125	1246	1248	1197	1306	337	389	298	790	826	380	897	561	328	428	124	125	675	615	330	624	144	137	269	718	400	168	1347	158	260	148	126	898	232	172	150	225	1205	1311	89	814	131	324	226	508	261	226					
11	Число полученных открепительных  удостоверений	673	15	15	15	15	10	20	20	18	27	20	20	30	21	40	10	25	20	10	13	10	10	20	10	3	15	2	6	4	2	4	25	13	6	2	2	3	5	6	10	3	2	3	10	6	4	16	2	3	2	7	7	2	4	2	6	20	10	2	20	2	6	5	3	2	2					
12	Число выданных открепительных удостоверений	588	10	15	10	15	10	17	17	18	27	20	16	23	21	36	6	23	20	10	13	10	9	20	5	2	8	0	6	4	2	4	25	11	3	0	0	2	5	6	10	3	2	3	10	3	3	16	0	2	0	7	6	2	3	1	6	20	6	2	16	2	6	5	3	2	0					
