Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Цунтинская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7488	408	524	346	307	85	86	104	337	142	221	208	403	108	183	155	40	276	187	247	151	56	75	63	228	308	353	225	115	69	43	113	228	263	359	100	249	123									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7316	408	524	346	300	79	82	104	266	124	215	208	401	107	181	155	40	272	181	222	151	50	73	63	228	305	351	222	115	69	43	113	228	262	358	100	247	123									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5094	348	498	241	195	50	26	100	179	84	83	121	401	54	110	87	32	272	83	163	82	22	32	58	211	171	178	71	48	49	43	113	203	195	163	43	162	123									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	157	0	0	0	52	0	0	0	25	27	0	0	0	0	0	0	0	0	27	0	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	2065	60	26	105	53	29	56	4	62	13	132	87	0	53	71	68	8	0	71	59	69	28	41	5	4	134	160	151	67	20	0	0	25	67	195	57	85	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	157	0	0	0	52	0	0	0	25	27	0	0	0	0	0	0	0	0	27	0	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5089	348	498	241	195	50	26	100	179	84	83	121	401	54	109	87	32	272	83	163	82	22	32	58	211	171	178	71	48	49	43	113	199	195	163	43	162	123									
9	Число недействительных избирательных бюллетеней	48	0	4	0	1	3	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	2	0	0	0	1	15	2	0	0	0	0	0	1	2	5	0	0									
10	Число действительных избирательных бюллетеней	5198	348	494	241	246	47	26	100	204	111	83	121	401	54	109	76	32	272	109	163	82	20	32	58	224	170	176	69	48	49	43	113	199	194	161	38	162	123									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	69	4	6	4	4	1	1	1	4	1	1	3	3	1	1	1	1	1	3	3	1	1	1	1	1	1	3	2	1	1	1	1	1	1	3	2	2	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	159	60	0	0	52	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	0									
