Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Змеиногорская городская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №1882					
1	"Число избирателей, внесенных в списки избирателей"	9907	1273	1247	1207	1103	1205	1264	1058	1247	200	103					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8370	1016	1235	971	893	959	995	979	1023	199	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5327	652	627	580	637	667	664	619	650	144	87					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	365	44	40	52	47	60	35	30	44	1	12					
6	Число погашенных избирательных бюллетеней	2678	320	568	339	209	232	296	330	329	54	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	365	44	40	52	47	60	35	30	44	1	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5327	652	627	580	637	667	664	619	650	144	87					
9	Число недействительных избирательных бюллетеней	68	5	15	5	7	8	8	10	6	1	3					
10	Число действительных избирательных бюллетеней	5624	691	652	627	677	719	691	639	688	144	96					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	85	10	10	10	10	10	10	10	10	5	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	40	7	4	3	9	9	5	1	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	17	2	4	1	0	3	2	1	2	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	45	3	6	7	1	1	5	9	8	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	153	21	16	20	16	20	24	16	16	1	3					
		2.69%	3.02%	2.40%	3.16%	2.34%	2.75%	3.43%	2.47%	2.31%	0.69%	3.03%					
19	2.Всероссийская политическая партия «Гражданская Сила»	36	6	4	1	2	4	2	3	8	4	2					
		0.63%	0.86%	0.60%	0.16%	0.29%	0.55%	0.29%	0.46%	1.15%	2.76%	2.02%					
20	3.Политическая партия «Демократическая партия России»	6	3	1	0	1	0	0	0	0	0	1					
		0.11%	0.43%	0.15%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1143	156	120	101	153	133	133	136	162	37	12					
		20.08%	22.41%	17.99%	15.98%	22.37%	18.29%	19.03%	20.96%	23.34%	25.52%	12.12%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	24	4	1	4	2	1	5	1	6	0	0					
		0.42%	0.57%	0.15%	0.63%	0.29%	0.14%	0.72%	0.15%	0.86%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	7	0	0	3	1	1	1	0	1	0	0					
		0.12%	0.00%	0.00%	0.47%	0.15%	0.14%	0.14%	0.00%	0.14%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	800	101	142	119	90	84	79	79	63	21	22					
		14.05%	14.51%	21.29%	18.83%	13.16%	11.55%	11.30%	12.17%	9.08%	14.48%	22.22%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	529	45	42	53	85	109	51	50	63	18	13					
		9.29%	6.47%	6.30%	8.39%	12.43%	14.99%	7.30%	7.70%	9.08%	12.41%	13.13%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	22	3	2	2	4	3	3	2	2	1	0					
		0.39%	0.43%	0.30%	0.32%	0.58%	0.41%	0.43%	0.31%	0.29%	0.69%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2876	352	323	323	319	358	389	350	357	62	43					
		50.53%	50.57%	48.43%	51.11%	46.64%	49.24%	55.65%	53.93%	51.44%	42.76%	43.43%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	28	0	1	1	4	6	4	2	10	0	0					
		0.49%	0.00%	0.15%	0.16%	0.58%	0.83%	0.57%	0.31%	1.44%	0.00%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
