Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
"Наименование Избирательной комиссии:    г. Тула, Советская"																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068					
1	"Число избирателей, внесенных в списки избирателей"	62989	1193	182	1928	1615	1858	1921	1467	1855	2266	904	235	1659	1232	1955	1922	1573	1953	2830	2004	1968	1847	2098	1728	1744	1822	1844	1976	1911	1810	1909	1670	1531	1771	1787	1539	1580	1902					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	51000	900	200	1500	1300	1550	1600	1300	1550	1800	700	250	1400	1000	1550	1550	1250	1450	2300	1600	1600	1500	1700	1400	1400	1500	1500	1600	1550	1450	1550	1350	1250	1400	1400	1250	1300	1550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	34887	602	182	1115	874	1049	951	808	1017	1197	524	235	833	573	1130	1095	873	1172	1490	1189	1090	1043	1203	940	975	1056	977	1075	1073	935	1091	940	881	1024	946	776	946	1007					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1427	26	0	19	42	30	58	36	43	79	50	0	37	39	58	62	43	26	41	51	44	51	41	48	25	49	47	25	45	32	31	29	24	35	59	38	37	27					
6	Число погашенных избирательных бюллетеней	14686	272	18	366	384	471	591	456	490	524	126	15	530	388	362	393	334	252	769	360	466	406	456	412	400	395	476	500	432	483	428	381	345	341	395	436	317	516					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1427	26	0	19	42	30	58	36	43	79	50	0	37	39	58	62	43	26	41	51	44	51	41	48	25	49	47	25	45	32	31	29	24	35	59	38	37	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34867	602	182	1115	873	1049	949	808	1016	1195	524	235	833	573	1129	1095	873	1172	1490	1187	1090	1043	1203	938	975	1054	977	1075	1070	934	1091	940	881	1024	946	776	944	1006					
9	Число недействительных избирательных бюллетеней	407	6	3	9	13	18	12	21	5	19	9	2	9	3	17	16	4	14	11	15	16	18	12	6	15	9	15	10	9	4	21	9	5	20	8	4	10	10					
10	Число действительных избирательных бюллетеней	35887	622	179	1125	902	1061	995	823	1054	1255	565	233	861	609	1170	1141	912	1184	1520	1223	1118	1076	1232	980	985	1094	1009	1090	1106	962	1101	960	900	1039	997	810	971	1023					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1204	20	0	25	22	88	55	100	85	32	20	0	54	20	27	30	24	30	35	22	20	32	23	23	26	26	43	22	34	27	30	30	25	32	27	21	44	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1182	15	0	25	21	88	55	97	85	31	18	0	53	16	25	30	24	29	35	22	20	32	23	23	25	26	43	22	34	27	30	30	25	32	26	21	44	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	866	28	19	35	20	39	16	25	29	19	18	24	11	8	25	17	74	164	21	19	7	18	7	15	18	23	7	8	16	3	27	5	10	30	15	8	20	18					
14	Число погашенных неиспользованных открепительных удостоверений	22	5	0	0	1	0	0	3	0	1	2	0	1	4	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	2	1	2	2	1	2	2	0	1	3	1	2	1	2	1	3	1	0	1	4	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
18	1.Политическая партия «Аграрная партия России»	891	9	5	23	27	24	16	17	31	38	14	9	19	19	31	29	22	18	39	36	43	22	27	24	23	32	28	46	38	24	17	13	19	21	32	16	18	22					
		2.45%	1.43%	2.75%	2.03%	2.95%	2.22%	1.59%	2.01%	2.93%	2.98%	2.44%	3.83%	2.18%	3.10%	2.61%	2.51%	2.40%	1.50%	2.55%	2.91%	3.79%	2.01%	2.17%	2.43%	2.30%	2.90%	2.73%	4.18%	3.41%	2.48%	1.52%	1.34%	2.10%	1.98%	3.18%	1.97%	1.83%	2.13%					
19	2.Всероссийская политическая партия «Гражданская Сила»	713	10	2	32	20	33	19	12	26	21	9	2	14	13	26	21	6	20	31	25	14	27	29	17	18	29	25	23	13	10	27	26	24	23	26	13	7	20					
		1.96%	1.59%	1.10%	2.82%	2.19%	3.06%	1.89%	1.42%	2.46%	1.65%	1.57%	0.85%	1.61%	2.12%	2.19%	1.82%	0.66%	1.67%	2.02%	2.02%	1.23%	2.47%	2.33%	1.72%	1.80%	2.63%	2.44%	2.09%	1.17%	1.04%	2.41%	2.68%	2.65%	2.17%	2.59%	1.60%	0.71%	1.94%					
20	3.Политическая партия «Демократическая партия России»	93	1	0	6	4	9	2	2	5	2	1	1	1	0	1	4	1	3	5	4	1	1	2	1	2	1	2	2	4	2	3	4	2	4	4	0	4	2					
		0.26%	0.16%	0.00%	0.53%	0.44%	0.83%	0.20%	0.24%	0.47%	0.16%	0.17%	0.43%	0.11%	0.00%	0.08%	0.35%	0.11%	0.25%	0.33%	0.32%	0.09%	0.09%	0.16%	0.10%	0.20%	0.09%	0.20%	0.18%	0.36%	0.21%	0.27%	0.41%	0.22%	0.38%	0.40%	0.00%	0.41%	0.19%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5446	84	29	148	131	108	164	111	129	202	85	28	119	70	193	218	104	178	216	218	178	175	166	175	176	177	153	163	182	138	151	172	149	204	153	147	118	134					
		15.01%	13.38%	15.93%	13.05%	14.32%	10.01%	16.29%	13.15%	12.18%	15.86%	14.81%	11.91%	13.68%	11.44%	16.26%	18.84%	11.35%	14.86%	14.11%	17.61%	15.70%	15.99%	13.34%	17.75%	17.60%	16.05%	14.94%	14.82%	16.32%	14.29%	13.46%	17.75%	16.46%	19.26%	15.22%	18.06%	12.03%	12.97%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	590	13	2	15	10	15	12	6	29	16	13	0	15	16	19	30	9	14	22	41	16	26	14	14	19	27	22	9	10	8	19	20	11	16	29	13	10	10					
		1.63%	2.07%	1.10%	1.32%	1.09%	1.39%	1.19%	0.71%	2.74%	1.26%	2.26%	0.00%	1.72%	2.61%	1.60%	2.59%	0.98%	1.17%	1.44%	3.31%	1.41%	2.38%	1.13%	1.42%	1.90%	2.45%	2.15%	0.82%	0.90%	0.83%	1.69%	2.06%	1.22%	1.51%	2.89%	1.60%	1.02%	0.97%					
23	6.Политическая партия «Партия социальной справедливости»	126	1	0	4	1	6	6	8	5	6	1	0	3	4	3	3	5	8	4	7	3	3	3	2	1	4	1	2	5	0	4	1	1	6	3	3	5	4					
		0.35%	0.16%	0.00%	0.35%	0.11%	0.56%	0.60%	0.95%	0.47%	0.47%	0.17%	0.00%	0.34%	0.65%	0.25%	0.26%	0.55%	0.67%	0.26%	0.57%	0.26%	0.27%	0.24%	0.20%	0.10%	0.36%	0.10%	0.18%	0.45%	0.00%	0.36%	0.10%	0.11%	0.57%	0.30%	0.37%	0.51%	0.39%					
24	7.Политическая партия «Либерально-демократическая партия России»	2568	53	11	84	67	94	91	90	76	76	38	15	64	59	77	65	64	88	98	87	56	82	72	63	69	81	77	82	67	75	73	72	42	71	82	56	83	68					
		7.08%	8.44%	6.04%	7.41%	7.32%	8.71%	9.04%	10.66%	7.18%	5.97%	6.62%	6.38%	7.36%	9.64%	6.49%	5.62%	6.99%	7.35%	6.40%	7.03%	4.94%	7.50%	5.79%	6.39%	6.90%	7.34%	7.52%	7.45%	6.01%	7.76%	6.51%	7.43%	4.64%	6.70%	8.16%	6.88%	8.46%	6.58%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4032	63	13	131	89	100	98	94	131	168	59	23	88	61	187	137	116	120	159	115	123	108	126	115	110	117	113	132	117	114	116	121	126	114	116	99	85	128					
