Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Батайская городская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №2631									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	91691	1585	1902	1723	1530	1605	1764	1812	1719	1541	1667	2015	1490	1795	1610	1396	2251	2480	1810	1773	1589	1754	1668	2035	1227	1753	1610	1996	1822	1570	1966	2077	1684	2206	1629	1710	1075	1183	2244	1903	1982	1553	2290	2062	2148	1171	2508	1952	1767	1672	1894	1358	1165									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	83035	1448	1732	1547	1389	1447	1591	1644	1563	1401	1505	1827	1348	1612	1453	1267	2049	2264	1647	1607	1445	1592	1482	1869	1128	1441	1453	1813	1672	1430	1787	1881	1527	1993	1484	1561	959	1071	2031	1717	1793	1409	2083	1857	1957	1058	2274	1762	1605	1550	1721	1241	1048									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	47296	1198	1323	447	1136	431	1118	1055	1143	765	876	1362	1071	994	373	428	1459	588	1085	860	942	889	770	841	456	556	824	1225	1046	946	1177	1103	1269	1406	999	425	616	786	1414	900	597	825	1410	821	869	522	1269	1162	630	857	698	519	815									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	987	61	37	64	37	16	25	15	11	40	2	8	18	20	47	1	5	5	19	4	60	22	1	7	3	153	24	3	4	3	4	22	12	34	5	10	18	2	11	11	8	8	8	5	8	21	9	9	11	4	9	28	15									
6	Число погашенных избирательных бюллетеней	34752	189	372	1036	216	1000	448	574	409	596	627	457	259	598	1033	838	585	1671	543	743	443	681	711	1021	669	732	605	585	622	481	606	756	246	553	480	1126	325	283	606	806	1188	576	665	1031	1080	515	996	591	964	689	1014	694	218									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	987	61	37	64	37	16	25	15	11	40	2	8	18	20	47	1	5	5	19	4	60	22	1	7	3	153	24	3	4	3	4	22	12	34	5	10	18	2	11	11	8	8	8	5	8	21	9	9	11	4	9	28	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	47286	1198	1323	447	1136	430	1118	1055	1143	765	876	1362	1071	994	373	427	1459	588	1085	853	942	889	769	841	456	556	824	1225	1046	946	1177	1103	1269	1406	999	425	616	786	1414	900	597	825	1410	821	869	522	1269	1162	630	857	698	519	815									
9	Число недействительных избирательных бюллетеней	639	15	18	0	16	6	12	9	8	40	2	45	48	4	14	9	0	4	3	7	6	7	18	34	9	13	14	13	7	0	6	8	0	20	3	16	0	8	14	3	14	0	2	10	7	12	0	3	58	33	0	15	26									
10	Число действительных избирательных бюллетеней	47634	1244	1342	511	1157	440	1131	1061	1146	765	876	1325	1041	1010	406	419	1464	589	1101	850	996	904	752	814	450	696	834	1215	1043	949	1175	1117	1281	1420	1001	419	634	780	1411	908	591	833	1416	816	870	531	1278	1168	583	828	707	532	804									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2130	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	90	40	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	825	22	22	8	13	11	10	14	11	18	6	17	9	11	12	16	29	26	16	9	9	20	20	28	24	21	14	25	24	15	15	20	8	27	16	13	8	11	11	3	9	3	23	8	25	6	22	26	11	55	10	12	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	354	4	2	21	1	13	5	4	4	6	5	4	1	15	5	7	3	1	2	3	2	10	41	5	4	39	13	2	3	3	4	8	0	1	2	0	18	10	6	9	4	3	9	5	10	7	7	6	4	2	5	0	6									
14	Число погашенных неиспользованных открепительных удостоверений	1305	18	18	32	27	29	30	26	29	22	34	23	31	29	28	24	11	14	24	31	31	20	20	12	16	19	26	15	16	25	25	20	32	13	24	27	32	29	29	37	31	37	17	32	15	34	18	14	29	35	30	28	37									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	0	0	1	0	2	0	0	1	1	0	2	0	1	0	1	1	3	1	1	0	1	0	0	0	3	1	0	1	0	1	2	1	1	0	2	1	0	1	1	2	2	1	0	1	0	1	4	0	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	586	11	7	8	7	7	7	9	15	9	8	17	11	6	16	19	10	6	7	13	7	20	22	20	17	17	7	11	14	2	10	9	3	27	4	13	4	9	20	11	16	10	5	28	10	2	2	6	24	26	2	8	7									
		1.21%	0.87%	0.51%	1.57%	0.60%	1.57%	0.61%	0.84%	1.30%	1.12%	0.91%	1.24%	1.01%	0.59%	3.81%	4.44%	0.68%	1.01%	0.63%	1.52%	0.70%	2.20%	2.86%	2.36%	3.70%	2.40%	0.83%	0.90%	1.33%	0.21%	0.85%	0.80%	0.23%	1.88%	0.40%	2.99%	0.63%	1.14%	1.40%	1.21%	2.64%	1.20%	0.35%	3.39%	1.14%	0.37%	0.16%	0.51%	3.74%	3.02%	0.28%	1.46%	0.84%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	799	27	15	9	21	12	12	0	7	17	15	11	14	3	21	15	50	8	6	14	14	21	19	22	13	31	8	28	18	6	22	13	36	20	15	12	8	10	22	18	20	3	14	23	5	10	6	10	16	26	2	12	19									
		1.66%	2.14%	1.10%	1.76%	1.79%	2.69%	1.05%	0.00%	0.61%	2.11%	1.71%	0.80%	1.29%	0.30%	5.00%	3.50%	3.42%	1.35%	0.54%	1.63%	1.40%	2.31%	2.47%	2.59%	2.83%	4.37%	0.94%	2.28%	1.71%	0.63%	1.86%	1.16%	2.81%	1.39%	1.49%	2.76%	1.26%	1.27%	1.54%	1.98%	3.31%	0.36%	0.99%	2.78%	0.57%	1.84%	0.47%	0.85%	2.50%	3.02%	0.28%	2.19%	2.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	507	18	9	6	5	2	5	12	7	5	32	4	6	5	16	6	7	7	9	3	2	17	20	26	13	12	8	11	14	1	11	4	8	9	7	8	6	7	8	3	12	5	43	9	13	4	4	9	15	16	0	10	8									
		1.05%	1.43%	0.66%	1.17%	0.43%	0.45%	0.44%	1.12%	0.61%	0.62%	3.64%	0.29%	0.55%	0.49%	3.81%	1.40%	0.48%	1.18%	0.82%	0.35%	0.20%	1.87%	2.60%	3.07%	2.83%	1.69%	0.94%	0.90%	1.33%	0.11%	0.93%	0.36%	0.62%	0.63%	0.70%	1.84%	0.95%	0.89%	0.56%	0.33%	1.98%	0.60%	3.03%	1.09%	1.48%	0.74%	0.31%	0.77%	2.34%	1.86%	0.00%	1.83%	0.96%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32207	965	1141	288	891	259	907	823	929	567	672	1049	821	719	158	169	980	354	715	432	641	605	319	428	218	339	536	864	648	671	844	863	969	994	582	150	449	622	1107	549	247	542	878	481	530	389	894	878	227	412	567	305	620									
		66.72%	76.65%	83.90%	56.36%	75.96%	58.07%	79.35%	76.92%	80.50%	70.43%	76.54%	76.57%	75.39%	70.91%	37.62%	39.49%	66.94%	59.70%	64.76%	50.41%	63.97%	66.41%	41.43%	50.47%	47.49%	47.81%	63.21%	70.36%	61.71%	70.71%	71.46%	76.71%	75.64%	69.03%	57.97%	34.48%	70.82%	78.93%	77.68%	60.26%	40.83%	65.07%	61.92%	58.23%	60.43%	71.64%	69.95%	74.98%	35.41%	47.85%	80.20%	55.76%	74.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	225	6	0	2	4	3	3	4	3	3	1	5	7	1	4	6	4	2	5	2	5	8	10	3	1	6	5	3	8	1	4	5	2	6	4	5	4	1	4	8	5	23	1	2	0	1	2	4	5	14	3	2	5									
		0.47%	0.48%	0.00%	0.39%	0.34%	0.67%	0.26%	0.37%	0.26%	0.37%	0.11%	0.36%	0.64%	0.10%	0.95%	1.40%	0.27%	0.34%	0.45%	0.23%	0.50%	0.88%	1.30%	0.35%	0.22%	0.85%	0.59%	0.24%	0.76%	0.11%	0.34%	0.44%	0.16%	0.42%	0.40%	1.15%	0.63%	0.13%	0.28%	0.88%	0.83%	2.76%	0.07%	0.24%	0.00%	0.18%	0.16%	0.34%	0.78%	1.63%	0.42%	0.37%	0.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	123	1	0	0	1	3	2	0	1	0	1	0	1	1	1	1	7	7	6	4	1	1	4	2	1	0	7	5	0	0	1	3	9	3	1	3	5	1	2	9	2	5	2	0	3	0	3	3	1	3	1	0	5									
