Выборы Президента Российской Федерации																																																																					
																																																																					
"Наименование Избирательной комиссии:    Челябинск, Советская"																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092					
1	"Число избирателей, внесенных в список"	102788	1523	1536	1003	989	787	1069	1411	1289	2338	1496	2624	1565	2518	1836	1725	1333	2143	2094	2010	1245	1975	1712	1950	1091	1673	2000	2329	2302	1284	1418	1425	1247	1654	731	988	582	874	258	1623	1052	1769	2558	1686	2461	1016	2247	2227	1917	2352	1540	1652	2281	802	2746	456	2527	2001	2346	2295	2014	2473	720					
2	Число полученных избирательных бюллетеней	92302	1400	1400	900	900	700	1000	1300	1150	2002	1200	2400	1400	2200	1650	1550	1200	1900	1850	1800	1100	1800	1550	1750	1000	1500	1800	2050	2100	1150	1300	1350	1150	1500	700	900	500	800	250	1450	950	1550	2300	1500	2200	900	2050	2000	1750	2050	1400	1500	2050	700	2450	400	2350	1800	2100	2050	1800	2200	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	60520	919	973	644	631	521	697	900	829	1572	1007	2011	968	1550	1235	1093	849	1414	1243	1225	792	1169	1135	1191	688	1069	1096	1417	1416	675	823	833	687	802	302	526	303	473	149	745	495	858	1582	1093	1324	600	1271	1224	1016	1284	895	898	1173	378	1515	101	1485	1136	1384	1408	1103	1363	362					
5	"Число избирательных бюллетеней, выданных вне помещения"	4038	169	52	31	28	47	29	55	27	45	44	80	32	38	64	29	38	37	47	87	58	36	51	62	36	35	324	57	55	47	97	127	37	56	101	39	75	31	23	98	37	99	51	44	104	28	47	45	120	82	25	45	49	34	135	173	122	45	55	59	78	89	48					
6	Число погашенных избирательных бюллетеней	27746	312	375	225	241	132	274	345	294	385	149	309	400	612	351	428	313	449	560	488	250	595	366	497	276	396	380	576	629	428	380	390	426	642	297	335	122	296	78	607	418	593	667	363	772	272	732	731	614	684	480	557	828	288	800	126	743	619	661	583	619	748	240					
7	Число избирательных бюллетеней в переносных ящиках	4038	169	52	31	28	47	29	55	27	45	44	80	32	38	64	29	38	37	47	87	58	36	51	62	36	35	324	57	55	47	97	127	37	56	101	39	75	31	23	98	37	99	51	44	104	28	47	45	120	82	25	45	49	34	135	173	122	45	55	59	78	89	48					
8	Число бюллетеней в стационарных ящиках для голосования	60390	919	973	644	631	521	697	900	829	1569	1007	2011	968	1549	1234	1093	849	1414	1243	1225	792	1169	1135	1191	688	1069	1096	1417	1416	675	822	833	685	802	302	526	303	473	149	745	495	858	1579	1093	1208	600	1271	1224	1016	1284	895	898	1173	378	1515	101	1485	1136	1381	1408	1103	1363	362					
9	Число недействительных избирательных бюллетеней	481	4	1	3	1	3	3	5	1	14	8	11	5	15	11	8	12	14	6	5	6	8	13	6	4	11	9	4	7	6	2	6	7	7	2	4	4	2	2	8	14	12	16	4	8	7	7	11	8	11	7	6	3	8	0	1	27	13	14	15	26	15	0					
10	Число действительных избирательных бюллетеней	63947	1084	1024	672	658	565	723	950	855	1600	1043	2080	995	1572	1287	1114	875	1437	1284	1307	844	1197	1173	1247	720	1093	1411	1470	1464	716	917	954	715	851	401	561	374	502	170	835	518	945	1614	1133	1304	621	1311	1258	1128	1355	913	937	1219	404	1650	273	1580	1168	1422	1452	1155	1437	410					
