Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Зверевская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236					
1	"Число избирателей, внесенных в списки"	22191	970	2102	1805	1151	2327	2100	2594	1577	2226	1407	2312	1620					
2	"Число бюллетеней, полученных участковыми комиссиями"	22137	971	2101	1803	1132	2330	2112	2589	1605	2145	1430	2333	1586					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9603	375	826	803	512	1180	917	953	786	1332	552	869	498					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	802	17	53	43	33	35	90	42	27	160	76	24	202					
6	Число погашенных бюллетеней	11732	579	1222	957	587	1115	1105	1594	792	653	802	1440	886					
7	Число бюллетеней в переносных ящиках для голосования	802	17	53	43	33	35	90	42	27	160	76	24	202					
8	Число бюллетеней в стационарных ящиках для голосования	9600	375	824	803	512	1180	917	953	786	1332	552	868	498					
9	Число недействительных бюллетеней	111	3	39	3	5	2	22	5	1	2	10	13	6					
10	Число действительных бюллетеней	10291	389	838	843	540	1213	985	990	812	1490	618	879	694					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	140	10	10	10	10	20	10	10	20	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	0	4	3	4	16	8	7	11	10	4	8	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	1	3	0	0	4	1	4	1	3	5	1	8					
14	Число погашенных открепительных удостоверений	59	10	6	7	6	4	2	3	9	0	6	2	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	107	11	2	10	3	6	9	12	7	17	8	15	7					
		1.02%	2.80%	0.22%	1.18%	0.55%	0.49%	0.89%	1.20%	0.86%	1.13%	1.27%	1.68%	1.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	89	4	7	6	7	3	11	13	7	8	5	11	7					
		0.85%	1.02%	0.79%	0.70%	1.28%	0.24%	1.09%	1.30%	0.86%	0.53%	0.79%	1.23%	1.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	527	30	36	48	23	5	73	89	29	58	33	70	33					
		5.06%	7.65%	4.10%	5.67%	4.22%	0.41%	7.24%	8.94%	3.56%	3.88%	5.25%	7.84%	4.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	231	7	21	14	17	15	25	29	27	29	11	27	9					
		2.22%	1.78%	2.39%	1.65%	3.11%	1.23%	2.48%	2.91%	3.32%	1.94%	1.75%	3.02%	1.28%					
22	"5. ""За Русь Святую"""	34	3	5	7	1	4	2	2	1	4	0	2	3					
		0.32%	0.76%	0.57%	0.82%	0.18%	0.32%	0.19%	0.20%	0.12%	0.26%	0.0%	0.22%	0.42%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	0	2	1	1	2	4	0	0	1	2	4	3					
		0.19%	0.0%	0.22%	0.11%	0.18%	0.16%	0.39%	0.0%	0.0%	0.06%	0.31%	0.44%	0.42%					
24	"7. ""Новый курс - Автомобильная Россия"""	44	2	3	8	5	2	4	2	5	7	1	4	1					
		0.42%	0.51%	0.34%	0.94%	0.91%	0.16%	0.39%	0.20%	0.61%	0.46%	0.15%	0.44%	0.14%					
25	"8. ""Народно-республиканская партия России"""	9	2	0	1	0	0	0	2	0	1	1	1	1					
		0.08%	0.51%	0.0%	0.11%	0.0%	0.0%	0.0%	0.20%	0.0%	0.06%	0.15%	0.11%	0.14%					
26	"9. ""Российская экологическая партия ""Зеленые"""	26	0	5	5	1	6	1	1	0	1	3	2	1					
		0.24%	0.0%	0.57%	0.59%	0.18%	0.49%	0.09%	0.10%	0.0%	0.06%	0.47%	0.22%	0.14%					
27	"10. ""Аграрная партия России"""	168	5	25	20	2	17	13	21	10	15	14	10	16					
		1.61%	1.27%	2.85%	2.36%	0.36%	1.39%	1.29%	2.11%	1.23%	1.00%	2.22%	1.12%	2.28%					
28	"11. ""Истинные патриоты России"""	9	2	1	0	1	0	1	0	0	1	1	2	0					
		0.08%	0.51%	0.11%	0.0%	0.18%	0.0%	0.09%	0.0%	0.0%	0.06%	0.15%	0.22%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	76	3	6	5	7	2	8	9	9	14	2	9	2					
		0.73%	0.76%	0.68%	0.59%	1.28%	0.16%	0.79%	0.90%	1.10%	0.93%	0.31%	1.00%	0.28%					
30	"13. ""Демократическая партия России"""	8	0	1	0	0	2	1	1	1	0	0	1	1					
		0.07%	0.0%	0.11%	0.0%	0.0%	0.16%	0.09%	0.10%	0.12%	0.0%	0.0%	0.11%	0.14%					
31	"14. ""Великая Россия - Евразийский Союз"""	15	1	2	1	2	1	3	0	0	2	2	1	0					
		0.14%	0.25%	0.22%	0.11%	0.36%	0.08%	0.29%	0.0%	0.0%	0.13%	0.31%	0.11%	0.0%					
32	"15. ""Партия СЛОН"""	10	1	0	0	1	1	1	1	2	0	2	0	1					
		0.09%	0.25%	0.0%	0.0%	0.18%	0.08%	0.09%	0.10%	0.24%	0.0%	0.31%	0.0%	0.14%					
33	"16. ""Родина"" (народно-патриотический союз)"""	875	15	72	56	44	62	106	140	71	89	93	97	30					
		8.41%	3.82%	8.20%	6.61%	8.07%	5.10%	10.52%	14.07%	8.73%	5.96%	14.80%	10.87%	4.28%					
