Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Пустошкинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7682	1981	2035	459	135	183	421	266	356	140	169	335	137	177	318	245	96	229									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7292	1904	1939	436	128	169	400	260	330	129	159	313	128	160	312	219	90	216									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2682	764	756	139	47	63	127	90	106	32	45	87	48	65	90	110	39	74									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	781	28	47	54	41	32	88	72	64	35	35	56	30	42	41	34	31	51									
6	Число погашенных избирательных бюллетеней	3829	1112	1136	243	40	74	185	98	160	62	79	170	50	53	181	75	20	91									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	781	28	47	54	41	32	88	72	64	35	35	56	30	42	41	34	31	51									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2681	764	755	139	47	63	127	90	106	32	45	87	48	65	90	110	39	74									
9	Число недействительных избирательных бюллетеней	63	13	13	3	1	6	2	1	9	3	0	1	2	1	3	3	0	2									
10	Число действительных избирательных бюллетеней	3399	779	789	190	87	89	213	161	161	64	80	142	76	106	128	141	70	123									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	176	35	35	10	4	4	10	9	10	4	5	10	5	5	15	7	3	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	67	23	11	1	4	0	2	9	3	0	0	0	2	0	11	1	0	0									
