Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																													
																																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																													
																																																																																																													
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187					
1	"Число избирателей, внесенных в списки"	155208	2185	1257	1463	1598	1284	572	1481	2618	1494	761	2365	1687	1438	2020	2414	2150	1308	974	1578	1871	1385	2047	1678	1599	983	1736	1007	1486	1797	500	1640	1378	1891	940	850	1828	771	1650	712	1358	2032	1653	1881	1416	1735	1800	2212	1799	2514	2337	1114	501	960	1109	1533	1221	1409	2062	936	1506	960	1644	1375	1781	1270	1616	2040	1419	1303	1600	1662	2655	1800	920	1241	1202	1090	1089	1075	2130	1453	1218	2684	1228	1754	2036	1988	1457	1418	1372	1479	1964	1150	1903	1452	926	1049	2396	527	1677	1690	1031					
2	"Число бюллетеней, полученных участковыми комиссиями"	145800	2000	1000	1500	1500	1200	500	1100	2500	1500	700	2400	1600	1200	2500	2400	2000	1300	1200	1500	1900	1400	1500	1500	1600	1000	1700	800	1400	1600	1000	1700	1400	1800	900	1000	1600	900	1500	600	2400	2000	1400	1500	1500	1600	1800	2000	1500	1500	2300	1000	500	1000	1000	1600	1000	1400	1900	800	1500	900	1500	1400	1500	1000	1500	1900	1000	1300	1500	1500	2500	1500	700	1200	900	1000	900	800	2000	1000	1200	2500	1200	1500	2000	2000	1300	1000	1200	1500	2000	900	2000	1500	1000	1000	2000	1000	1600	1500	800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	74682	1018	581	583	623	542	297	738	1186	783	468	1052	695	606	1000	857	1050	609	543	706	907	713	1081	737	931	474	675	593	1215	800	0	878	644	916	449	196	813	418	903	368	1334	1097	850	765	753	800	906	956	781	528	1331	746	311	609	843	784	477	655	884	489	806	410	860	716	797	658	758	998	804	991	750	720	1280	788	543	643	579	387	434	461	783	630	533	1299	661	866	924	944	752	868	653	581	930	502	960	662	468	495	870	522	611	818	420					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	5401	32	220	52	55	78	90	18	14	16	5	100	51	39	9	14	41	26	10	21	22	17	34	17	26	44	73	24	25	61	500	30	109	30	46	387	63	60	45	79	24	16	8	130	34	100	83	24	116	620	7	19	16	0	27	41	15	70	52	21	30	13	32	33	37	22	37	36	22	38	31	16	14	53	27	27	32	39	46	12	6	7	113	47	25	15	17	48	43	3	33	17	16	57	52	47	22	70	94	5	35	20	6					
6	Число погашенных бюллетеней	65717	950	199	865	822	580	113	344	1300	701	227	1248	854	555	1491	1529	909	665	647	773	971	670	385	746	643	482	952	183	160	739	500	792	647	854	405	417	724	422	552	153	1042	887	542	605	713	700	811	1020	603	352	962	235	173	391	130	775	508	675	964	290	664	477	608	651	666	320	705	866	174	271	719	764	1206	659	130	530	289	574	420	327	1211	363	554	1154	514	619	1059	1008	505	129	514	902	1054	341	988	791	510	435	1036	473	954	662	374					
7	Число бюллетеней в переносных ящиках для голосования	5319	32	220	52	55	78	90	18	14	16	5	100	51	39	9	14	41	26	10	21	22	17	34	17	26	44	73	24	21	61	500	30	109	30	46	387	63	60	45	79	24	16	8	130	34	61	83	24	92	605	7	19	16	0	27	41	15	70	52	21	30	13	32	33	37	22	37	36	22	38	31	16	14	53	27	27	32	39	46	12	6	7	113	47	25	15	17	48	43	3	33	17	16	57	52	47	22	70	94	5	35	20	6					
8	Число бюллетеней в стационарных ящиках для голосования	74041	1005	581	583	623	541	297	738	1186	783	468	1052	695	606	1000	857	1050	609	543	706	907	713	1081	737	814	473	675	588	1213	739	0	878	644	913	449	196	813	418	903	364	1334	1097	850	765	753	725	906	956	682	528	1331	676	311	609	843	784	468	654	863	489	806	410	860	683	797	658	758	973	804	991	750	713	1219	788	543	643	579	387	434	461	776	630	526	1299	661	863	924	944	750	868	653	581	930	502	960	662	468	495	856	522	611	818	420					
9	Число недействительных бюллетеней	1740	40	5	13	46	0	15	0	0	21	14	51	11	0	0	11	12	21	0	21	0	23	1	9	0	31	14	4	121	21	3	0	17	12	12	36	32	12	0	13	8	0	21	46	6	86	32	58	0	0	0	13	0	6	2	20	31	14	24	25	69	0	64	2	0	0	14	9	40	67	16	11	26	6	0	0	23	14	6	28	0	17	0	0	4	52	0	17	11	0	23	14	26	7	19	44	32	0	0	0	36	9	0					
10	Число действительных бюллетеней	77620	997	796	622	632	619	372	756	1200	778	459	1101	735	645	1009	860	1079	614	553	706	929	707	1114	745	840	486	734	608	1113	779	497	908	736	931	483	547	844	466	948	430	1350	1113	837	849	781	700	957	922	774	1133	1338	682	327	603	868	805	452	710	891	485	767	423	828	714	834	680	781	1000	786	962	765	718	1207	835	570	670	588	412	474	445	782	620	639	1346	682	826	941	975	782	871	663	584	920	552	993	665	458	565	950	527	610	829	426					
