Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Кяхтинская ТИК																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415					
1	"Число избирателей, внесенных в списки избирателей"	28609	571	233	185	150	127	266	987	91	65	497	146	153	260	104	95	396	271	614	317	176	294	361	131	772	81	128	118	130	313	145	567	645	27	247	137	195	1379	1707	1352	1299	1520	1119	1280	1163	1138	1266	1047	1658	2119	418	149					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27576	586	247	183	148	122	259	990	94	71	483	139	151	266	120	115	395	283	622	326	186	307	374	125	838	86	130	126	128	341	157	585	654	26	253	144	186	1400	1700	1200	1100	1200	1000	1100	1000	1000	1100	1000	2000	2000	380	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17539	401	158	125	98	84	174	667	63	50	324	101	104	179	73	64	251	194	346	174	87	153	222	90	442	52	106	77	86	215	92	290	431	24	178	101	147	765	1042	768	738	811	570	652	659	613	573	584	1252	1653	313	123					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1199	25	25	9	24	2	26	109	8	11	45	17	9	33	15	6	18	0	34	10	14	21	29	7	26	7	0	3	4	18	0	49	30	0	22	5	7	26	40	42	42	50	25	44	118	11	39	17	11	18	41	7					
6	Число погашенных избирательных бюллетеней	8838	160	64	49	26	36	59	214	23	10	114	21	38	54	32	45	126	89	242	142	85	133	123	28	370	27	24	46	38	108	65	246	193	2	53	38	32	609	618	390	320	339	405	404	223	376	488	399	737	329	26	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1199	25	25	9	24	2	26	109	8	11	45	17	9	33	15	6	18	0	34	10	14	21	29	7	26	7	0	3	4	18	0	49	30	0	22	5	7	26	40	42	42	50	25	44	118	11	39	17	11	18	41	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17527	401	158	125	98	84	174	667	63	50	324	101	104	179	73	64	251	194	346	174	87	153	222	90	441	52	106	77	86	215	92	290	431	24	178	101	147	765	1037	767	738	811	570	651	657	613	573	582	1252	1653	313	123					
9	Число недействительных избирательных бюллетеней	619	14	6	9	11	5	34	15	1	0	15	12	5	6	7	3	18	5	18	9	6	7	3	7	17	0	0	7	3	6	6	9	29	0	7	6	11	26	34	18	18	14	12	19	28	12	17	30	23	35	5	11					
10	Число действительных избирательных бюллетеней	18107	412	177	125	111	81	166	761	70	61	354	106	108	206	81	67	251	189	362	175	95	167	248	90	450	59	106	73	87	227	86	330	432	24	193	100	143	765	1043	791	762	847	583	676	747	612	595	569	1240	1636	349	119					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	976	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	21	15	15	15	15	15	15	15	15	5	15	15	15	15	15	15	15	38	38	38	38	38	38	38	38	38	38	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	434	14	12	0	1	0	4	15	1	3	1	0	1	4	14	12	9	8	8	8	2	2	15	0	21	0	0	6	1	15	4	10	9	5	9	7	5	4	15	11	7	18	10	12	34	12	5	8	38	32	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	255	0	2	2	5	2	1	1	0	0	1	1	1	0	2	0	7	2	3	1	1	2	1	0	6	0	8	3	3	2	1	3	5	6	2	3	5	3	6	12	5	20	23	14	6	8	4	4	11	28	4	25					
14	Число погашенных неиспользованных открепительных удостоверений	542	1	3	15	14	15	11	0	14	12	14	15	14	11	1	3	6	7	7	7	13	13	0	15	0	15	15	9	14	0	11	5	6	0	6	8	10	11	0	4	8	20	28	26	4	26	33	30	0	6	36	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	4	0	0	0	0	1	2	0	0	2	0	0	1	0	1	0	2	3	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	1.Политическая партия «Аграрная партия России»	272	8	4	1	1	0	3	22	3	2	12	3	6	2	2	0	7	7	12	5	2	4	13	4	15	0	0	1	1	1	0	1	6	0	5	0	0	14	12	9	5	10	7	6	10	8	4	7	12	8	5	2					
		1.45%	1.88%	2.19%	0.75%	0.82%	0.00%	1.50%	2.84%	4.23%	3.28%	3.25%	2.54%	5.31%	0.94%	2.27%	0.00%	2.60%	3.61%	3.16%	2.72%	1.98%	2.30%	5.18%	4.12%	3.21%	0.00%	0.00%	1.25%	1.11%	0.43%	0.00%	0.29%	1.30%	0.00%	2.50%	0.00%	0.00%	1.77%	1.11%	1.11%	0.64%	1.16%	1.18%	0.86%	1.29%	1.28%	0.65%	1.17%	0.95%	0.48%	1.41%	1.54%					
19	2.Всероссийская политическая партия «Гражданская Сила»	44	3	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	2	2	3	0	2	0	4	1	0	1	4	8	0	0					
		0.23%	0.70%	0.00%	0.00%	0.82%	1.16%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.99%	0.57%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.19%	0.25%	0.38%	0.00%	0.34%	0.00%	0.52%	0.16%	0.00%	0.17%	0.32%	0.48%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	13	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0					
		0.07%	0.00%	0.55%	0.00%	0.00%	1.16%	0.50%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.50%	0.00%	0.00%	0.13%	0.09%	0.00%	0.00%	0.12%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1477	59	8	14	16	15	22	58	7	4	21	8	9	19	13	1	33	30	29	27	16	21	12	12	55	19	16	7	2	11	16	25	26	3	30	6	16	73	94	41	46	97	47	57	67	47	72	51	33	56	3	7					
		7.89%	13.85%	4.37%	10.45%	13.11%	17.44%	11.00%	7.47%	9.86%	6.56%	5.69%	6.78%	7.96%	8.96%	14.77%	1.43%	12.27%	15.46%	7.63%	14.67%	15.84%	12.07%	4.78%	12.37%	11.78%	32.20%	15.09%	8.75%	2.22%	4.72%	17.39%	7.37%	5.64%	12.50%	15.00%	5.66%	10.39%	9.23%	8.73%	5.07%	5.90%	11.27%	7.90%	8.20%	8.65%	7.53%	11.76%	8.51%	2.61%	3.35%	0.85%	5.38%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	30	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	1	4	2	3	0	2	2	0	1					
		0.16%	0.23%	0.00%	0.00%	0.82%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.12%	0.00%	0.23%	0.00%	0.14%	0.52%	0.32%	0.49%	0.00%	0.16%	0.12%	0.00%	0.77%					
23	6.Политическая партия «Партия социальной справедливости»	29	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	1	4	1	0	1	0	1	1	3	0	0	1					
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.88%	0.47%	0.00%	0.00%	0.37%	0.00%	0.00%	0.54%	0.00%	0.00%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.09%	0.12%	0.13%	0.46%	0.17%	0.00%	0.13%	0.00%	0.16%	0.17%	0.24%	0.00%	0.00%	0.77%					
