Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Агрызская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510					
1	"Число избирателей, внесенных в списки"	25761	982	1013	1031	1077	1032	1096	957	958	1017	940	927	989	1017	471	141	134	237	682	601	482	191	185	189	400	545	259	569	141	498	127	326	376	245	192	222	432	289	165	336	1220	290	454	707	472	281	249	162	455					
2	"Число бюллетеней, полученных участковыми комиссиями"	25508	967	1008	1015	1042	1000	1080	927	963	1008	920	993	908	980	472	137	138	236	663	591	488	193	191	185	396	550	257	572	142	506	143	326	377	243	178	220	428	288	164	348	1177	286	456	714	478	283	252	163	456					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18779	725	645	646	654	632	655	563	528	544	500	485	579	577	385	119	129	190	643	473	419	173	172	147	364	523	250	531	135	473	118	235	285	188	153	173	410	198	134	275	948	241	381	701	414	256	237	149	424					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1473	48	37	56	20	40	26	49	65	38	20	68	73	93	15	10	5	46	10	32	35	18	8	26	23	8	7	35	0	22	9	53	25	41	19	29	6	65	5	32	109	14	13	0	57	20	7	11	25					
6	Число погашенных бюллетеней	5256	194	326	313	368	328	399	315	370	426	400	440	256	310	72	8	4	0	10	86	34	2	11	12	9	19	0	6	7	11	16	38	67	14	6	18	12	25	25	41	120	31	62	13	7	7	8	3	7					
7	Число бюллетеней в переносных ящиках для голосования	1473	48	37	56	20	40	26	49	65	38	20	68	73	93	15	10	5	46	10	32	35	18	8	26	23	8	7	35	0	22	9	53	25	41	19	29	6	65	5	32	109	14	13	0	57	20	7	11	25					
8	Число бюллетеней в стационарных ящиках для голосования	18777	725	645	646	654	632	655	563	528	544	500	484	579	577	385	119	129	190	643	473	419	173	172	147	364	523	250	531	135	473	118	235	285	188	153	173	410	198	134	275	947	241	381	701	414	256	237	149	424					
9	Число недействительных бюллетеней	571	13	11	11	20	18	18	14	21	18	10	8	25	9	44	3	6	1	34	11	2	15	2	7	0	42	11	13	1	71	9	6	13	0	6	2	24	1	4	1	5	1	15	2	1	9	0	0	13					
10	Число действительных бюллетеней	19679	760	671	691	654	654	663	598	572	564	510	544	627	661	356	126	128	235	619	494	452	176	178	166	387	489	246	553	134	424	118	282	297	229	166	200	392	262	135	306	1051	254	379	699	470	267	244	160	436					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	20	20	20	20	20	20	20	20	20	20	20	20	20	8	3	3	5	12	12	8	5	5	5	7	10	5	10	2	13	5	7	7	5	4	4	8	5	4	12	10	5	8	12	8	5	5	3	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	188	9	18	6	6	9	7	8	11	6	2	7	11	4	4	0	0	0	0	5	8	1	4	0	3	5	0	3	0	13	3	0	1	0	0	0	0	3	0	10	6	0	1	3	8	1	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	211	0	4	2	1	6	2	2	21	3	2	1	5	3	1	3	2	4	5	9	2	3	1	3	10	2	3	7	1	7	2	4	3	2	16	4	3	0	3	1	37	3	2	0	6	1	4	3	2					
14	Число погашенных открепительных удостоверений	312	11	2	14	14	11	13	12	9	14	18	13	9	16	4	3	3	5	12	7	0	4	1	5	4	5	5	7	2	0	2	7	6	5	4	4	8	2	4	2	4	5	7	9	0	4	5	2	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	"1. ""ЕДИНЕНИЕ"""	287	5	10	11	12	5	4	14	13	3	10	10	10	20	1	2	2	0	6	5	14	0	6	6	8	5	4	9	1	0	7	6	3	0	2	10	1	3	2	4	8	2	7	24	4	0	2	6	0					
		1.41%	0.64%	1.46%	1.56%	1.78%	0.74%	0.58%	2.28%	2.19%	0.51%	1.92%	1.81%	1.53%	2.98%	0.25%	1.55%	1.49%	0.0%	0.91%	0.99%	3.08%	0.0%	3.33%	3.46%	2.06%	0.94%	1.55%	1.59%	0.74%	0.0%	5.51%	2.08%	0.96%	0.0%	1.16%	4.95%	0.24%	1.14%	1.43%	1.30%	0.75%	0.78%	1.77%	3.42%	0.84%	0.0%	0.81%	3.75%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	102	5	5	9	5	5	8	4	4	4	7	6	7	7	1	0	0	0	4	2	3	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	8	1	0	0	0	0	0	0	1					
