Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Невская № 5																																																																																										
																																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																										
																																																																																										
		Сумма	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК  1219					
1	"Число избирателей, внесенных в списки"	192255	1798	1784	2388	2303	3085	2638	2343	2003	2121	2496	2166	2153	2396	2379	2264	2329	2158	2242	2183	2412	2007	2439	2134	2326	2193	2189	2166	2007	1966	1926	1907	1922	2151	2585	2595	2661	2935	2101	2448	2298	3070	2551	2571	2352	2828	2219	2144	2117	1922	2442	2496	2525	2905	2473	2653	2342	2541	2632	920	2315	2617	2365	2328	2193	2784	2850	2401	2194	1992	3274	3031	2988	2921	2718	2536	3106	2989	2554	2959	1904	724	20	192					
2	"Число бюллетеней, полученных участковыми комиссиями"	182000	1600	1700	2200	2200	2800	2500	2200	1900	2000	2400	2000	2000	2200	2200	2200	2200	2000	2100	2000	2200	2000	2300	2000	2200	2000	2000	2000	2000	1800	1800	1800	1800	2000	2500	2500	2500	2800	2000	2300	2100	2800	2400	2400	2200	2600	2100	2000	2000	1850	2300	2300	2400	2700	2300	2500	2200	2400	2500	2400	2200	2500	2200	2200	2000	2600	2600	2200	2000	1900	3000	2800	2800	2700	2500	2400	2900	2800	2500	2700	1800	700	400	250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	78423	828	736	1062	983	983	1072	1040	841	796	857	888	826	887	953	1062	1029	877	836	923	1041	897	1039	947	988	902	929	728	792	878	796	785	898	881	859	909	1100	1100	774	948	1035	1282	1077	1001	1015	1152	776	876	837	769	966	1014	1039	1219	949	1123	946	993	1046	903	914	1031	999	904	810	1200	1103	1024	750	686	1206	1259	1139	1096	1274	1092	1341	1263	1011	1295	763	363	20	192					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1652	7	18	32	27	31	32	19	25	21	22	23	24	12	28	21	20	29	32	32	17	28	30	33	25	26	22	26	20	26	21	7	13	14	13	18	23	24	19	17	15	24	20	29	35	9	13	20	19	19	22	15	20	17	9	19	25	46	29	17	10	21	21	9	21	22	16	19	9	9	16	26	39	19	7	12	18	27	8	3	4	17	0	0					
6	Число погашенных бюллетеней	101925	765	946	1106	1190	1786	1396	1141	1034	1183	1521	1089	1150	1301	1219	1117	1151	1094	1232	1045	1142	1075	1231	1020	1187	1072	1049	1246	1188	896	983	1008	889	1105	1628	1573	1377	1676	1207	1335	1050	1494	1303	1370	1150	1439	1311	1104	1144	1062	1312	1271	1341	1464	1342	1358	1229	1361	1425	1480	1276	1448	1180	1287	1169	1378	1481	1157	1241	1205	1778	1515	1622	1585	1219	1296	1541	1510	1481	1402	1033	320	380	58					
7	Число бюллетеней в переносных ящиках для голосования	1652	7	18	32	27	31	32	19	25	21	22	23	24	12	28	21	20	29	32	32	17	28	30	33	25	26	22	26	20	26	21	7	13	14	13	18	23	24	19	17	15	24	20	29	35	9	13	20	19	19	22	15	20	17	9	19	25	46	29	17	10	21	21	9	21	22	16	19	9	9	16	26	39	19	7	12	18	27	8	3	4	17	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	78309	826	736	1060	983	983	1072	1041	841	794	856	879	826	886	953	1060	1028	874	836	923	1041	897	1037	946	988	902	920	728	792	878	796	785	897	879	859	909	1104	1100	774	935	1035	1282	1074	997	1015	1152	776	876	836	769	966	1010	1039	1219	949	1123	945	993	1046	903	914	1031	999	904	809	1200	1099	1008	749	685	1200	1259	1137	1095	1274	1090	1338	1263	1011	1294	763	346	20	192					
9	Число недействительных бюллетеней	526	3	6	7	5	8	10	10	7	2	5	9	6	5	3	10	9	8	8	8	8	7	6	4	8	6	7	4	7	8	7	5	9	4	5	3	6	6	3	8	7	8	4	8	6	9	7	2	3	3	3	8	2	10	0	7	3	4	7	8	7	9	10	7	13	7	6	4	1	5	3	10	9	3	3	2	5	10	2	5	5	41	0	0					
10	Число действительных бюллетеней	79435	830	748	1085	1005	1006	1094	1050	859	813	873	893	844	893	978	1071	1039	895	860	947	1050	918	1061	975	1005	922	935	750	805	896	810	787	901	889	867	924	1121	1118	790	944	1043	1298	1090	1018	1044	1152	782	894	852	785	985	1017	1057	1226	958	1135	967	1035	1068	912	917	1043	1010	906	817	1215	1109	1023	757	689	1213	1275	1167	1111	1278	1100	1351	1280	1017	1292	762	322	20	192					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	4985	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	56	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	189	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	784	5	4	13	11	5	6	6	2	6	2	7	3	7	5	10	12	11	8	8	8	10	8	11	8	7	9	12	12	5	8	9	14	3	7	11	11	8	4	11	7	15	10	4	10	9	7	9	8	10	6	11	12	5	1	11	9	13	15	10	5	6	16	7	8	8	10	5	4	4	10	17	5	7	12	13	13	13	7	13	10	102	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	543	2	5	13	8	1	4	10	2	8	5	12	4	9	5	4	12	5	3	7	4	2	13	5	4	3	3	5	7	5	5	2	8	5	4	9	12	5	0	12	10	2	6	3	6	6	7	5	2	12	5	5	7	11	5	6	12	11	7	3	6	7	9	7	11	8	4	10	3	5	8	7	7	4	12	9	14	6	4	10	3	6	20	0					
14	Число погашенных открепительных удостоверений	4201	55	56	47	49	55	54	54	58	54	58	53	57	53	55	50	48	49	52	52	52	50	52	49	52	53	51	48	48	55	52	51	46	57	53	49	49	52	56	49	53	45	50	56	50	51	53	51	52	50	54	49	44	55	59	49	51	47	45	50	55	54	44	53	52	52	50	55	56	56	50	43	55	53	48	47	47	47	53	47	50	87	0	0					
15	Число открепительных удостоверений выданных ТИК	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																										
18	"1. ""ЕДИНЕНИЕ"""	567	8	4	5	8	10	8	9	5	7	2	9	6	10	5	8	3	6	7	4	6	6	9	5	8	3	10	7	4	6	4	3	5	4	7	9	8	5	8	12	9	10	4	8	13	8	5	6	1	2	8	10	10	8	3	10	6	5	10	6	3	7	8	6	9	11	10	5	1	5	4	8	9	6	11	6	6	17	2	8	7	19	0	4					
		0.70%	0.96%	0.53%	0.45%	0.79%	0.98%	0.72%	0.84%	0.57%	0.85%	0.22%	0.99%	0.70%	1.11%	0.50%	0.74%	0.28%	0.66%	0.80%	0.41%	0.56%	0.64%	0.84%	0.51%	0.78%	0.32%	1.06%	0.92%	0.49%	0.66%	0.48%	0.37%	0.54%	0.44%	0.80%	0.97%	0.70%	0.44%	1.00%	1.26%	0.85%	0.76%	0.36%	0.77%	1.23%	0.68%	0.63%	0.66%	0.11%	0.25%	0.80%	0.97%	0.94%	0.64%	0.31%	0.87%	0.61%	0.48%	0.93%	0.65%	0.32%	0.66%	0.78%	0.65%	1.08%	0.90%	0.89%	0.48%	0.13%	0.72%	0.32%	0.62%	0.76%	0.53%	0.85%	0.54%	0.44%	1.31%	0.19%	0.61%	0.91%	5.23%	0.0%	2.08%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	6866	79	57	74	86	89	83	87	57	52	65	63	79	63	78	71	66	71	60	86	103	62	104	82	67	70	81	52	63	70	58	48	72	57	55	81	112	91	65	78	78	104	122	97	109	108	65	60	75	58	81	75	102	117	74	96	74	94	91	55	70	72	80	77	77	125	79	116	73	106	146	118	151	107	143	136	153	123	131	103	97	10	1	0					
		8.58%	9.48%	7.55%	6.77%	8.51%	8.77%	7.51%	8.20%	6.58%	6.38%	7.40%	6.98%	9.29%	7.01%	7.95%	6.56%	6.29%	7.86%	6.91%	9.00%	9.73%	6.70%	9.74%	8.37%	6.61%	7.54%	8.59%	6.89%	7.75%	7.74%	7.09%	6.06%	7.91%	6.38%	6.30%	8.73%	9.93%	8.09%	8.19%	8.19%	7.42%	7.96%	11.15%	9.45%	10.38%	9.30%	8.23%	6.69%	8.77%	7.36%	8.19%	7.31%	9.63%	9.46%	7.72%	8.40%	7.62%	9.04%	8.46%	5.97%	7.57%	6.84%	7.84%	8.43%	9.27%	10.22%	7.08%	11.29%	9.63%	15.27%	12.00%	9.18%	12.84%	9.60%	11.16%	12.34%	11.28%	9.53%	12.85%	7.94%	12.64%	2.75%	5.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2905	20	33	50	38	43	50	25	26	33	36	28	35	39	39	41	62	58	46	36	29	55	44	51	40	45	40	26	43	43	19	32	24	44	28	35	42	45	27	41	51	42	31	32	32	33	23	30	25	28	40	60	48	31	36	24	47	43	37	42	44	41	42	30	22	42	42	34	18	19	26	34	37	26	27	29	30	43	22	25	23	22	1	0					
