Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Котовская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25982	2256	1083	1902	2471	1646	1295	2721	2388	2373	2644	2620	2583									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23330	2029	975	1712	2236	1447	1084	2476	2174	2128	2365	2361	2343									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12366	1335	635	647	1177	890	686	930	1108	969	1433	1441	1115									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	988	32	21	13	102	68	106	135	106	104	48	121	132									
6	Число погашенных избирательных бюллетеней	9976	662	319	1052	957	489	292	1411	960	1055	884	799	1096									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	988	32	21	13	102	68	106	135	106	104	48	121	132									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12245	1335	635	647	1177	890	686	930	1108	969	1433	1320	1115									
9	Число недействительных избирательных бюллетеней	100	4	5	0	3	8	9	38	11	0	6	13	3									
10	Число действительных избирательных бюллетеней	13133	1363	651	660	1276	950	783	1027	1203	1073	1475	1428	1244									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	30	30	30	30	30	30	30	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	183	10	4	10	19	9	9	30	22	19	16	17	18									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	124	13	7	10	5	9	8	5	10	15	24	7	11									
14	Число погашенных неиспользованных открепительных удостоверений	177	20	26	20	11	21	21	0	8	11	14	13	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	1	1	2	1	2	3	1	7	2	2	5	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	224	6	8	25	38	4	5	18	45	23	13	11	28									
		1.69%	0.44%	1.22%	3.79%	2.97%	0.42%	0.63%	1.69%	3.71%	2.14%	0.88%	0.76%	2.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	44	5	2	2	3	3	6	2	0	1	1	15	4									
		0.33%	0.37%	0.30%	0.30%	0.23%	0.31%	0.76%	0.19%	0.00%	0.09%	0.07%	1.04%	0.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	36	10	1	5	0	1	2	3	0	1	2	2	9									
		0.27%	0.73%	0.15%	0.76%	0.00%	0.10%	0.25%	0.28%	0.00%	0.09%	0.14%	0.14%	0.72%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10837	1159	529	534	1074	780	637	819	994	902	1205	1171	1033									
		81.89%	84.78%	80.64%	80.91%	83.97%	81.42%	80.43%	76.90%	81.88%	84.06%	81.36%	81.26%	82.84%									
