Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Петродворцовая №8																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398					
1	"Число избирателей, внесенных в список"	60955	1253	2679	1266	2275	1677	1707	1733	2455	503	2208	2147	2042	1965	2057	2142	2507	2187	2215	2262	2511	2130	2661	2897	2698	2519	1975	2850	2724	599	111					
2	Число полученных избирательных бюллетеней	59550	1200	2600	1200	2300	1700	1700	1600	2400	500	2300	2100	2000	1700	2000	2100	2500	2200	2200	2300	2400	2000	2600	2900	2700	2500	2000	2900	2000	700	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36615	584	1663	638	1253	1073	971	926	1475	196	1396	1365	1207	1164	1228	1305	1653	1420	1352	1856	1444	1501	1391	1617	1571	1470	1153	1629	1486	529	99					
5	"Число избирательных бюллетеней, выданных вне помещения"	1200	64	32	48	51	78	18	28	43	255	31	41	31	20	33	30	31	19	25	6	33	10	40	34	29	27	27	20	29	55	12					
6	Число погашенных избирательных бюллетеней	21735	552	905	514	996	549	711	646	882	49	873	694	762	516	739	765	816	761	823	438	923	489	1169	1249	1100	1003	820	1251	485	116	139					
7	Число избирательных бюллетеней в переносных ящиках	1199	64	32	48	51	77	18	28	43	255	31	41	31	20	33	30	31	19	25	6	33	10	40	34	29	27	27	20	29	55	12					
8	Число бюллетеней в стационарных ящиках для голосования	36426	582	1661	638	1252	981	971	926	1472	196	1396	1342	1204	1162	1225	1296	1652	1418	1351	1853	1441	1490	1389	1612	1566	1466	1148	1625	1483	529	99					
9	Число недействительных избирательных бюллетеней	724	4	44	6	20	13	14	14	10	1	5	14	19	12	22	17	11	16	29	134	109	78	9	15	11	13	7	28	25	24	0					
10	Число действительных избирательных бюллетеней	36901	642	1649	680	1283	1045	975	940	1505	450	1422	1369	1216	1170	1236	1309	1672	1421	1347	1725	1365	1422	1420	1631	1584	1480	1168	1617	1487	560	111					
