Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Нижнесалдинская городская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138					
1	"Число избирателей, внесенных в списки избирателей"	14712	2907	2883	2793	1992	1225	436	1852	289	200	135					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14560	2900	2900	2900	2000	1150	400	1800	250	150	110					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8379	1791	1764	1624	1041	674	205	969	182	93	36					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	447	32	78	39	139	32	18	37	0	20	52					
6	Число погашенных избирательных бюллетеней	5734	1077	1058	1237	820	444	177	794	68	37	22					
7	Число избирательных бюллетеней в переносных ящиках для голосования	447	32	78	39	139	32	18	37	0	20	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8378	1791	1763	1624	1041	674	205	969	182	93	36					
9	Число недействительных избирательных бюллетеней	86	30	17	7	8	7	1	12	2	2	0					
10	Число действительных избирательных бюллетеней	8739	1793	1824	1656	1172	699	222	994	180	111	88					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	190	30	30	30	20	20	10	20	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	74	13	17	24	12	2	2	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	88	6	4	6	12	34	5	12	2	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	116	17	13	6	8	18	8	16	10	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	3	2	2	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	153	23	37	31	21	11	2	16	7	5	0					
		1.73%	1.26%	2.01%	1.86%	1.78%	1.56%	0.90%	1.59%	3.85%	4.42%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	261	94	55	61	24	8	3	12	1	0	3					
		2.96%	5.16%	2.99%	3.67%	2.03%	1.13%	1.35%	1.19%	0.55%	0.00%	3.41%					
20	3.Политическая партия «Демократическая партия России»	7	1	1	3	1	0	0	0	0	0	1					
		0.08%	0.05%	0.05%	0.18%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	793	170	195	150	133	60	20	50	9	4	2					
		8.99%	9.33%	10.59%	9.02%	11.27%	8.50%	8.97%	4.97%	4.95%	3.54%	2.27%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	75	15	23	8	3	13	0	13	0	0	0					
		0.85%	0.82%	1.25%	0.48%	0.25%	1.84%	0.00%	1.29%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	25	5	9	4	2	1	0	2	1	0	1					
		0.28%	0.27%	0.49%	0.24%	0.17%	0.14%	0.00%	0.20%	0.55%	0.00%	1.14%					
24	7.Политическая партия «Либерально-демократическая партия России»	984	185	193	168	136	75	39	132	36	3	17					
		11.15%	10.15%	10.48%	10.10%	11.53%	10.62%	17.49%	13.12%	19.78%	2.65%	19.32%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	791	152	153	145	101	68	25	121	12	5	9					
		8.96%	8.34%	8.31%	8.72%	8.56%	9.63%	11.21%	12.03%	6.59%	4.42%	10.23%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	46	11	11	4	7	4	0	7	1	1	0					
		0.52%	0.60%	0.60%	0.24%	0.59%	0.57%	0.00%	0.70%	0.55%	0.88%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5515	1121	1131	1058	733	445	133	635	112	92	55					
		62.49%	61.49%	61.43%	63.62%	62.12%	63.03%	59.64%	63.12%	61.54%	81.42%	62.50%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	89	16	16	24	11	14	0	6	1	1	0					
		1.01%	0.88%	0.87%	1.44%	0.93%	1.98%	0.00%	0.60%	0.55%	0.88%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
