Выборы Президента Российской Федерации																																																																										
																																																																										
"Наименование Избирательной комиссии:    Уфа, Орджоникидзевская"																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336					
1	"Число избирателей, внесенных в список"	133226	2063	2254	2619	2205	2020	489	2478	2308	2151	2135	2230	355	2663	2081	2113	2126	2292	2021	2449	2471	2141	2743	1947	2700	2406	3006	2457	1919	2069	2382	1813	417	2340	162	350	693	836	1681	2002	2507	2101	1620	496	1775	1980	2145	1815	2110	2190	1570	2095	2063	2729	1837	2151	1916	2519	2051	2065	2156	2096	2563	1835	2235	2502	2412	2105					
2	Число полученных избирательных бюллетеней	128560	2200	2200	2500	2100	2000	500	2400	2300	2100	2000	2200	350	2600	2000	2200	2400	2200	2300	2300	2400	2100	2600	1800	2500	2200	2600	2400	1800	2300	2300	1800	500	2300	200	350	700	860	1600	1900	2500	2100	1500	500	2000	1900	1900	1700	2000	2100	1700	1900	2000	2400	1800	2000	1700	2200	1900	1900	2000	2000	2400	1600	2100	2400	2200	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	111113	1779	1874	1894	1858	1618	391	2136	1943	2042	1813	1781	320	2189	1852	1702	1901	1377	1999	1998	1322	2017	2541	1575	2463	1978	2489	1999	1541	1646	2143	1573	372	1987	156	350	611	768	1494	1674	1888	1807	1422	359	1727	1639	1747	1552	1840	1863	1297	1803	1665	2228	1557	1800	1134	2075	1625	1635	1975	1755	2237	1582	2002	2077	1937	1719					
5	"Число избирательных бюллетеней, выданных вне помещения"	3072	36	41	38	126	35	98	22	42	30	50	223	27	56	27	105	23	15	22	96	20	23	2	24	23	67	7	28	52	50	47	50	45	50	6	0	31	43	12	27	30	40	25	137	44	24	56	52	102	44	27	20	48	81	42	100	37	30	68	34	25	144	15	15	59	17	22	15					
6	Число погашенных избирательных бюллетеней	14375	385	285	568	116	347	11	242	315	28	137	196	3	355	121	393	476	808	279	206	1058	60	57	201	14	155	104	373	207	604	110	177	83	263	38	0	58	49	94	199	582	253	53	4	229	237	97	96	58	193	376	77	287	91	201	100	529	95	207	231	0	101	148	3	39	306	241	366					
7	Число избирательных бюллетеней в переносных ящиках	3072	36	41	38	126	35	98	22	42	30	50	223	27	56	27	105	23	15	22	96	20	23	2	24	23	67	7	28	52	50	47	50	45	50	6	0	31	43	12	27	30	40	25	137	44	24	56	52	102	44	27	20	48	81	42	100	37	30	68	34	25	144	15	15	59	17	22	15					
8	Число бюллетеней в стационарных ящиках для голосования	111049	1770	1874	1894	1856	1583	391	2136	1943	2042	1812	1779	320	2189	1852	1702	1901	1376	1999	1998	1320	2015	2541	1575	2461	1978	2489	1997	1541	1646	2143	1573	372	1987	156	350	611	768	1494	1674	1888	1807	1419	359	1727	1639	1747	1552	1840	1863	1297	1803	1665	2228	1555	1800	1134	2075	1624	1635	1975	1755	2237	1582	2002	2077	1937	1719					
9	Число недействительных избирательных бюллетеней	890	12	114	10	3	3	0	5	7	3	0	3	4	4	4	8	9	6	7	9	10	15	16	11	17	112	6	3	11	7	9	11	0	10	0	53	2	0	18	64	7	8	13	0	29	3	7	18	4	2	1	38	13	15	8	10	11	5	5	25	6	12	14	9	3	11	17	10					
10	Число действительных избирательных бюллетеней	113231	1794	1801	1922	1979	1615	489	2153	1978	2069	1862	1999	343	2241	1875	1799	1915	1385	2014	2085	1330	2023	2527	1588	2467	1933	2490	2022	1582	1689	2181	1612	417	2027	162	297	640	811	1488	1637	1911	1839	1431	496	1742	1660	1796	1586	1938	1905	1323	1785	1700	2294	1589	1890	1160	2100	1687	1644	1994	1887	2238	1588	2058	2083	1942	1724					
