Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Бондарская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9925	1502	1548	670	391	477	581	252	99	321	281	230	264	316	210	452	312	453	462	356	507	241									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9930	1500	1550	680	390	480	580	250	100	320	280	230	270	310	210	450	310	450	460	360	510	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4390	700	637	261	215	172	243	118	29	213	184	105	82	149	115	129	182	162	184	190	193	127									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	746	40	39	17	12	35	82	36	23	45	17	42	39	58	35	49	10	29	45	31	34	28									
6	Число погашенных избирательных бюллетеней	4794	760	874	402	163	273	255	96	48	62	79	83	149	103	60	272	118	259	231	139	283	85									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	746	40	39	17	12	35	82	36	23	45	17	42	39	58	35	49	10	29	45	31	34	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4380	690	637	261	215	172	243	118	29	213	184	105	82	149	115	129	182	162	184	190	193	127									
9	Число недействительных избирательных бюллетеней	136	11	26	3	3	16	17	1	2	7	3	0	1	6	5	4	2	0	15	4	10	0									
10	Число действительных избирательных бюллетеней	4990	719	650	275	224	191	308	153	50	251	198	147	120	201	145	174	190	191	214	217	217	155									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	126	15	10	8	5	5	5	5	5	5	5	5	8	5	5	5	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	67	12	5	7	3	4	3	0	1	2	1	1	7	1	2	3	1	4	2	4	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	27	2	2	1	1	3	0	2	0	0	1	1	3	2	2	3	0	0	2	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	59	3	5	1	2	1	2	5	4	3	4	4	1	4	3	2	4	1	3	1	1	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	8	8	7	3	2	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	431	86	62	22	13	29	71	6	6	12	4	2	13	19	5	11	7	15	23	16	8	1									
		8.41%	11.78%	9.17%	7.91%	5.73%	14.01%	21.85%	3.90%	11.54%	4.65%	1.99%	1.36%	10.74%	9.18%	3.33%	6.18%	3.65%	7.85%	10.04%	7.24%	3.52%	0.65%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	128	19	10	14	6	7	3	4	2	9	8	3	1	3	4	8	0	3	6	7	11	0									
		2.50%	2.60%	1.48%	5.04%	2.64%	3.38%	0.92%	2.60%	3.85%	3.49%	3.98%	2.04%	0.83%	1.45%	2.67%	4.49%	0.00%	1.57%	2.62%	3.17%	4.85%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	36	3	8	3	0	6	0	2	0	1	1	0	2	1	0	2	0	2	1	1	1	2									
		0.70%	0.41%	1.18%	1.08%	0.00%	2.90%	0.00%	1.30%	0.00%	0.39%	0.50%	0.00%	1.65%	0.48%	0.00%	1.12%	0.00%	1.05%	0.44%	0.45%	0.44%	1.29%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3102	368	387	143	155	91	218	105	31	182	144	119	66	140	113	96	151	119	121	136	105	112									
		60.52%	50.41%	57.25%	51.44%	68.28%	43.96%	67.08%	68.18%	59.62%	70.54%	71.64%	80.95%	54.55%	67.63%	75.33%	53.93%	78.65%	62.30%	52.84%	61.54%	46.26%	72.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	1	4	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1									
		0.25%	0.14%	0.59%	0.36%	0.44%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.83%	0.48%	0.00%	0.56%	0.00%	0.00%	0.44%	0.00%	0.00%	0.65%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0									
		0.14%	0.14%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.65%	0.00%	0.67%	0.00%	0.00%	0.00%	0.44%	0.45%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	428	97	59	33	15	20	5	8	4	13	22	5	13	10	8	12	12	14	20	27	21	10									
		8.35%	13.29%	8.73%	11.87%	6.61%	9.66%	1.54%	5.19%	7.69%	5.04%	10.95%	3.40%	10.74%	4.83%	5.33%	6.74%	6.25%	7.33%	8.73%	12.22%	9.25%	6.45%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3									
		0.20%	0.68%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.94%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	0	1									
		0.16%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	1.05%	0.44%	0.45%	0.00%	0.65%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	4	2	2	0	0	2	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0									
		0.29%	0.55%	0.30%	0.72%	0.00%	0.00%	0.62%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	1.04%	0.00%	0.00%	0.00%	0.44%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	703	122	100	43	29	38	3	25	7	27	17	17	10	27	12	30	15	33	37	27	61	23									
		13.71%	16.71%	14.79%	15.47%	12.78%	18.36%	0.92%	16.23%	13.46%	10.47%	8.46%	11.56%	8.26%	13.04%	8.00%	16.85%	7.81%	17.28%	16.16%	12.22%	26.87%	14.84%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	2	4	0	1	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	1	1									
		0.27%	0.27%	0.59%	0.00%	0.44%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	1.69%	0.00%	0.00%	0.00%	0.00%	0.44%	0.65%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	93	10	13	13	3	0	6	1	0	6	1	1	11	0	1	8	3	3	3	1	8	1									
		1.81%	1.37%	1.92%	4.68%	1.32%	0.00%	1.85%	0.65%	0.00%	2.33%	0.50%	0.68%	9.09%	0.00%	0.67%	4.49%	1.56%	1.57%	1.31%	0.45%	3.52%	0.65%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
