Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Cacовская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14430	476	208	727	169	430	115	92	650	240	367	424	723	407	292	404	139	274	178	474	386	395	118	162	778	504	566	725	397	410	63	74	417	1072	1022	179	373									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14230	450	200	730	170	430	115	95	650	250	350	400	700	400	290	400	140	270	180	450	380	400	120	160	790	500	550	700	400	400	65	75	420	1050	1000	180	370									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4806	190	86	248	31	207	47	16	204	100	155	162	289	133	95	131	53	62	100	166	131	157	59	59	259	195	152	284	123	118	35	28	101	250	188	32	160									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1181	54	30	45	40	23	21	37	51	16	12	15	26	15	22	46	12	51	19	68	17	30	8	9	43	36	37	47	83	24	15	37	35	38	72	6	41									
6	Число погашенных избирательных бюллетеней	8243	206	84	437	99	200	47	42	395	134	183	223	385	252	173	223	75	157	61	216	232	213	53	92	488	269	361	369	194	258	15	10	284	762	740	142	169									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1181	54	30	45	40	23	21	37	51	16	12	15	26	15	22	46	12	51	19	68	17	30	8	9	43	36	37	47	83	24	15	37	35	38	72	6	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4806	190	86	248	31	207	47	16	204	100	155	162	289	133	95	131	53	62	100	166	131	157	59	59	259	195	152	284	123	118	35	28	101	250	188	32	160									
9	Число недействительных избирательных бюллетеней	105	1	0	4	0	0	2	2	5	1	7	8	11	2	2	4	0	0	4	6	1	5	0	2	4	2	3	2	3	7	1	0	4	5	2	2	3									
10	Число действительных избирательных бюллетеней	5882	243	116	289	71	230	66	51	250	115	160	169	304	146	115	173	65	113	115	228	147	182	67	66	298	229	186	329	203	135	49	65	132	283	258	36	198									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	9	2	3	2	3	2	2	6	7	4	3	8	3	2	3	2	2	2	3	2	2	2	5	3	6	3	6	2	3	1	1	9	6	4	2	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	8	2	3	0	3	0	0	4	7	1	1	6	3	1	3	2	1	0	1	2	2	1	4	3	5	2	6	0	3	0	0	5	6	4	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	2	2	0	1	0	0	1	2	0	2	0	3	0	2	1	4	0	0	2	0	0	0	3	4	3	1	8	0	1	1	2	0	2	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	38	1	0	0	2	0	2	2	2	0	3	2	2	0	1	0	0	1	2	2	0	0	1	1	0	1	1	0	2	0	1	1	4	0	0	2	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	2	1	2	0	1	0	0	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	5	0	0	1	0	0	4	3	0	0									
