Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Новоорская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24928	2846	2933	2496	659	647	854	2192	2063	2508	749	177	201	921	526	230	686	698	305	273	1555	1167	242									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25083	2889	2942	2524	669	651	855	2195	2063	2513	748	180	193	929	551	226	693	699	316	270	1556	1184	237									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7804	775	701	723	155	179	282	688	703	999	273	54	91	337	182	79	282	210	69	118	463	352	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	369	29	36	16	5	3	7	28	46	7	14	4	11	4	8	5	20	31	4	10	39	39	3									
6	Число погашенных избирательных бюллетеней	16910	2085	2205	1785	509	469	566	1479	1314	1507	461	122	91	588	361	142	391	458	243	142	1054	793	145									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	369	29	36	16	5	3	7	28	46	7	14	4	11	4	8	5	20	31	4	10	39	39	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7800	775	701	722	155	179	282	685	703	999	273	54	91	337	182	79	282	210	69	118	463	352	89									
9	Число недействительных избирательных бюллетеней	248	20	19	16	9	3	13	18	22	28	18	5	4	11	5	2	10	7	3	8	10	15	2									
10	Число действительных избирательных бюллетеней	7921	784	718	722	151	179	276	695	727	978	269	53	98	330	185	82	292	234	70	120	492	376	90									
