Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Губахинская городская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28874	1467	1813	1129	1339	1730	1487	1840	2787	1439	2307	417	1366	1944	2205	568	821	1853	337	570	270	94	183	635	273									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28475	1450	1800	1100	1300	1750	1450	1800	2750	1450	2300	400	1350	1950	2200	550	800	1850	300	550	250	75	150	650	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10487	405	677	338	492	593	605	671	1081	578	895	142	572	764	879	123	219	651	79	158	88	31	39	327	80									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	571	30	39	27	13	43	25	41	23	11	11	22	23	31	19	19	41	90	6	16	7	0	0	15	19									
6	Число погашенных избирательных бюллетеней	17417	1015	1084	735	795	1114	820	1088	1646	861	1394	236	755	1155	1302	408	540	1109	215	376	155	44	111	308	151									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	571	30	39	27	13	43	25	41	23	11	11	22	23	31	19	19	41	90	6	16	7	0	0	15	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10471	405	677	338	476	593	605	671	1081	578	895	142	572	764	879	123	219	651	79	158	88	31	39	327	80									
9	Число недействительных избирательных бюллетеней	470	17	33	11	34	29	30	28	45	21	25	4	20	37	39	4	12	34	5	21	2	0	2	13	4									
10	Число действительных избирательных бюллетеней	10572	418	683	354	455	607	600	684	1059	568	881	160	575	758	859	138	248	707	80	153	93	31	37	329	95									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	900	50	50	40	40	50	40	50	50	50	50	20	50	50	50	20	20	50	20	30	20	20	20	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	177	6	10	5	5	16	10	7	19	11	10	1	8	15	14	4	6	7	1	2	4	0	2	12	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	120	5	7	6	6	1	2	4	3	2	3	4	5	2	6	2	4	2	7	3	3	20	12	5	6									
14	Число погашенных неиспользованных открепительных удостоверений	723	44	40	35	35	34	30	43	31	39	40	19	42	35	36	16	14	43	19	28	16	20	18	18	28									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	1	3	1	0	1	0	1	2	3	0	2	0	0	1	1	0	0	0	0	0	0	1	0									
